deck,card,number of times played
Exp1_Hunter_Aggro,Earthen Ring Farseer,68501
Exp1_Hunter_Aggro,The Coin,60113
Exp1_Hunter_Aggro,Animal Companion,49148
Exp1_Hunter_Aggro,Nightblade,41398
Exp1_Hunter_Aggro,Wisp,34845
Exp1_Hunter_Aggro,Stormpike Commando,34708
Exp1_Hunter_Aggro,Priestess of Elune,30548
Exp1_Hunter_Aggro,Murloc Raider,29276
Exp1_Hunter_Aggro,Worgen Infiltrator,29224
Exp1_Hunter_Aggro,Young Priestess,29200
Exp1_Hunter_Aggro,Southsea Deckhand,29012
Exp1_Hunter_Aggro,Unleash the Hounds,27798
Exp1_Hunter_Aggro,Hungry Crab,26621
Exp1_Hunter_Aggro,Timber Wolf,26613
Exp1_Hunter_Aggro,Leper Gnome,24807
Exp1_Hunter_Aggro,Dark Iron Dwarf,24251
Exp1_Hunter_Aggro,River Crocolisk,18591
Exp1_Hunter_Aggro,Kobold Geomancer,18070
Exp1_Hunter_Aggro,Pint-Sized Summoner,17878
Exp1_Hunter_Aggro,Reckless Rocketeer,17585
Exp1_Hunter_Aggro,Arcane Golem,14697
Exp1_Hunter_Aggro,Razorfen Hunter,9444
Exp1_Hunter_Aggro,Eaglehorn Bow,9008
Exp1_Hunter_Aggro,Bananas,7750
Exp1_Hunter_Aggro,Abomination,5590
Exp1_Hunter_Aggro,Silvermoon Guardian,4746
Exp1_Hunter_Aggro,Defender of Argus,4530
Exp1_Hunter_Aggro,Tundra Rhino,4289
Exp1_Hunter_Aggro,Fen Creeper,1823
Exp1_Hunter_Aggro,Snake Trap,218
Exp1_Hunter_Aggro,Mortal Coil,120
Exp1_Hunter_Control,Knife Juggler,73397
Exp1_Hunter_Control,Pint-Sized Summoner,73176
Exp1_Hunter_Control,Flesheating Ghoul,67928
Exp1_Hunter_Control,The Coin,60106
Exp1_Hunter_Control,Sen,50512
Exp1_Hunter_Control,Booty Bay Bodyguard,49755
Exp1_Hunter_Control,Stormpike Commando,49050
Exp1_Hunter_Control,Sunwalker,44989
Exp1_Hunter_Control,Voodoo Doctor,40733
Exp1_Hunter_Control,Ironforge Rifleman,40311
Exp1_Hunter_Control,Earthen Ring Farseer,39843
Exp1_Hunter_Control,Dire Wolf Alpha,38901
Exp1_Hunter_Control,Worgen Infiltrator,38589
Exp1_Hunter_Control,Young Priestess,38445
Exp1_Hunter_Control,Bloodfen Raptor,38349
Exp1_Hunter_Control,Wild Pyromancer,38337
Exp1_Hunter_Control,Priestess of Elune,37716
Exp1_Hunter_Control,Lightwarden,37611
Exp1_Hunter_Control,Bloodsail Corsair,37463
Exp1_Hunter_Control,Venture Co. Mercenary,37411
Exp1_Hunter_Control,Bloodsail Raider,36659
Exp1_Hunter_Control,Scavenging Hyena,36576
Exp1_Hunter_Control,Master Swordsmith,33568
Exp1_Hunter_Control,Lorewalker Cho,31652
Exp1_Hunter_Control,Argent Commander,29709
Exp1_Hunter_Control,Demolisher,26872
Exp1_Hunter_Control,Onyxia,16745
Exp1_Hunter_Control,Bananas,15006
Exp1_Hunter_Control,King Krush,10162
Exp1_Hunter_Control,Consecration,4041
Exp1_Hunter_Control,Animal Companion,1407
Exp1_Hunter_Control,Mortal Coil,663
Exp1_Hunter_Control,Siphon Soul,590
Exp1_Hunter_Control,Avenging Wrath,474
Exp1_Hunter_Control,Kill Command,301
Exp1_Hunter_Control,Blessing of Kings,297
Exp1_Hunter_Control,Unleash the Hounds,213
Exp1_Hunter_Control,Explosive Shot,169
Exp1_Hunter_Control,Lay on Hands,146
Exp1_Hunter_Control,Blessing of Might,128
Exp1_Hunter_Control,Hammer of Wrath,125
Exp1_Hunter_Control,Equality,29
Exp1_Hunter_Control,Eye for an Eye,5
Exp1_Hunter_Control,Snake Trap,1
Exp1_Paladin_Aggro,Consecration,95002
Exp1_Paladin_Aggro,Voodoo Doctor,74125
Exp1_Paladin_Aggro,Lightwarden,65646
Exp1_Paladin_Aggro,Secretkeeper,65620
Exp1_Paladin_Aggro,The Coin,59511
Exp1_Paladin_Aggro,Scarlet Crusader,59395
Exp1_Paladin_Aggro,Blessing of Kings,42086
Exp1_Paladin_Aggro,Avenging Wrath,39055
Exp1_Paladin_Aggro,King Mukla,35327
Exp1_Paladin_Aggro,Millhouse Manastorm,35100
Exp1_Paladin_Aggro,Dire Wolf Alpha,34357
Exp1_Paladin_Aggro,Worgen Infiltrator,34200
Exp1_Paladin_Aggro,Young Priestess,34079
Exp1_Paladin_Aggro,Goldshire Footman,32511
Exp1_Paladin_Aggro,Murloc Tidehunter,32497
Exp1_Paladin_Aggro,Acidic Swamp Ooze,32487
Exp1_Paladin_Aggro,Sunfury Protector,30451
Exp1_Paladin_Aggro,Southsea Captain,29616
Exp1_Paladin_Aggro,Ironfur Grizzly,28930
Exp1_Paladin_Aggro,Mana Addict,28798
Exp1_Paladin_Aggro,Stampeding Kodo,27546
Exp1_Paladin_Aggro,The Beast,26615
Exp1_Paladin_Aggro,Bananas,15601
Exp1_Paladin_Aggro,Baron Geddon,15137
Exp1_Paladin_Aggro,Lay on Hands,14099
Exp1_Paladin_Aggro,Eye for an Eye,13930
Exp1_Paladin_Aggro,Truesilver Champion,12954
Exp1_Paladin_Aggro,Mortal Coil,83
Exp1_Paladin_Control,Consecration,95868
Exp1_Paladin_Control,Raid Leader,76108
Exp1_Paladin_Control,Mind Control Tech,76068
Exp1_Paladin_Control,Bloodsail Raider,73782
Exp1_Paladin_Control,Raging Worgen,69617
Exp1_Paladin_Control,The Coin,59408
Exp1_Paladin_Control,Fen Creeper,52193
Exp1_Paladin_Control,Sunwalker,48769
Exp1_Paladin_Control,Dark Iron Dwarf,47927
Exp1_Paladin_Control,Priestess of Elune,41877
Exp1_Paladin_Control,Ironfur Grizzly,41729
Exp1_Paladin_Control,Young Priestess,39646
Exp1_Paladin_Control,Stonetusk Boar,39117
Exp1_Paladin_Control,Shattered Sun Cleric,39082
Exp1_Paladin_Control,Wild Pyromancer,38625
Exp1_Paladin_Control,Hungry Crab,37930
Exp1_Paladin_Control,Murloc Warleader,35041
Exp1_Paladin_Control,Master Swordsmith,34739
Exp1_Paladin_Control,Tirion Fordring,33565
Exp1_Paladin_Control,Stormwind Champion,31976
