,Exp1_Hunter_Aggro,Exp1_Hunter_Control,Exp1_Paladin_Aggro,Exp1_Paladin_Control,Exp1_Warlock_Aggro,Exp1_Warlock_Control,Exp2_Hunter_Aggro,Exp2_Hunter_Control,Exp2_Paladin_Aggro,Exp2_Paladin_Control,Exp2_Warlock_Aggro,Exp2_Warlock_Control
Exp1_Hunter_Aggro,0.5013,0.0545,0.1091,0.0265,0.077,0.0452,0.4988,0.0498,0.1086,0.0571,0.0681,0.0355
Exp1_Hunter_Control,0.9463,0.5003,0.4014,0.2937,0.5834,0.3795,0.9429,0.3338,0.4592,0.2521,0.5396,0.3897
Exp1_Paladin_Aggro,0.8892,0.5947,0.4942,0.4016,0.5716,0.5601,0.885,0.6432,0.4464,0.4779,0.5222,0.5096
Exp1_Paladin_Control,0.9748,0.7098,0.5846,0.4977,0.7179,0.5689,0.9544,0.5852,0.6175,0.4312,0.7355,0.663
Exp1_Warlock_Aggro,0.9201,0.4086,0.4285,0.2795,0.4994,0.3531,0.902,0.3559,0.3948,0.2986,0.3706,0.3846
Exp1_Warlock_Control,0.9607,0.6252,0.4321,0.4221,0.6492,0.4926,0.9209,0.4068,0.4594,0.3329,0.6059,0.5375
Exp2_Hunter_Aggro,0.5073,0.0631,0.1203,0.0445,0.0969,0.0764,0.5004,0.0629,0.1014,0.0825,0.0901,0.041
Exp2_Hunter_Control,0.9477,0.6532,0.3503,0.3505,0.6531,0.5048,0.9415,0.4862,0.4804,0.3289,0.5791,0.5262
Exp2_Paladin_Aggro,0.8875,0.5265,0.5375,0.3779,0.6079,0.5382,0.89,0.5072,0.4915,0.4386,0.5588,0.4496
Exp2_Paladin_Control,0.9419,0.7548,0.5222,0.58,0.6986,0.6635,0.915,0.5722,0.5663,0.5043,0.685,0.731
Exp2_Warlock_Aggro,0.9242,0.4479,0.465,0.2704,0.6192,0.3961,0.9092,0.4178,0.4376,0.3111,0.4919,0.4518
Exp2_Warlock_Control,0.9633,0.6092,0.4938,0.3385,0.6102,0.4516,0.957,0.4475,0.5316,0.265,0.5532,0.5018
