deck,card,number of times played
Exp1_Paladin_Aggro,Consecration,83596
Exp1_Paladin_Aggro,Voodoo Doctor,72576
Exp1_Paladin_Aggro,Lightwarden,63612
Exp1_Paladin_Aggro,Secretkeeper,63201
Exp1_Paladin_Aggro,The Coin,59710
Exp1_Paladin_Aggro,Scarlet Crusader,58167
Exp1_Paladin_Aggro,Blessing of Kings,43883
Exp1_Paladin_Aggro,Avenging Wrath,35074
Exp1_Paladin_Aggro,Millhouse Manastorm,34049
Exp1_Paladin_Aggro,King Mukla,33712
Exp1_Paladin_Aggro,Dire Wolf Alpha,33433
Exp1_Paladin_Aggro,Young Priestess,32817
Exp1_Paladin_Aggro,Worgen Infiltrator,32658
Exp1_Paladin_Aggro,Acidic Swamp Ooze,31783
Exp1_Paladin_Aggro,Murloc Tidehunter,31723
Exp1_Paladin_Aggro,Goldshire Footman,31229
Exp1_Paladin_Aggro,Sunfury Protector,29492
Exp1_Paladin_Aggro,Southsea Captain,29098
Exp1_Paladin_Aggro,Ironfur Grizzly,28317
Exp1_Paladin_Aggro,Mana Addict,28002
Exp1_Paladin_Aggro,The Beast,22155
Exp1_Paladin_Aggro,Stampeding Kodo,20442
Exp1_Paladin_Aggro,Truesilver Champion,18185
Exp1_Paladin_Aggro,Bananas,15011
Exp1_Paladin_Aggro,Eye for an Eye,13374
Exp1_Paladin_Aggro,Lay on Hands,13353
Exp1_Paladin_Aggro,Baron Geddon,13100
Exp1_Paladin_Aggro,Mortal Coil,78
Exp1_Paladin_Control,Consecration,87115
Exp1_Paladin_Control,Mind Control Tech,75693
Exp1_Paladin_Control,Raid Leader,75297
Exp1_Paladin_Control,Bloodsail Raider,74031
Exp1_Paladin_Control,Raging Worgen,69247
Exp1_Paladin_Control,The Coin,59641
Exp1_Paladin_Control,Fen Creeper,51771
Exp1_Paladin_Control,Dark Iron Dwarf,47681
Exp1_Paladin_Control,Sunwalker,47250
Exp1_Paladin_Control,Ironfur Grizzly,41653
Exp1_Paladin_Control,Young Priestess,39903
Exp1_Paladin_Control,Stonetusk Boar,39129
Exp1_Paladin_Control,Priestess of Elune,39028
Exp1_Paladin_Control,Shattered Sun Cleric,38941
Exp1_Paladin_Control,Hungry Crab,38383
Exp1_Paladin_Control,Wild Pyromancer,38360
Exp1_Paladin_Control,Master Swordsmith,34876
Exp1_Paladin_Control,Murloc Warleader,34444
Exp1_Paladin_Control,Light,32607
Exp1_Paladin_Control,Tirion Fordring,32372
Exp1_Paladin_Control,Stormwind Champion,28820
Exp1_Paladin_Control,Coldlight Seer,27565
Exp1_Paladin_Control,Questing Adventurer,27118
Exp1_Paladin_Control,Thrallmar Farseer,26175
Exp1_Paladin_Control,Imp Master,25508
Exp1_Paladin_Control,Alexstrasza,18327
Exp1_Paladin_Control,Bananas,15304
Exp1_Paladin_Control,Mortal Coil,235
Exp2_Paladin_Aggro,Blessing of Kings,78385
Exp2_Paladin_Aggro,Consecration,72128
Exp2_Paladin_Aggro,Dire Wolf Alpha,62418
Exp2_Paladin_Aggro,The Coin,58862
Exp2_Paladin_Aggro,Nightblade,41200
Exp2_Paladin_Aggro,Voodoo Doctor,33856
Exp2_Paladin_Aggro,Blessing of Might,32017
Exp2_Paladin_Aggro,Worgen Infiltrator,30962
Exp2_Paladin_Aggro,Young Priestess,30955
Exp2_Paladin_Aggro,Shattered Sun Cleric,30694
Exp2_Paladin_Aggro,Bluegill Warrior,30048
Exp2_Paladin_Aggro,Wild Pyromancer,29867
Exp2_Paladin_Aggro,Argent Squire,29483
Exp2_Paladin_Aggro,Hungry Crab,29279
Exp2_Paladin_Aggro,Young Dragonhawk,29201
Exp2_Paladin_Aggro,Mana Wraith,28184
Exp2_Paladin_Aggro,Bloodsail Raider,28076
Exp2_Paladin_Aggro,Ironbeak Owl,26794
Exp2_Paladin_Aggro,Ironfur Grizzly,26073
Exp2_Paladin_Aggro,Master Swordsmith,25258
Exp2_Paladin_Aggro,Dread Corsair,24474
Exp2_Paladin_Aggro,Mana Addict,23254
Exp2_Paladin_Aggro,Frostwolf Warlord,22696
Exp2_Paladin_Aggro,Flesheating Ghoul,21537
Exp2_Paladin_Aggro,Argent Commander,21142
Exp2_Paladin_Aggro,Dalaran Mage,14079
Exp2_Paladin_Aggro,Equality,12423
Exp2_Paladin_Aggro,Bananas,11220
Exp2_Paladin_Aggro,Tirion Fordring,7187
Exp2_Paladin_Aggro,Mortal Coil,100
Exp2_Paladin_Control,Consecration,90137
Exp2_Paladin_Control,Earthen Ring Farseer,83279
Exp2_Paladin_Control,Pint-Sized Summoner,74721
Exp2_Paladin_Control,The Coin,60098
Exp2_Paladin_Control,Booty Bay Bodyguard,51078
Exp2_Paladin_Control,Sunwalker,48558
Exp2_Paladin_Control,Stampeding Kodo,43072
Exp2_Paladin_Control,Tauren Warrior,42817
Exp2_Paladin_Control,Razorfen Hunter,41780
Exp2_Paladin_Control,Millhouse Manastorm,40971
Exp2_Paladin_Control,Young Priestess,40843
Exp2_Paladin_Control,Worgen Infiltrator,40756
Exp2_Paladin_Control,Crazed Alchemist,40254
Exp2_Paladin_Control,Wild Pyromancer,39483
Exp2_Paladin_Control,Frostwolf Warlord,37549
Exp2_Paladin_Control,Mana Wraith,37312
Exp2_Paladin_Control,The Black Knight,36217
Exp2_Paladin_Control,Hammer of Wrath,35674
Exp2_Paladin_Control,Aldor Peacekeeper,35552
Exp2_Paladin_Control,Tirion Fordring,35502
Exp2_Paladin_Control,Murloc Warleader,35406
Exp2_Paladin_Control,Light,35295
Exp2_Paladin_Control,Raging Worgen,35135
Exp2_Paladin_Control,Coldlight Seer,29763
Exp2_Paladin_Control,Emperor Cobra,28417
Exp2_Paladin_Control,Imp Master,26395
Exp2_Paladin_Control,Alexstrasza,19613
Exp2_Paladin_Control,Bananas,17646
Exp2_Paladin_Control,Nozdormu,9988
Exp2_Paladin_Control,Mortal Coil,217
