deck,card,number of times played
Exp1_Hunter_Aggro,Earthen Ring Farseer,74578
Exp1_Hunter_Aggro,Animal Companion,70937
Exp1_Hunter_Aggro,The Coin,58744
Exp1_Hunter_Aggro,Nightblade,45442
Exp1_Hunter_Aggro,Stormpike Commando,44662
Exp1_Hunter_Aggro,Dark Iron Dwarf,43760
Exp1_Hunter_Aggro,Priestess of Elune,41727
Exp1_Hunter_Aggro,Wisp,41395
Exp1_Hunter_Aggro,Southsea Deckhand,39382
Exp1_Hunter_Aggro,Murloc Raider,39182
Exp1_Hunter_Aggro,Worgen Infiltrator,39155
Exp1_Hunter_Aggro,Young Priestess,39083
Exp1_Hunter_Aggro,Timber Wolf,39042
Exp1_Hunter_Aggro,Silvermoon Guardian,39023
Exp1_Hunter_Aggro,Hungry Crab,38942
Exp1_Hunter_Aggro,Defender of Argus,38879
Exp1_Hunter_Aggro,Reckless Rocketeer,38795
Exp1_Hunter_Aggro,Leper Gnome,38729
Exp1_Hunter_Aggro,Tundra Rhino,38250
Exp1_Hunter_Aggro,Abomination,37392
Exp1_Hunter_Aggro,Unleash the Hounds,36259
Exp1_Hunter_Aggro,Pint-Sized Summoner,36245
Exp1_Hunter_Aggro,Kobold Geomancer,36172
Exp1_Hunter_Aggro,River Crocolisk,36070
Exp1_Hunter_Aggro,Fen Creeper,35452
Exp1_Hunter_Aggro,Arcane Golem,33904
Exp1_Hunter_Aggro,Eaglehorn Bow,33759
Exp1_Hunter_Aggro,Razorfen Hunter,32382
Exp1_Hunter_Aggro,Snake Trap,31880
Exp1_Hunter_Aggro,Bananas,24519
Exp1_Hunter_Aggro,Mortal Coil,1070
Exp1_Hunter_Aggro,Whelp,1
Exp1_Hunter_Aggro,Snake,1
Exp1_Hunter_Control,Knife Juggler,92626
Exp1_Hunter_Control,Pint-Sized Summoner,92319
Exp1_Hunter_Control,Flesheating Ghoul,91138
Exp1_Hunter_Control,The Coin,64360
Exp1_Hunter_Control,Sen,54278
Exp1_Hunter_Control,Booty Bay Bodyguard,53490
Exp1_Hunter_Control,Stormpike Commando,53277
Exp1_Hunter_Control,Sunwalker,51328
Exp1_Hunter_Control,Venture Co. Mercenary,51203
Exp1_Hunter_Control,Argent Commander,50773
Exp1_Hunter_Control,Priestess of Elune,48899
Exp1_Hunter_Control,Voodoo Doctor,47410
Exp1_Hunter_Control,Young Priestess,47373
Exp1_Hunter_Control,Worgen Infiltrator,47249
Exp1_Hunter_Control,Bloodsail Corsair,47220
Exp1_Hunter_Control,Lightwarden,47102
Exp1_Hunter_Control,Dire Wolf Alpha,46516
Exp1_Hunter_Control,Master Swordsmith,46419
Exp1_Hunter_Control,Wild Pyromancer,46215
Exp1_Hunter_Control,Bloodfen Raptor,46135
Exp1_Hunter_Control,Scavenging Hyena,46008
Exp1_Hunter_Control,Bloodsail Raider,45768
Exp1_Hunter_Control,Ironforge Rifleman,45711
Exp1_Hunter_Control,Lorewalker Cho,45525
Exp1_Hunter_Control,Earthen Ring Farseer,45439
Exp1_Hunter_Control,Demolisher,45203
Exp1_Hunter_Control,Onyxia,38148
Exp1_Hunter_Control,Bananas,37786
Exp1_Hunter_Control,King Krush,37455
Exp1_Hunter_Control,Consecration,5115
Exp1_Hunter_Control,Mortal Coil,4860
Exp1_Hunter_Control,Animal Companion,2879
Exp1_Hunter_Control,Blessing of Kings,1505
Exp1_Hunter_Control,Siphon Soul,894
Exp1_Hunter_Control,Unleash the Hounds,786
Exp1_Hunter_Control,Hammer of Wrath,602
Exp1_Hunter_Control,Avenging Wrath,550
Exp1_Hunter_Control,Snake Trap,539
Exp1_Hunter_Control,Kill Command,537
Exp1_Hunter_Control,Explosive Shot,475
Exp1_Hunter_Control,Blessing of Might,434
Exp1_Hunter_Control,Equality,407
Exp1_Hunter_Control,Lay on Hands,401
Exp1_Hunter_Control,Eye for an Eye,324
Exp1_Hunter_Control,Dream,32
Exp1_Hunter_Control,Nightmare,18
Exp1_Hunter_Control,Ysera Awakens,11
Exp1_Hunter_Control,Whelp,10
Exp1_Hunter_Control,Misha,1
Exp1_Paladin_Aggro,Consecration,101673
Exp1_Paladin_Aggro,Voodoo Doctor,86004
Exp1_Paladin_Aggro,Lightwarden,84400
Exp1_Paladin_Aggro,Secretkeeper,83806
Exp1_Paladin_Aggro,Scarlet Crusader,78959
Exp1_Paladin_Aggro,The Coin,58173
Exp1_Paladin_Aggro,Blessing of Kings,51453
Exp1_Paladin_Aggro,Avenging Wrath,49739
Exp1_Paladin_Aggro,Truesilver Champion,48415
Exp1_Paladin_Aggro,Stampeding Kodo,46645
Exp1_Paladin_Aggro,The Beast,45377
Exp1_Paladin_Aggro,Worgen Infiltrator,42633
Exp1_Paladin_Aggro,Young Priestess,42614
Exp1_Paladin_Aggro,Goldshire Footman,42082
Exp1_Paladin_Aggro,Millhouse Manastorm,41849
Exp1_Paladin_Aggro,King Mukla,41750
Exp1_Paladin_Aggro,Dire Wolf Alpha,41118
Exp1_Paladin_Aggro,Acidic Swamp Ooze,40768
Exp1_Paladin_Aggro,Murloc Tidehunter,40737
Exp1_Paladin_Aggro,Mana Addict,40683
Exp1_Paladin_Aggro,Baron Geddon,40160
Exp1_Paladin_Aggro,Sunfury Protector,40118
Exp1_Paladin_Aggro,Southsea Captain,39417
Exp1_Paladin_Aggro,Ironfur Grizzly,38987
Exp1_Paladin_Aggro,Eye for an Eye,38696
Exp1_Paladin_Aggro,Lay on Hands,32918
Exp1_Paladin_Aggro,Bananas,26356
Exp1_Paladin_Aggro,Mortal Coil,552
Exp1_Paladin_Aggro,Whelp,1
Exp1_Paladin_Aggro,Murloc Scout,1
Exp1_Paladin_Control,Consecration,111187
Exp1_Paladin_Control,Bloodsail Raider,93584
Exp1_Paladin_Control,Raging Worgen,92355
Exp1_Paladin_Control,Raid Leader,92183
Exp1_Paladin_Control,Mind Control Tech,91972
Exp1_Paladin_Control,The Coin,58339
Exp1_Paladin_Control,Dark Iron Dwarf,54450
Exp1_Paladin_Control,Fen Creeper,53377
Exp1_Paladin_Control,Sunwalker,53049
Exp1_Paladin_Control,Priestess of Elune,51650
Exp1_Paladin_Control,Stormwind Champion,51266
Exp1_Paladin_Control,Tirion Fordring,48765
Exp1_Paladin_Control,Young Priestess,48308
Exp1_Paladin_Control,Hungry Crab,47742
Exp1_Paladin_Control,Stonetusk Boar,47636
Exp1_Paladin_Control,Light,47450
Exp1_Paladin_Control,Master Swordsmith,46973
Exp1_Paladin_Control,Wild Pyromancer,46872
Exp1_Paladin_Control,Questing Adventurer,46167
Exp1_Paladin_Control,Shattered Sun Cleric,46104
Exp1_Paladin_Control,Murloc Warleader,46067
Exp1_Paladin_Control,Imp Master,45927
Exp1_Paladin_Control,Ironfur Grizzly,45918
Exp1_Paladin_Control,Thrallmar Farseer,45757
Exp1_Paladin_Control,Coldlight Seer,45543
Exp1_Paladin_Control,Alexstrasza,43916
Exp1_Paladin_Control,Bananas,33992
Exp1_Paladin_Control,Mortal Coil,753
Exp1_Paladin_Control,Laughing Sister,1
Exp1_Paladin_Control,Emerald Drake,1
Exp1_Paladin_Control,Dream,1
Exp1_Warlock_Aggro,Worgen Infiltrator,98788
Exp1_Warlock_Aggro,Faerie Dragon,94208
Exp1_Warlock_Aggro,Youthful Brewmaster,90970
Exp1_Warlock_Aggro,The Coin,58816
Exp1_Warlock_Aggro,Nightblade,55918
Exp1_Warlock_Aggro,Dark Iron Dwarf,55039
Exp1_Warlock_Aggro,Defender of Argus,54306
Exp1_Warlock_Aggro,Sen,53049
Exp1_Warlock_Aggro,Wisp,50342
Exp1_Warlock_Aggro,Lord of the Arena,49638
Exp1_Warlock_Aggro,Mortal Coil,48612
Exp1_Warlock_Aggro,Lightwarden,48589
Exp1_Warlock_Aggro,Southsea Deckhand,48451
Exp1_Warlock_Aggro,Murloc Tidecaller,48389
Exp1_Warlock_Aggro,Angry Chicken,48383
Exp1_Warlock_Aggro,Leper Gnome,48275
Exp1_Warlock_Aggro,Young Priestess,48075
Exp1_Warlock_Aggro,Succubus,48040
Exp1_Warlock_Aggro,King Mukla,47546
Exp1_Warlock_Aggro,Bloodsail Raider,47493
Exp1_Warlock_Aggro,Pint-Sized Summoner,46984
Exp1_Warlock_Aggro,Wild Pyromancer,46908
Exp1_Warlock_Aggro,Injured Blademaster,46652
Exp1_Warlock_Aggro,Blood Knight,46650
Exp1_Warlock_Aggro,Scarlet Crusader,46355
Exp1_Warlock_Aggro,Murloc Warleader,46216
Exp1_Warlock_Aggro,Novice Engineer,46102
Exp1_Warlock_Aggro,Sea Giant,38332
Exp1_Warlock_Aggro,Bananas,36697
Exp1_Warlock_Aggro,Whelp,48
Exp1_Warlock_Aggro,Squirrel,32
Exp1_Warlock_Aggro,Devilsaur,31
Exp1_Warlock_Aggro,Finkle Einhorn,13
Exp1_Warlock_Control,Sen,116409
Exp1_Warlock_Control,Sunwalker,105832
Exp1_Warlock_Control,Amani Berserker,102858
Exp1_Warlock_Control,Bloodfen Raptor,102793
Exp1_Warlock_Control,The Coin,58525
Exp1_Warlock_Control,Mogu,58248
Exp1_Warlock_Control,Doomguard,57199
Exp1_Warlock_Control,Fen Creeper,56702
Exp1_Warlock_Control,Defender of Argus,56307
Exp1_Warlock_Control,Siphon Soul,53771
Exp1_Warlock_Control,Voodoo Doctor,52970
Exp1_Warlock_Control,Murloc Tidecaller,52611
Exp1_Warlock_Control,Millhouse Manastorm,52090
Exp1_Warlock_Control,The Black Knight,51647
Exp1_Warlock_Control,Knife Juggler,51556
Exp1_Warlock_Control,Illidan Stormrage,51536
Exp1_Warlock_Control,Dire Wolf Alpha,51329
Exp1_Warlock_Control,Bloodsail Raider,51009
