deck,card,number of times played
Exp1_Hunter_Aggro,Earthen Ring Farseer,67995
Exp1_Hunter_Aggro,The Coin,59736
Exp1_Hunter_Aggro,Animal Companion,51573
Exp1_Hunter_Aggro,Nightblade,40031
Exp1_Hunter_Aggro,Wisp,34386
Exp1_Hunter_Aggro,Stormpike Commando,32673
Exp1_Hunter_Aggro,Priestess of Elune,28984
Exp1_Hunter_Aggro,Unleash the Hounds,28857
Exp1_Hunter_Aggro,Worgen Infiltrator,28823
Exp1_Hunter_Aggro,Murloc Raider,28721
Exp1_Hunter_Aggro,Southsea Deckhand,28605
Exp1_Hunter_Aggro,Young Priestess,28538
Exp1_Hunter_Aggro,Dark Iron Dwarf,26302
Exp1_Hunter_Aggro,Timber Wolf,26043
Exp1_Hunter_Aggro,Hungry Crab,25973
Exp1_Hunter_Aggro,Leper Gnome,23747
Exp1_Hunter_Aggro,Reckless Rocketeer,18908
Exp1_Hunter_Aggro,River Crocolisk,16936
Exp1_Hunter_Aggro,Pint-Sized Summoner,16839
Exp1_Hunter_Aggro,Kobold Geomancer,16750
Exp1_Hunter_Aggro,Arcane Golem,13851
Exp1_Hunter_Aggro,Eaglehorn Bow,13654
Exp1_Hunter_Aggro,Razorfen Hunter,9010
Exp1_Hunter_Aggro,Bananas,7130
Exp1_Hunter_Aggro,Defender of Argus,6982
Exp1_Hunter_Aggro,Tundra Rhino,5595
Exp1_Hunter_Aggro,Abomination,4737
Exp1_Hunter_Aggro,Silvermoon Guardian,4385
Exp1_Hunter_Aggro,Fen Creeper,1649
Exp1_Hunter_Aggro,Snake Trap,177
Exp1_Hunter_Aggro,Mortal Coil,135
Exp1_Hunter_Control,Knife Juggler,73493
Exp1_Hunter_Control,Pint-Sized Summoner,73264
Exp1_Hunter_Control,Flesheating Ghoul,67257
Exp1_Hunter_Control,The Coin,59781
Exp1_Hunter_Control,Sen,50065
Exp1_Hunter_Control,Booty Bay Bodyguard,49773
Exp1_Hunter_Control,Stormpike Commando,48485
Exp1_Hunter_Control,Sunwalker,44938
Exp1_Hunter_Control,Voodoo Doctor,40057
Exp1_Hunter_Control,Ironforge Rifleman,39661
Exp1_Hunter_Control,Earthen Ring Farseer,39351
Exp1_Hunter_Control,Worgen Infiltrator,38610
Exp1_Hunter_Control,Young Priestess,38410
Exp1_Hunter_Control,Dire Wolf Alpha,38246
Exp1_Hunter_Control,Wild Pyromancer,38069
Exp1_Hunter_Control,Bloodfen Raptor,37909
Exp1_Hunter_Control,Lightwarden,37520
Exp1_Hunter_Control,Bloodsail Corsair,37491
Exp1_Hunter_Control,Priestess of Elune,36889
Exp1_Hunter_Control,Scavenging Hyena,36836
Exp1_Hunter_Control,Bloodsail Raider,36483
Exp1_Hunter_Control,Venture Co. Mercenary,35158
Exp1_Hunter_Control,Master Swordsmith,34399
Exp1_Hunter_Control,Lorewalker Cho,32414
Exp1_Hunter_Control,Argent Commander,30210
Exp1_Hunter_Control,Demolisher,27192
Exp1_Hunter_Control,Onyxia,16422
Exp1_Hunter_Control,Bananas,14935
Exp1_Hunter_Control,King Krush,10230
Exp1_Hunter_Control,Consecration,3959
Exp1_Hunter_Control,Animal Companion,1477
Exp1_Hunter_Control,Mortal Coil,738
Exp1_Hunter_Control,Siphon Soul,600
Exp1_Hunter_Control,Avenging Wrath,452
Exp1_Hunter_Control,Kill Command,289
Exp1_Hunter_Control,Unleash the Hounds,261
Exp1_Hunter_Control,Blessing of Kings,259
Exp1_Hunter_Control,Explosive Shot,196
Exp1_Hunter_Control,Blessing of Might,161
Exp1_Hunter_Control,Lay on Hands,138
Exp1_Hunter_Control,Hammer of Wrath,112
Exp1_Hunter_Control,Equality,37
Exp1_Hunter_Control,Eye for an Eye,7
