deck,card,number of times played
Exp1_Hunter_Aggro,Earthen Ring Farseer,68964
Exp1_Hunter_Aggro,The Coin,60149
Exp1_Hunter_Aggro,Animal Companion,51732
Exp1_Hunter_Aggro,Nightblade,40305
Exp1_Hunter_Aggro,Wisp,34634
Exp1_Hunter_Aggro,Stormpike Commando,32997
Exp1_Hunter_Aggro,Priestess of Elune,29329
Exp1_Hunter_Aggro,Unleash the Hounds,29163
Exp1_Hunter_Aggro,Southsea Deckhand,29083
Exp1_Hunter_Aggro,Worgen Infiltrator,29048
Exp1_Hunter_Aggro,Young Priestess,28920
Exp1_Hunter_Aggro,Murloc Raider,28889
Exp1_Hunter_Aggro,Dark Iron Dwarf,26853
Exp1_Hunter_Aggro,Hungry Crab,26295
Exp1_Hunter_Aggro,Timber Wolf,26164
Exp1_Hunter_Aggro,Leper Gnome,23921
Exp1_Hunter_Aggro,Reckless Rocketeer,19336
Exp1_Hunter_Aggro,River Crocolisk,17037
Exp1_Hunter_Aggro,Kobold Geomancer,16879
Exp1_Hunter_Aggro,Pint-Sized Summoner,16749
Exp1_Hunter_Aggro,Arcane Golem,13951
Exp1_Hunter_Aggro,Eaglehorn Bow,13467
Exp1_Hunter_Aggro,Razorfen Hunter,8941
Exp1_Hunter_Aggro,Bananas,7160
Exp1_Hunter_Aggro,Defender of Argus,7093
Exp1_Hunter_Aggro,Tundra Rhino,5786
Exp1_Hunter_Aggro,Abomination,4821
Exp1_Hunter_Aggro,Silvermoon Guardian,4359
Exp1_Hunter_Aggro,Fen Creeper,1662
Exp1_Hunter_Aggro,Snake Trap,197
Exp1_Hunter_Aggro,Mortal Coil,122
Exp1_Hunter_Control,Knife Juggler,74510
Exp1_Hunter_Control,Pint-Sized Summoner,73715
Exp1_Hunter_Control,Flesheating Ghoul,68069
Exp1_Hunter_Control,The Coin,60394
Exp1_Hunter_Control,Sen,50359
Exp1_Hunter_Control,Booty Bay Bodyguard,49939
Exp1_Hunter_Control,Stormpike Commando,48718
Exp1_Hunter_Control,Sunwalker,44991
Exp1_Hunter_Control,Voodoo Doctor,40546
Exp1_Hunter_Control,Ironforge Rifleman,40195
Exp1_Hunter_Control,Earthen Ring Farseer,39599
Exp1_Hunter_Control,Young Priestess,38886
Exp1_Hunter_Control,Worgen Infiltrator,38881
Exp1_Hunter_Control,Dire Wolf Alpha,38797
Exp1_Hunter_Control,Wild Pyromancer,38463
Exp1_Hunter_Control,Bloodfen Raptor,38151
Exp1_Hunter_Control,Bloodsail Corsair,38144
Exp1_Hunter_Control,Lightwarden,37786
Exp1_Hunter_Control,Priestess of Elune,37274
Exp1_Hunter_Control,Scavenging Hyena,36919
Exp1_Hunter_Control,Bloodsail Raider,36840
Exp1_Hunter_Control,Venture Co. Mercenary,35765
Exp1_Hunter_Control,Master Swordsmith,34533
Exp1_Hunter_Control,Lorewalker Cho,32817
Exp1_Hunter_Control,Argent Commander,30315
Exp1_Hunter_Control,Demolisher,27473
Exp1_Hunter_Control,Onyxia,16550
Exp1_Hunter_Control,Bananas,15379
Exp1_Hunter_Control,King Krush,10317
Exp1_Hunter_Control,Consecration,4184
Exp1_Hunter_Control,Animal Companion,1532
Exp1_Hunter_Control,Mortal Coil,724
Exp1_Hunter_Control,Siphon Soul,590
Exp1_Hunter_Control,Avenging Wrath,502
Exp1_Hunter_Control,Kill Command,341
Exp1_Hunter_Control,Blessing of Kings,303
Exp1_Hunter_Control,Unleash the Hounds,242
Exp1_Hunter_Control,Explosive Shot,155
Exp1_Hunter_Control,Blessing of Might,138
Exp1_Hunter_Control,Lay on Hands,129
Exp1_Hunter_Control,Hammer of Wrath,114
Exp1_Hunter_Control,Equality,30
Exp1_Hunter_Control,Eye for an Eye,5
Exp1_Paladin_Aggro,Consecration,93455
Exp1_Paladin_Aggro,Voodoo Doctor,73508
Exp1_Paladin_Aggro,Lightwarden,65980
Exp1_Paladin_Aggro,Secretkeeper,64781
Exp1_Paladin_Aggro,The Coin,59984
Exp1_Paladin_Aggro,Scarlet Crusader,58834
Exp1_Paladin_Aggro,Blessing of Kings,43664
Exp1_Paladin_Aggro,Avenging Wrath,37419
Exp1_Paladin_Aggro,King Mukla,34933
Exp1_Paladin_Aggro,Millhouse Manastorm,34663
Exp1_Paladin_Aggro,Dire Wolf Alpha,34319
Exp1_Paladin_Aggro,Young Priestess,33829
Exp1_Paladin_Aggro,Worgen Infiltrator,33815
Exp1_Paladin_Aggro,Acidic Swamp Ooze,32726
Exp1_Paladin_Aggro,Murloc Tidehunter,32431
Exp1_Paladin_Aggro,Goldshire Footman,32430
Exp1_Paladin_Aggro,Sunfury Protector,30314
Exp1_Paladin_Aggro,Southsea Captain,29453
Exp1_Paladin_Aggro,Ironfur Grizzly,28773
Exp1_Paladin_Aggro,Mana Addict,28362
Exp1_Paladin_Aggro,The Beast,25029
Exp1_Paladin_Aggro,Stampeding Kodo,24878
Exp1_Paladin_Aggro,Truesilver Champion,17608
Exp1_Paladin_Aggro,Bananas,15659
Exp1_Paladin_Aggro,Baron Geddon,14197
Exp1_Paladin_Aggro,Lay on Hands,13765
Exp1_Paladin_Aggro,Eye for an Eye,13645
Exp1_Paladin_Aggro,Mortal Coil,86
Exp1_Paladin_Control,Consecration,95598
Exp1_Paladin_Control,Raid Leader,76294
Exp1_Paladin_Control,Mind Control Tech,76000
Exp1_Paladin_Control,Bloodsail Raider,74182
Exp1_Paladin_Control,Raging Worgen,69757
Exp1_Paladin_Control,The Coin,59692
Exp1_Paladin_Control,Fen Creeper,51899
Exp1_Paladin_Control,Sunwalker,48432
Exp1_Paladin_Control,Dark Iron Dwarf,47756
Exp1_Paladin_Control,Ironfur Grizzly,41927
Exp1_Paladin_Control,Priestess of Elune,41050
Exp1_Paladin_Control,Young Priestess,40069
Exp1_Paladin_Control,Shattered Sun Cleric,39322
Exp1_Paladin_Control,Stonetusk Boar,39284
Exp1_Paladin_Control,Wild Pyromancer,38813
Exp1_Paladin_Control,Hungry Crab,38146
Exp1_Paladin_Control,Master Swordsmith,34962
Exp1_Paladin_Control,Murloc Warleader,34819
Exp1_Paladin_Control,Tirion Fordring,33651
Exp1_Paladin_Control,Light,31928
Exp1_Paladin_Control,Stormwind Champion,30985
Exp1_Paladin_Control,Coldlight Seer,28002
Exp1_Paladin_Control,Questing Adventurer,27011
Exp1_Paladin_Control,Thrallmar Farseer,26391
Exp1_Paladin_Control,Imp Master,25685
Exp1_Paladin_Control,Alexstrasza,18047
Exp1_Paladin_Control,Bananas,15207
Exp1_Paladin_Control,Mortal Coil,215
Exp1_Warlock_Aggro,Worgen Infiltrator,72793
Exp1_Warlock_Aggro,Faerie Dragon,66772
Exp1_Warlock_Aggro,The Coin,59319
Exp1_Warlock_Aggro,Youthful Brewmaster,55890
Exp1_Warlock_Aggro,Nightblade,46659
Exp1_Warlock_Aggro,Dark Iron Dwarf,45407
Exp1_Warlock_Aggro,Wisp,41113
Exp1_Warlock_Aggro,Defender of Argus,39689
Exp1_Warlock_Aggro,Young Priestess,36114
Exp1_Warlock_Aggro,Southsea Deckhand,35992
Exp1_Warlock_Aggro,Succubus,35683
Exp1_Warlock_Aggro,King Mukla,35508
Exp1_Warlock_Aggro,Murloc Tidecaller,34806
Exp1_Warlock_Aggro,Lightwarden,34330
Exp1_Warlock_Aggro,Angry Chicken,34066
Exp1_Warlock_Aggro,Injured Blademaster,33840
Exp1_Warlock_Aggro,Wild Pyromancer,33376
Exp1_Warlock_Aggro,Leper Gnome,32459
Exp1_Warlock_Aggro,Bloodsail Raider,31215
Exp1_Warlock_Aggro,Pint-Sized Summoner,31208
Exp1_Warlock_Aggro,Sen,30970
Exp1_Warlock_Aggro,Blood Knight,30708
Exp1_Warlock_Aggro,Murloc Warleader,30383
Exp1_Warlock_Aggro,Scarlet Crusader,30037
Exp1_Warlock_Aggro,Novice Engineer,26830
Exp1_Warlock_Aggro,Lord of the Arena,23783
Exp1_Warlock_Aggro,Mortal Coil,23287
Exp1_Warlock_Aggro,Bananas,12880
Exp1_Warlock_Aggro,Sea Giant,11098
Exp1_Warlock_Aggro,Squirrel,47
Exp1_Warlock_Aggro,Whelp,7
Exp1_Warlock_Control,Sen,105056
Exp1_Warlock_Control,Sunwalker,90166
Exp1_Warlock_Control,Bloodfen Raptor,81254
Exp1_Warlock_Control,Amani Berserker,76550
Exp1_Warlock_Control,The Coin,59150
Exp1_Warlock_Control,Mogu,54324
Exp1_Warlock_Control,Fen Creeper,53136
Exp1_Warlock_Control,Defender of Argus,50868
Exp1_Warlock_Control,Voodoo Doctor,44630
Exp1_Warlock_Control,Silverback Patriarch,43914
Exp1_Warlock_Control,Millhouse Manastorm,41964
Exp1_Warlock_Control,Murloc Tidecaller,41654
Exp1_Warlock_Control,Dire Wolf Alpha,41576
Exp1_Warlock_Control,Siphon Soul,40618
Exp1_Warlock_Control,Mind Control Tech,40108
Exp1_Warlock_Control,Knife Juggler,39412
Exp1_Warlock_Control,Doomguard,38659
Exp1_Warlock_Control,Bloodsail Raider,37879
Exp1_Warlock_Control,Loot Hoarder,37474
Exp1_Warlock_Control,Scarlet Crusader,36882
Exp1_Warlock_Control,Flesheating Ghoul,33252
Exp1_Warlock_Control,The Black Knight,31998
Exp1_Warlock_Control,Illidan Stormrage,30620
Exp1_Warlock_Control,Dalaran Mage,26413
Exp1_Warlock_Control,Void Terror,24200
Exp1_Warlock_Control,Bananas,22585
Exp1_Warlock_Control,Ravenholdt Assassin,22005
Exp1_Warlock_Control,Alexstrasza,19271
Exp1_Warlock_Control,Mortal Coil,455
