,Exp1_Hunter_Aggro,Exp1_Hunter_Control,Exp1_Paladin_Aggro,Exp1_Paladin_Control,Exp1_Warlock_Aggro,Exp1_Warlock_Control,Exp2_Hunter_Aggro,Exp2_Hunter_Control,Exp2_Paladin_Aggro,Exp2_Paladin_Control,Exp2_Warlock_Aggro,Exp2_Warlock_Control
Exp1_Hunter_Aggro,0.4990909090909091,0.05747474747474748,0.11262626262626263,0.03101010101010101,0.08828282828282828,0.04656565656565657,0.4794949494949495,0.05585858585858586,0.10707070707070707,0.06222222222222222,0.07777777777777778,0.03616161616161616
Exp1_Hunter_Control,0.9380808080808081,0.49808080808080807,0.39656565656565657,0.28474747474747475,0.574949494949495,0.36838383838383837,0.9367676767676768,0.3477777777777778,0.45666666666666667,0.25535353535353533,0.5247474747474747,0.38747474747474747
Exp1_Paladin_Aggro,0.8867676767676768,0.5907070707070707,0.49373737373737375,0.4033333333333333,0.5697979797979797,0.5724242424242424,0.8775757575757576,0.6551515151515152,0.44262626262626265,0.49232323232323233,0.5282828282828282,0.5237373737373737
Exp1_Paladin_Control,0.9693939393939394,0.7195959595959596,0.5872727272727273,0.5064646464646465,0.7248484848484849,0.5764646464646465,0.952929292929293,0.5880808080808081,0.6078787878787879,0.4265656565656566,0.7267676767676767,0.6692929292929293
Exp1_Warlock_Aggro,0.9072727272727272,0.4257575757575758,0.42393939393939395,0.27404040404040403,0.49636363636363634,0.35818181818181816,0.8887878787878788,0.3594949494949495,0.36484848484848487,0.298989898989899,0.38292929292929295,0.37787878787878787
Exp1_Warlock_Control,0.9509090909090909,0.6236363636363637,0.4221212121212121,0.42404040404040405,0.6351515151515151,0.4990909090909091,0.9139393939393939,0.4223232323232323,0.4307070707070707,0.3449113924050633,0.6010126582278481,0.5464303797468354
Exp2_Hunter_Aggro,0.5225316455696203,0.06926582278481012,0.12151898734177215,0.050430379746835445,0.11088607594936709,0.09316455696202532,0.5010632911392405,0.07574683544303798,0.10379746835443038,0.09215189873417722,0.10075949367088607,0.050531645569620254
Exp2_Hunter_Control,0.944,0.6414177215189873,0.3307341772151899,0.34248101265822783,0.6457721518987342,0.49559493670886073,0.9271898734177215,0.49468354430379746,0.4589367088607595,0.32334177215189874,0.5790379746835443,0.522126582278481
Exp2_Paladin_Aggro,0.8937721518987342,0.5367088607594936,0.5488607594936709,0.39169620253164555,0.6232911392405063,0.5647594936708861,0.8990379746835443,0.5272911392405063,0.498126582278481,0.4547848101265823,0.575493670886076,0.46663291139240504
Exp2_Paladin_Control,0.9365063291139241,0.7539240506329113,0.5097721518987341,0.5708354430379747,0.7033924050632911,0.6514430379746835,0.9129113924050632,0.5806582278481013,0.5544303797468354,0.5030886075949367,0.6857721518987342,0.7328607594936709
Exp2_Warlock_Aggro,0.9247594936708861,0.4545822784810127,0.4603544303797468,0.28060759493670884,0.6175189873417721,0.40637974683544303,0.8930632911392405,0.4236962025316456,0.42440506329113925,0.30430379746835445,0.49478481012658226,0.44972151898734175
Exp2_Warlock_Control,0.9596962025316456,0.6102278481012658,0.4710886075949367,0.3321518987341772,0.6055696202531645,0.44951898734177215,0.9508860759493671,0.4526582278481013,0.5248607594936708,0.2671392405063291,0.5430886075949367,0.4978227848101266
