,Exp1_Hunter_Aggro,Exp1_Hunter_Control,Exp1_Paladin_Aggro,Exp1_Paladin_Control,Exp1_Warlock_Aggro,Exp1_Warlock_Control,Exp2_Hunter_Aggro,Exp2_Hunter_Control,Exp2_Paladin_Aggro,Exp2_Paladin_Control,Exp2_Warlock_Aggro,Exp2_Warlock_Control
Exp1_Hunter_Aggro,0.505,0.052,0.1096,0.0307,0.0856,0.0486,0.4782,0.0486,0.1007,0.0614,0.0804,0.0363
Exp1_Hunter_Control,0.9412,0.4999,0.3925,0.287,0.5725,0.37,0.9317,0.3368,0.4576,0.2468,0.5306,0.3862
Exp1_Paladin_Aggro,0.8923,0.5995,0.4947,0.408,0.5683,0.5658,0.8716,0.6553,0.4426,0.4895,0.5288,0.5119
Exp1_Paladin_Control,0.9645,0.7058,0.575,0.4946,0.7232,0.5836,0.9472,0.5891,0.6037,0.4354,0.7201,0.6728
Exp1_Warlock_Aggro,0.9115,0.4246,0.4172,0.2755,0.5042,0.3594,0.8826,0.3598,0.3709,0.3006,0.3836,0.3966
Exp1_Warlock_Control,0.9537,0.6285,0.4226,0.4127,0.64,0.5001,0.909,0.4078,0.4315,0.3417,0.5898,0.5432
Exp2_Hunter_Aggro,0.5164,0.0696,0.1183,0.0516,0.1079,0.0872,0.5023,0.0736,0.1037,0.0884,0.0983,0.0506
Exp2_Hunter_Control,0.9431,0.6374,0.3425,0.3416,0.6307,0.5017,0.9219,0.4904,0.4662,0.3274,0.5758,0.5152
Exp2_Paladin_Aggro,0.8893,0.5339,0.5519,0.3896,0.62,0.5614,0.8991,0.5352,0.4926,0.4453,0.5699,0.4613
Exp2_Paladin_Control,0.9359,0.76,0.5087,0.5622,0.6948,0.658,0.9112,0.5787,0.5588,0.5006,0.6836,0.7317
Exp2_Warlock_Aggro,0.917,0.4659,0.4653,0.2756,0.6217,0.4086,0.8964,0.4261,0.4204,0.3174,0.4928,0.4548
Exp2_Warlock_Control,0.9558,0.6085,0.4706,0.3324,0.6125,0.4584,0.9528,0.4533,0.5275,0.2699,0.5388,0.5053
