Aldor Peacekeeper;3;3;3
Alexstrasza;9;8;8
Booty Bay Bodyguard;5;5;4
Coldlight Seer;3;2;3
Consecration;4;;
Crazed Alchemist;2;2;2
Earthen Ring Farseer;3;3;3
Emperor Cobra;3;2;3
Frostwolf Warlord;5;4;4
Hammer of Wrath;4;;
Imp Master;3;1;5
Light's Justice;1;1;4
Mana Wraith;2;2;2
Millhouse Manastorm;2;4;4
Murloc Warleader;3;3;3
Nozdormu;9;8;8
Pint-Sized Summoner;2;2;2
Raging Worgen;3;3;3
Razorfen Hunter;3;2;3
Stampeding Kodo;5;3;5
Sunwalker;6;4;5
Tauren Warrior;3;2;3
The Black Knight;6;4;5
Tirion Fordring;8;6;6
Wild Pyromancer;2;3;2
Worgen Infiltrator;1;2;1
Young Priestess;1;2;1
