,Exp1_Hunter_Aggro,Exp1_Hunter_Control,Exp1_Paladin_Aggro,Exp1_Paladin_Control,Exp1_Warlock_Aggro,Exp1_Warlock_Control,Exp2_Hunter_Aggro,Exp2_Hunter_Control,Exp2_Paladin_Aggro,Exp2_Paladin_Control,Exp2_Warlock_Aggro,Exp2_Warlock_Control
Exp1_Hunter_Aggro,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Exp1_Hunter_Control,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
Exp1_Paladin_Aggro,,,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Exp1_Paladin_Control,,,,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Exp1_Warlock_Aggro,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Exp1_Warlock_Control,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0
Exp2_Hunter_Aggro,,,,,,,,0.0,0.0,1.0,1.0,0.0
Exp2_Hunter_Control,,,,,,,,,1.0,0.0,0.0,1.0
Exp2_Paladin_Aggro,,,,,,,,,,1.0,1.0,0.0
Exp2_Paladin_Control,,,,,,,,,,,0.0,0.0
Exp2_Warlock_Aggro,,,,,,,,,,,,0.0
Exp2_Warlock_Control,,,,,,,,,,,,
