,Exp1_Hunter_Aggro,Exp1_Hunter_Control,Exp1_Paladin_Aggro,Exp1_Paladin_Control,Exp1_Warlock_Aggro,Exp1_Warlock_Control,Exp2_Hunter_Aggro,Exp2_Hunter_Control,Exp2_Paladin_Aggro,Exp2_Paladin_Control,Exp2_Warlock_Aggro,Exp2_Warlock_Control
Exp1_Hunter_Aggro,0.528,0.11698701298701299,0.3629090909090909,0.05703896103896104,0.37174025974025976,0.12197402597402597,0.6022857142857143,0.21163636363636365,0.5071168831168831,0.09766233766233766,0.43542857142857144,0.13215584415584417
Exp1_Hunter_Control,0.9001558441558442,0.49288311688311687,0.675948051948052,0.227012987012987,0.8339740259740259,0.32083116883116886,0.886961038961039,0.5754805194805195,0.824,0.21953246753246752,0.8235844155844155,0.5296623376623376
Exp1_Paladin_Aggro,0.899012987012987,0.6228571428571429,0.724987012987013,0.36446753246753244,0.835012987012987,0.5419220779220779,0.9082597402597402,0.7676883116883116,0.8244155844155844,0.45392207792207795,0.8741818181818182,0.5755844155844155
Exp1_Paladin_Control,0.9629090909090909,0.7864935064935065,0.8579740259740259,0.5017142857142857,0.9481558441558442,0.5995844155844156,0.9537662337662338,0.9007792207792208,0.9235324675324675,0.45496103896103895,0.9554285714285714,0.8203636363636364
Exp1_Warlock_Aggro,0.6948571428571428,0.256,0.47314285714285714,0.11033766233766233,0.577974025974026,0.21942857142857142,0.7371428571428571,0.22566233766233768,0.651012987012987,0.13257142857142856,0.6077922077922078,0.2420779220779221
Exp1_Warlock_Control,0.8854025974025974,0.5926233766233766,0.7434805194805195,0.34244155844155844,0.8371948051948052,0.43366233766233764,0.8196363636363636,0.7367272727272727,0.822025974025974,0.2741818181818182,0.8412467532467532,0.6774025974025975
Exp2_Hunter_Aggro,0.3222857142857143,0.0718961038961039,0.217974025974026,0.04415584415584416,0.2212987012987013,0.12311688311688311,0.406025974025974,0.0907012987012987,0.3650909090909091,0.08561038961038961,0.24,0.06888311688311688
Exp2_Hunter_Control,0.8518441558441558,0.5211428571428571,0.5785974025974026,0.16155844155844157,0.8932987012987013,0.3378701298701299,0.9117922077922078,0.6087272727272727,0.8252467532467532,0.1651948051948052,0.8857142857142857,0.47044155844155844
Exp2_Paladin_Aggro,0.8351168831168831,0.44332467532467534,0.646961038961039,0.2347012987012987,0.7543896103896104,0.4295064935064935,0.8595324675324675,0.4558961038961039,0.7604155844155844,0.2948571428571429,0.7648831168831168,0.38451948051948054
Exp2_Paladin_Control,0.9174025974025974,0.7765194805194805,0.8024935064935065,0.5391168831168831,0.9130389610389611,0.6525714285714286,0.8985974025974026,0.8901818181818182,0.8817662337662338,0.4921558441558442,0.9212467532467532,0.8423896103896104
Exp2_Warlock_Aggro,0.5792207792207792,0.15657142857142858,0.38316883116883116,0.05049350649350649,0.45516883116883117,0.15781818181818183,0.681038961038961,0.1389090909090909,0.609038961038961,0.07574025974025975,0.4850909090909091,0.1063896103896104
Exp2_Warlock_Control,0.9315324675324675,0.5731948051948051,0.7873246753246753,0.2667012987012987,0.9094025974025974,0.3537662337662338,0.9227012987012987,0.7748571428571429,0.8916363636363637,0.22587012987012986,0.9191688311688312,0.6261818181818182
