Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,10,-3206,790104,6670000,1004497,5485757,3346326,559220,-237114,6440,118,3595555,25,5,10,-237114,Magma Rager*Chillwind Yeti*Razorfen Hunter*Core Hound*Multi-Shot*Stranglethorn Tiger*Questing Adventurer*Youthful Brewmaster*Ancient Brewmaster*Pint-Sized Summoner*Gadgetzan Auctioneer*Demolisher*Coldlight Seer*Cairne Bloodhoof*Frost Elemental*Raging Worgen*Murloc Warleader*Savannah Highmane*Kill Command*Kill Command*Flare*Snake Trap*Priestess of Elune*Sea Giant*Mana Wraith*Knife Juggler*Doomsayer*Violet Teacher*Southsea Captain*Hogger
1,-1,24,-2801,1021593,6715000,1022338,5358897,3296351,727475,-159485,3100,100,3222222,24,6,24,-159485,Fen Creeper*Hunter's Mark*Magma Rager*River Crocolisk*Kobold Geomancer*Gnomish Inventor*Lord of the Arena*Lord of the Arena*Young Dragonhawk*Bloodfen Raptor*Chillwind Yeti*Razorfen Hunter*Boulderfist Ogre*Core Hound*Tracking*Stranglethorn Tiger*Crazed Alchemist*Coldlight Seer*Frost Elemental*Tauren Warrior*Gurubashi Berserker*Shieldbearer*Snake Trap*Snake Trap*Harvest Golem*Explosive Trap*Deadly Shot*Wild Pyromancer*Faerie Dragon*Hogger
2,-1,27,-2439,1404017,6720000,1017857,4997023,3289434,643601,-62533,7280,112,6195555,26,4,27,-62533,Ironfur Grizzly*Gnomish Inventor*Ravenholdt Assassin*Murloc Raider*Bluegill Warrior*Reckless Rocketeer*Stormwind Champion*Arcane Shot*Acolyte of Pain*Voodoo Doctor*Shattered Sun Cleric*Ancient Brewmaster*Ancient Brewmaster*Pint-Sized Summoner*Mind Control Tech*Arcane Golem*Demolisher*Baron Geddon*Grimscale Oracle*Scavenging Hyena*Flare*Bestial Wrath*Harvest Golem*The Beast*Sea Giant*Sea Giant*Blood Knight*Explosive Trap*Bloodsail Raider*Hogger
5,-1,37,-2120,1510158,6645000,1000000,4869074,3214446,663656,-23732,5080,96,2960000,26,3,37,-23732,Hunter's Mark*Magma Rager*Oasis Snapjaw*Murloc Raider*Stonetusk Boar*Reckless Rocketeer*Spiteful Smith*Wisp*Timber Wolf*The Black Knight*Big Game Hunter*Voodoo Doctor*Dragonling Mechanic*Stranglethorn Tiger*Twilight Drake*Sunfury Protector*Pint-Sized Summoner*Abomination*Emperor Cobra*Amani Berserker*Shieldbearer*Eaglehorn Bow*The Beast*Ancient Mage*Nightblade*Snipe*Dread Corsair*Violet Teacher*Southsea Captain*Animal Companion
12,-1,52,-1781,1733526,6905000,1000000,4818247,3381607,661115,-32364,6920,105,5850000,24,6,52,-32364,River Crocolisk*Southsea Deckhand*Injured Blademaster*Booty Bay Bodyguard*Boulderfist Ogre*Tundra Rhino*Multi-Shot*Worgen Infiltrator*Jungle Panther*Dark Iron Dwarf*Secretkeeper*Arcane Golem*Mountain Giant*Murloc Tidecaller*Misdirection*Explosive Shot*Harvest Golem*Nozdormu*The Beast*Dalaran Mage*Snipe*Mana Wraith*Deadly Shot*Knife Juggler*Wild Pyromancer*Doomsayer*Faerie Dragon*Animal Companion*Master Swordsmith*Hogger
25,-1,52,-1762,1418044,7260000,1004132,4915977,3621212,606060,-11616,4900,118,5728888,26,3,52,-11616,Goldshire Footman*Earthen Ring Farseer*Frostwolf Grunt*Raid Leader*Stormpike Commando*Archmage*Bloodfen Raptor*Injured Blademaster*War Golem*Boulderfist Ogre*Stormwind Champion*Houndmaster*Timber Wolf*Multi-Shot*Multi-Shot*Acolyte of Pain*Stranglethorn Tiger*Twilight Drake*Loot Hoarder*Mountain Giant*Baron Geddon*Grimscale Oracle*Eaglehorn Bow*Explosive Shot*Priestess of Elune*Hungry Crab*Knife Juggler*Captain Greenskin*Master Swordsmith*Master Swordsmith
30,-1,53,-1479,1746020,6910000,1000723,4479015,3387843,651230,66002,6220,95,4005555,25,3,53,66002,Kobold Geomancer*Chillwind Yeti*Razorfen Hunter*Reckless Rocketeer*Venture Co. Mercenary*Timber Wolf*Arcane Shot*Gladiator's Longbow*Gladiator's Longbow*Young Priestess*Alarm-o-Bot*Acolyte of Pain*Worgen Infiltrator*Voodoo Doctor*Windfury Harpy*Abomination*Abomination*Dire Wolf Alpha*Emperor Cobra*Raging Worgen*Murloc Warleader*Grimscale Oracle*Murloc Tidecaller*Bestial Wrath*The Beast*Deadly Shot*Hungry Crab*Faerie Dragon*Master Swordsmith*Hogger
65,-1,49,-1436,1977503,6890000,1001451,4609579,3299709,726415,86072,3460,98,3795555,25,5,49,86072,Fen Creeper*Earthen Ring Farseer*Raid Leader*Silverback Patriarch*Lord of the Arena*Murloc Raider*Young Dragonhawk*Core Hound*Reckless Rocketeer*Alarm-o-Bot*Argent Squire*Angry Chicken*Voodoo Doctor*Windfury Harpy*Spellbreaker*Argent Commander*Mind Control Tech*Gadgetzan Auctioneer*Cairne Bloodhoof*Grimscale Oracle*Misdirection*Misdirection*Unleash the Hounds*Bestial Wrath*Cult Master*Deadly Shot*Wild Pyromancer*Wild Pyromancer*Bloodsail Corsair*Stampeding Kodo
68,-1,59,-1251,1992176,7030000,1001422,4664295,3510668,600284,54361,5220,96,3293333,25,4,59,54361,Fen Creeper*Hunter's Mark*Earthen Ring Farseer*Magma Rager*Stormwind Knight*Murloc Raider*Bluegill Warrior*Injured Blademaster*Abusive Sergeant*Ironbeak Owl*Reckless Rocketeer*Timber Wolf*Big Game Hunter*Dark Iron Dwarf*Mana Addict*Defender of Argus*Loot Hoarder*Abomination*Demolisher*Emperor Cobra*Murloc Tidehunter*Eaglehorn Bow*Explosive Shot*King Krush*Snipe*Illidan Stormrage*Mana Wraith*Hungry Crab*Faerie Dragon*Animal Companion
79,-1,62,-1176,1679830,7090000,1000000,4447813,3584626,578984,61333,1560,83,2178888,29,1,62,61333,Magma Rager*River Crocolisk*Ironfur Grizzly*Stormpike Commando*Spiteful Smith*Wisp*Starving Buzzard*Lightwarden*Young Priestess*Angry Chicken*Voodoo Doctor*Voodoo Doctor*Scarlet Crusader*Silvermoon Guardian*Dark Iron Dwarf*Youthful Brewmaster*Mana Addict*Defender of Argus*Abomination*Demolisher*Tauren Warrior*Shieldbearer*Dalaran Mage*Nightblade*Imp Master*Snipe*Mana Wraith*Knife Juggler*Wild Pyromancer*Stampeding Kodo
81,-1,61,-1162,1849758,7255000,1000000,4396967,3526533,685733,125940,5480,102,6106666,27,3,61,125940,Fen Creeper*River Crocolisk*Stormpike Commando*Murloc Raider*Young Dragonhawk*Razorfen Hunter*Reckless Rocketeer*Wisp*Wisp*Tundra Rhino*Multi-Shot*Young Priestess*Worgen Infiltrator*Silvermoon Guardian*Leper Gnome*Spellbreaker*Mana Addict*Pint-Sized Summoner*Secretkeeper*Defender of Argus*Defender of Argus*Baron Geddon*Mogu'shan Warden*Unleash the Hounds*Snake Trap*Nozdormu*Priestess of Elune*Sea Giant*Hungry Crab*Dread Corsair
577,68,61,-1127,2141414,6930000,1000721,4491341,3443722,602453,85242,5220,95,3405555,25,4,61,85242,Fen Creeper*Hunter's Mark*Earthen Ring Farseer*Magma Rager*Stormwind Knight*Murloc Raider*Bluegill Warrior*Injured Blademaster*Abusive Sergeant*Ironbeak Owl*Reckless Rocketeer*Timber Wolf*Big Game Hunter*Dark Iron Dwarf*Mana Addict*Secretkeeper*Defender of Argus*Loot Hoarder*Abomination*Demolisher*Emperor Cobra*Murloc Tidehunter*Eaglehorn Bow*Explosive Shot*King Krush*Snipe*Illidan Stormrage*Hungry Crab*Faerie Dragon*Animal Companion
