Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,121,608,4024691,6885000,1068264,3983297,3147421,875090,195175,7420,103,5578888,24,6,121,195175,Goldshire Footman*Guardian of Kings*Holy Light*Blessing of Kings*Consecration*Stormwind Knight*Southsea Deckhand*Stonetusk Boar*Bloodfen Raptor*Bluegill Warrior*Booty Bay Bodyguard*Razorfen Hunter*Frostwolf Warlord*Lightwarden*Worgen Infiltrator*King Mukla*Jungle Panther*Scarlet Crusader*Stranglethorn Tiger*Acidic Swamp Ooze*Mountain Giant*Cairne Bloodhoof*Dire Wolf Alpha*Blessing of Wisdom*Holy Wrath*Hand of Protection*The Beast*Cult Master*Millhouse Manastorm*Stampeding Kodo
5,-1,130,989,4348132,7095000,1000000,4159971,3183932,946441,99552,4960,107,3978888,28,2,130,99552,Goldshire Footman*Earthen Ring Farseer*Raid Leader*Silverback Patriarch*Ravenholdt Assassin*Bloodfen Raptor*Bluegill Warrior*Sen'jin Shieldmasta*Booty Bay Bodyguard*Stormwind Champion*Frostwolf Warlord*Venture Co. Mercenary*Lightwarden*Shattered Sun Cleric*Shattered Sun Cleric*Windfury Harpy*Ancient Brewmaster*Demolisher*Eye for an Eye*Redemption*Aldor Peacekeeper*Raging Worgen*Onyxia*Ancient Mage*Blood Knight*Illidan Stormrage*Hungry Crab*Bloodsail Raider*Faerie Dragon*Stampeding Kodo
21,-1,125,1062,4111756,6890000,1056603,3711901,3192307,885341,198636,9420,102,4706666,28,1,125,198636,Goldshire Footman*Truesilver Champion*Earthen Ring Farseer*Wolfrider*Gnomish Inventor*Sen'jin Shieldmasta*Injured Blademaster*Abusive Sergeant*Boulderfist Ogre*Darkscale Healer*Young Priestess*King Mukla*Novice Engineer*Scarlet Crusader*Mana Addict*Crazed Alchemist*Secretkeeper*Tinkmaster Overspark*Loot Hoarder*Coldlight Seer*Cairne Bloodhoof*Dire Wolf Alpha*Baron Geddon*Repentance*Tirion Fordring*Raging Worgen*Sea Giant*Nightblade*Knife Juggler*Faerie Dragon
37,-1,144,1686,4121495,7490000,1000000,3016688,3306408,1159546,222237,3540,84,2760000,27,3,144,222237,Fen Creeper*Blessing of Kings*Earthen Ring Farseer*Frostwolf Grunt*Stormpike Commando*Ravenholdt Assassin*Sen'jin Shieldmasta*Sen'jin Shieldmasta*Wisp*Young Priestess*Big Game Hunter*Angry Chicken*Voodoo Doctor*Shattered Sun Cleric*Ancient Watcher*Youthful Brewmaster*Sunfury Protector*Crazed Alchemist*Acidic Swamp Ooze*Pint-Sized Summoner*Mind Control Tech*Abomination*Humility*Argent Protector*Tauren Warrior*The Beast*Mana Wraith*Equality*Knife Juggler*Bloodsail Corsair
135,0,150,1757,4454873,6925000,1013718,3698194,3207942,893140,262382,9740,96,5360000,25,5,150,262382,Goldshire Footman*Blessing of Kings*Consecration*Ironfur Grizzly*Stormwind Knight*Southsea Deckhand*Gnomish Inventor*Stonetusk Boar*Bloodfen Raptor*Bluegill Warrior*Booty Bay Bodyguard*Lightwarden*Young Priestess*Worgen Infiltrator*Bloodmage Thalnos*King Mukla*Shattered Sun Cleric*Scarlet Crusader*Stranglethorn Tiger*Acidic Swamp Ooze*Mountain Giant*Cairne Bloodhoof*Dire Wolf Alpha*Blessing of Wisdom*Hand of Protection*Avenging Wrath*The Beast*Southsea Captain*Millhouse Manastorm*Stampeding Kodo
542,37,154,2223,4366876,7155000,1000000,3054507,3144654,1123689,316566,5000,84,2760000,27,3,154,316566,Fen Creeper*Blessing of Kings*Earthen Ring Farseer*Frostwolf Grunt*Stormpike Commando*Ravenholdt Assassin*Bloodfen Raptor*Sen'jin Shieldmasta*Sen'jin Shieldmasta*Wisp*Young Priestess*Big Game Hunter*Angry Chicken*Voodoo Doctor*King Mukla*Shattered Sun Cleric*Youthful Brewmaster*Sunfury Protector*Crazed Alchemist*Acidic Swamp Ooze*Pint-Sized Summoner*Mind Control Tech*Abomination*Humility*Argent Protector*The Beast*Mana Wraith*Equality*Knife Juggler*Bloodsail Corsair
703,135,169,2305,4659685,6685000,1038145,3415856,3051608,907255,340820,9340,86,2715555,26,4,169,340820,Goldshire Footman*Blessing of Kings*Consecration*Ironfur Grizzly*Stormwind Knight*Southsea Deckhand*Gnomish Inventor*Young Dragonhawk*Stonetusk Boar*Bloodfen Raptor*Bluegill Warrior*Booty Bay Bodyguard*Lightwarden*Young Priestess*Worgen Infiltrator*Bloodmage Thalnos*King Mukla*Novice Engineer*Shattered Sun Cleric*Scarlet Crusader*Stranglethorn Tiger*Acidic Swamp Ooze*Cairne Bloodhoof*Dire Wolf Alpha*Hand of Protection*Avenging Wrath*The Beast*Southsea Captain*Millhouse Manastorm*Stampeding Kodo
1077,542,169,2356,4561095,7120000,1000000,3195224,3056179,1143960,291784,5000,83,2845555,27,3,169,291784,Fen Creeper*Blessing of Kings*Earthen Ring Farseer*Frostwolf Grunt*Stormpike Commando*Ravenholdt Assassin*Bloodfen Raptor*Sen'jin Shieldmasta*Sen'jin Shieldmasta*Wisp*Young Priestess*Big Game Hunter*Angry Chicken*Voodoo Doctor*King Mukla*Shattered Sun Cleric*Youthful Brewmaster*Sunfury Protector*Crazed Alchemist*Acidic Swamp Ooze*Mind Control Tech*Abomination*Humility*Argent Protector*The Beast*Mana Wraith*Equality*Knife Juggler*Bloodsail Corsair*Bloodsail Corsair
1192,643,164,2423,4472303,6860000,1004373,3332361,3106413,948979,357849,8240,91,5232222,24,6,164,357849,Goldshire Footman*Blessing of Kings*Consecration*Consecration*Ironfur Grizzly*Stormwind Knight*Southsea Deckhand*Stonetusk Boar*Bloodfen Raptor*Bluegill Warrior*Booty Bay Bodyguard*Lightwarden*Young Priestess*Worgen Infiltrator*Bloodmage Thalnos*King Mukla*Shattered Sun Cleric*Scarlet Crusader*Stranglethorn Tiger*Acidic Swamp Ooze*Secretkeeper*Mountain Giant*Dire Wolf Alpha*Blessing of Wisdom*Hand of Protection*Avenging Wrath*The Beast*Southsea Captain*Millhouse Manastorm*Stampeding Kodo
1216,542,165,2566,4527449,7195000,1000000,2939541,3041000,1189020,333850,6500,84,3293333,28,2,165,333850,Goldshire Footman*Fen Creeper*Blessing of Kings*Earthen Ring Farseer*Frostwolf Grunt*Silverback Patriarch*Bloodfen Raptor*Sen'jin Shieldmasta*Sen'jin Shieldmasta*Wisp*Young Priestess*Big Game Hunter*Angry Chicken*Voodoo Doctor*King Mukla*Shattered Sun Cleric*Youthful Brewmaster*Sunfury Protector*Crazed Alchemist*Acidic Swamp Ooze*Pint-Sized Summoner*Mind Control Tech*Abomination*Argent Protector*Ysera*The Beast*Mana Wraith*Equality*Knife Juggler*Bloodsail Corsair
