Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,88,-707,3600370,8095000,1025324,4600370,3966028,693020,26839,7620,127,5178888,24,5,88,26839,Magma Rager*Gnomish Inventor*Stormpike Commando*Ravenholdt Assassin*Chillwind Yeti*Chillwind Yeti*War Golem*Ogre Magi*Boulderfist Ogre*Reckless Rocketeer*Starving Buzzard*Arcane Shot*The Black Knight*Argent Squire*Angry Chicken*Scarlet Crusader*Mountain Giant*Cairne Bloodhoof*Frost Elemental*Raging Worgen*Eaglehorn Bow*Explosive Shot*Cult Master*Cult Master*Snipe*Freezing Trap*Mana Wraith*Millhouse Manastorm*Animal Companion*Hogger
1,-1,162,2451,4521582,8340000,1000000,2950839,3781774,1035371,55628,4920,94,4115555,29,1,162,55628,Goldshire Footman*Hunter's Mark*Earthen Ring Farseer*Stormpike Commando*Ravenholdt Assassin*Lord of the Arena*Young Dragonhawk*Bloodfen Raptor*Booty Bay Bodyguard*Venture Co. Mercenary*Tundra Rhino*Lightwarden*Young Priestess*Worgen Infiltrator*Voodoo Doctor*Questing Adventurer*Pint-Sized Summoner*Defender of Argus*Abomination*Dire Wolf Alpha*Emperor Cobra*Gurubashi Berserker*Murloc Warleader*King Krush*Wild Pyromancer*Faerie Dragon*Bloodsail Corsair*Millhouse Manastorm*Flesheating Ghoul*Flesheating Ghoul
53,-1,161,2511,5136536,7910000,1000000,2768647,3580910,1005689,60185,7460,90,3866666,27,2,161,60185,Wolfrider*Wolfrider*Silver Hand Knight*Injured Blademaster*Gladiator's Longbow*Young Priestess*Worgen Infiltrator*King Mukla*Silvermoon Guardian*Stranglethorn Tiger*Mana Addict*Sunfury Protector*Crazed Alchemist*Dire Wolf Alpha*Shieldbearer*Grimscale Oracle*Murloc Tidecaller*Murloc Tidecaller*Savannah Highmane*Onyxia*Priestess of Elune*Blood Knight*Imp Master*Snipe*Hungry Crab*Faerie Dragon*Violet Teacher*Millhouse Manastorm*Animal Companion*Master Swordsmith
98,-1,160,2563,4533099,8535000,1067369,2722319,3762155,1108963,61571,4880,78,1173333,28,2,160,61571,Earthen Ring Farseer*River Crocolisk*Wolfrider*Ironfur Grizzly*Ironforge Rifleman*Bloodfen Raptor*Sen'jin Shieldmasta*Chillwind Yeti*Booty Bay Bodyguard*Young Priestess*Angry Chicken*Bloodmage Thalnos*Twilight Drake*Dark Iron Dwarf*Spellbreaker*Youthful Brewmaster*Loot Hoarder*Mogu'shan Warden*Shieldbearer*Murloc Tidehunter*Grimscale Oracle*Scavenging Hyena*Unleash the Hounds*Harvest Golem*Nat Pagle*Blood Knight*Imp Master*Explosive Trap*Hungry Crab*Faerie Dragon
504,1,167,2650,4879635,8225000,1000000,2986018,3801823,959270,60050,4920,95,4005555,29,1,167,60050,Hunter's Mark*Earthen Ring Farseer*Stormpike Commando*Ravenholdt Assassin*Lord of the Arena*Young Dragonhawk*Bloodfen Raptor*Booty Bay Bodyguard*Venture Co. Mercenary*Tundra Rhino*Lightwarden*Young Priestess*Worgen Infiltrator*Voodoo Doctor*Questing Adventurer*Acidic Swamp Ooze*Pint-Sized Summoner*Defender of Argus*Abomination*Dire Wolf Alpha*Emperor Cobra*Gurubashi Berserker*Murloc Warleader*King Krush*Wild Pyromancer*Faerie Dragon*Bloodsail Corsair*Millhouse Manastorm*Flesheating Ghoul*Flesheating Ghoul
512,1,162,2718,4524669,8310000,1000000,2959085,3837545,922382,61305,4920,94,3915555,29,1,162,61305,Goldshire Footman*Hunter's Mark*Earthen Ring Farseer*Stormpike Commando*Ravenholdt Assassin*Lord of the Arena*Bloodfen Raptor*Sen'jin Shieldmasta*Booty Bay Bodyguard*Venture Co. Mercenary*Lightwarden*Young Priestess*Worgen Infiltrator*Voodoo Doctor*Questing Adventurer*Pint-Sized Summoner*Defender of Argus*Abomination*Dire Wolf Alpha*Emperor Cobra*Gurubashi Berserker*Murloc Warleader*Scavenging Hyena*King Krush*Wild Pyromancer*Faerie Dragon*Bloodsail Corsair*Millhouse Manastorm*Flesheating Ghoul*Flesheating Ghoul
522,1,171,2779,4791053,8160000,1000000,2999387,3668504,1017769,58658,5220,91,4032222,28,2,171,58658,Goldshire Footman*Hunter's Mark*Earthen Ring Farseer*Stormpike Commando*Ravenholdt Assassin*Lord of the Arena*Young Dragonhawk*Bloodfen Raptor*Booty Bay Bodyguard*Venture Co. Mercenary*Tundra Rhino*Lightwarden*Young Priestess*Worgen Infiltrator*Voodoo Doctor*Questing Adventurer*Pint-Sized Summoner*Defender of Argus*Dire Wolf Alpha*Emperor Cobra*Gurubashi Berserker*Murloc Warleader*King Krush*Snake Trap*Wild Pyromancer*Faerie Dragon*Bloodsail Corsair*Millhouse Manastorm*Flesheating Ghoul*Flesheating Ghoul
584,53,163,2843,5245079,7875000,1000000,2528253,3532698,1027301,65044,5900,82,2728888,27,2,163,65044,Wolfrider*Wolfrider*Southsea Deckhand*Silver Hand Knight*Injured Blademaster*Gladiator's Longbow*Young Priestess*Worgen Infiltrator*King Mukla*Silvermoon Guardian*Stranglethorn Tiger*Mana Addict*Sunfury Protector*Crazed Alchemist*Dire Wolf Alpha*Shieldbearer*Grimscale Oracle*Murloc Tidecaller*Murloc Tidecaller*Savannah Highmane*Priestess of Elune*Blood Knight*Imp Master*Snipe*Hungry Crab*Faerie Dragon*Violet Teacher*Millhouse Manastorm*Animal Companion*Master Swordsmith
850,512,172,2977,4783882,8190000,1000000,2850427,3739926,985347,63502,4960,90,3666666,29,1,172,63502,Goldshire Footman*Hunter's Mark*Earthen Ring Farseer*Stormpike Commando*Ravenholdt Assassin*Bloodfen Raptor*Sen'jin Shieldmasta*Booty Bay Bodyguard*Venture Co. Mercenary*Lightwarden*Young Priestess*Worgen Infiltrator*Voodoo Doctor*Questing Adventurer*Pint-Sized Summoner*Defender of Argus*Abomination*Dire Wolf Alpha*Emperor Cobra*Gurubashi Berserker*Murloc Warleader*Scavenging Hyena*King Krush*Bloodsail Raider*Wild Pyromancer*Faerie Dragon*Bloodsail Corsair*Millhouse Manastorm*Flesheating Ghoul*Flesheating Ghoul
1035,98,175,2978,4619132,8415000,1046345,2720736,3688651,1120617,64356,4920,76,1248888,28,2,175,64356,Earthen Ring Farseer*River Crocolisk*Wolfrider*Ironforge Rifleman*Bloodfen Raptor*Sen'jin Shieldmasta*Chillwind Yeti*Booty Bay Bodyguard*Young Priestess*Angry Chicken*Bloodmage Thalnos*Leper Gnome*Twilight Drake*Dark Iron Dwarf*Spellbreaker*Youthful Brewmaster*Loot Hoarder*Mogu'shan Warden*Shieldbearer*Murloc Tidehunter*Grimscale Oracle*Scavenging Hyena*Unleash the Hounds*Harvest Golem*Nat Pagle*Blood Knight*Imp Master*Explosive Trap*Hungry Crab*Faerie Dragon
