Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,137,1392,5090041,8385000,1050685,3345259,3492546,1322003,53288,5180,122,8662222,29,1,137,53288,Corruption*Dread Infernal*Wolfrider*Silverback Patriarch*Stormwind Knight*Stormpike Commando*Ravenholdt Assassin*Bloodfen Raptor*Bluegill Warrior*Stormwind Champion*Young Priestess*Voodoo Doctor*Thrallmar Farseer*Defender of Argus*Gadgetzan Auctioneer*Coldlight Seer*Mountain Giant*Mountain Giant*Dire Wolf Alpha*Void Terror*Doomguard*Flame Imp*Amani Berserker*Mogu'shan Warden*Murloc Tidecaller*Malygos*Illidan Stormrage*Bloodsail Raider*Wild Pyromancer*Flesheating Ghoul
1,-1,141,1297,3947658,9075000,1027548,3653443,3846831,1303030,50195,6500,109,3165555,26,4,141,50195,Hellfire*Dread Infernal*Oasis Snapjaw*Ironforge Rifleman*Murloc Raider*Sen'jin Shieldmasta*Chillwind Yeti*Booty Bay Bodyguard*Stormwind Champion*Venture Co. Mercenary*Lightwarden*Leper Gnome*Twilight Drake*Spellbreaker*Sunfury Protector*Pint-Sized Summoner*Demolisher*Baron Geddon*Shadowflame*Siphon Soul*Shieldbearer*Grimscale Oracle*The Beast*Ancient Mage*Blood Knight*Demonfire*Imp Master*Knife Juggler*Captain Greenskin*Stampeding Kodo
18,-1,147,1814,5069912,8010000,1107365,2691635,3382022,1235955,60258,6300,94,5715555,29,1,147,60258,Shadow Bolt*Blood Imp*Magma Rager*River Crocolisk*Kobold Geomancer*Core Hound*Darkscale Healer*Alarm-o-Bot*Argent Squire*Jungle Panther*Dark Iron Dwarf*Sunfury Protector*Tinkmaster Overspark*Defender of Argus*Loot Hoarder*Demolisher*Mountain Giant*Dire Wolf Alpha*Succubus*Shieldbearer*Raging Worgen*Raging Worgen*Grimscale Oracle*Murloc Tidecaller*Nat Pagle*Alexstrasza*Dalaran Mage*Cult Master*Bloodsail Corsair*Master Swordsmith
20,-1,151,1772,4819887,7995000,1032520,2784865,3492808,1150093,58676,4800,91,3032222,29,1,151,58676,Frostwolf Grunt*Raid Leader*Ravenholdt Assassin*Sen'jin Shieldmasta*Chillwind Yeti*Razorfen Hunter*Boulderfist Ogre*Ironbeak Owl*Acolyte of Pain*Shattered Sun Cleric*Silvermoon Guardian*Leper Gnome*Questing Adventurer*Crazed Alchemist*Acidic Swamp Ooze*Secretkeeper*Demolisher*Dire Wolf Alpha*Emperor Cobra*Pit Lord*Flame Imp*Tauren Warrior*Murloc Tidehunter*Murloc Tidecaller*Ysera*Demonfire*Knife Juggler*Dread Corsair*Faerie Dragon*Millhouse Manastorm
28,-1,155,1835,4606613,8770000,1061573,3185860,3851767,1170467,55306,4720,104,4448888,27,3,155,55306,Shadow Bolt*Raid Leader*Ironforge Rifleman*Gnomish Inventor*Stormpike Commando*Silver Hand Knight*Sen'jin Shieldmasta*Injured Blademaster*Boulderfist Ogre*Worgen Infiltrator*Dragonling Mechanic*Stranglethorn Tiger*Youthful Brewmaster*Sunfury Protector*Acidic Swamp Ooze*Arcane Golem*Abomination*Emperor Cobra*Succubus*Siphon Soul*Flame Imp*Mogu'shan Warden*Shieldbearer*Sea Giant*Mana Wraith*Sacrificial Pact*Knife Juggler*Millhouse Manastorm*Gruul*Flesheating Ghoul
34,-1,156,2337,5239734,8280000,1047101,3045893,3327294,1201690,69395,5040,95,6138888,30,0,156,69395,Blood Imp*Voidwalker*River Crocolisk*Injured Blademaster*Chillwind Yeti*Booty Bay Bodyguard*Abusive Sergeant*Abusive Sergeant*Razorfen Hunter*Stormwind Champion*Stormwind Champion*Venture Co. Mercenary*Wisp*Wisp*Young Priestess*Jungle Panther*Shattered Sun Cleric*Scarlet Crusader*Stranglethorn Tiger*Ancient Brewmaster*Sunfury Protector*Acidic Swamp Ooze*Pint-Sized Summoner*Defender of Argus*Lorewalker Cho*Mountain Giant*Dire Wolf Alpha*Felguard*Illidan Stormrage*Hungry Crab
35,-1,160,2148,4900995,9040000,1105088,3249446,3826880,1273783,57469,3660,99,3010000,27,3,160,57469,Goldshire Footman*Corruption*Dread Infernal*Archmage*Ogre Magi*Stormwind Champion*Darkscale Healer*Voodoo Doctor*Novice Engineer*Jungle Panther*Stranglethorn Tiger*Sunfury Protector*Crazed Alchemist*Acidic Swamp Ooze*Pint-Sized Summoner*Mind Control Tech*Abomination*Demolisher*Emperor Cobra*Mortal Coil*Shadowflame*Doomguard*Amani Berserker*Mogu'shan Warden*Dalaran Mage*Blood Knight*Illidan Stormrage*Mana Wraith*Hungry Crab*Stampeding Kodo
106,0,164,2312,5344342,8175000,1051987,2977981,3429969,1278899,63008,4820,112,6595555,30,0,164,63008,Goldshire Footman*Dread Infernal*Wolfrider*Silverback Patriarch*Stormwind Knight*Stormpike Commando*Ravenholdt Assassin*Bloodfen Raptor*Bluegill Warrior*Stormwind Champion*Young Priestess*Voodoo Doctor*Thrallmar Farseer*Defender of Argus*Gadgetzan Auctioneer*Coldlight Seer*Mountain Giant*Dire Wolf Alpha*Void Terror*Doomguard*Flame Imp*Amani Berserker*Amani Berserker*Mogu'shan Warden*Murloc Tidecaller*Malygos*Illidan Stormrage*Bloodsail Raider*Wild Pyromancer*Flesheating Ghoul
250,0,168,2397,5328717,8305000,1049969,3098133,3371462,1381697,61065,6680,117,8756666,29,1,168,61065,Corruption*Dread Infernal*Wolfrider*Silverback Patriarch*Stormwind Knight*Murloc Raider*Bloodfen Raptor*Bluegill Warrior*Stormwind Champion*Young Priestess*Voodoo Doctor*Thrallmar Farseer*Defender of Argus*Gadgetzan Auctioneer*Coldlight Seer*Mountain Giant*Mountain Giant*Dire Wolf Alpha*Void Terror*Doomguard*Flame Imp*Amani Berserker*Mogu'shan Warden*Murloc Tidecaller*Malygos*Illidan Stormrage*Bloodsail Raider*Wild Pyromancer*Hogger*Flesheating Ghoul
578,34,170,2603,5350737,8140000,1055282,2857493,3355036,1134520,67825,5040,95,6138888,30,0,170,67825,Blood Imp*Voidwalker*River Crocolisk*Injured Blademaster*Chillwind Yeti*Booty Bay Bodyguard*Abusive Sergeant*Abusive Sergeant*Razorfen Hunter*Stormwind Champion*Stormwind Champion*Wisp*Wisp*Young Priestess*Jungle Panther*Shattered Sun Cleric*Scarlet Crusader*Stranglethorn Tiger*Stranglethorn Tiger*Ancient Brewmaster*Sunfury Protector*Acidic Swamp Ooze*Pint-Sized Summoner*Defender of Argus*Lorewalker Cho*Mountain Giant*Dire Wolf Alpha*Felguard*Illidan Stormrage*Hungry Crab
