Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,5,-3596,842360,6185000,1025060,5658043,3083265,583670,-245962,8800,124,6582222,23,6,5,-245962,Wolfrider*Stormwind Knight*Booty Bay Bodyguard*Ogre Magi*Stormwind Champion*Venture Co. Mercenary*Houndmaster*Timber Wolf*Bloodmage Thalnos*King Mukla*Novice Engineer*Scarlet Crusader*Questing Adventurer*Dark Iron Dwarf*Dark Iron Dwarf*Mountain Giant*Cairne Bloodhoof*Misdirection*Savannah Highmane*Eaglehorn Bow*Harvest Golem*Sea Giant*Blood Knight*Snipe*Explosive Trap*Explosive Trap*Deadly Shot*Deadly Shot*Southsea Captain*Deathwing
1,-1,7,-3334,838375,6280000,1000000,5175955,3207006,547770,-190289,7980,113,4045555,25,5,7,-190289,Fen Creeper*Magma Rager*Ironfur Grizzly*Stormpike Commando*Lord of the Arena*Bloodfen Raptor*Elven Archer*Venture Co. Mercenary*Houndmaster*Arcane Shot*The Black Knight*Big Game Hunter*Scarlet Crusader*Mana Addict*Tinkmaster Overspark*Gadgetzan Auctioneer*Abomination*Dire Wolf Alpha*Dire Wolf Alpha*Emperor Cobra*Murloc Tidehunter*Misdirection*Kill Command*Nozdormu*Alexstrasza*Blood Knight*Nightblade*Explosive Trap*Animal Companion*Flesheating Ghoul
3,-1,9,-3311,771747,6265000,1013567,5061452,3184357,529130,-178332,4300,116,3382222,27,2,9,-178332,Silverback Patriarch*Gnomish Inventor*Stormpike Commando*Archmage*Ravenholdt Assassin*Murloc Raider*Young Dragonhawk*Bluegill Warrior*Sen'jin Shieldmasta*War Golem*Booty Bay Bodyguard*Spiteful Smith*Venture Co. Mercenary*The Black Knight*Alarm-o-Bot*Twilight Drake*Questing Adventurer*Pint-Sized Summoner*Amani Berserker*Mogu'shan Warden*Gurubashi Berserker*Gurubashi Berserker*Misdirection*Eaglehorn Bow*Kill Command*Dalaran Mage*Nightblade*Bloodsail Corsair*Master Swordsmith*Gruul
9,-1,16,-2986,1261282,6315000,1000000,5084718,3190023,569279,-126999,5100,125,6405555,25,5,16,-126999,Goldshire Footman*Fen Creeper*Frostwolf Grunt*Ironforge Rifleman*Archmage*Ravenholdt Assassin*Bloodfen Raptor*Sen'jin Shieldmasta*Chillwind Yeti*Booty Bay Bodyguard*Spiteful Smith*Stormwind Champion*Wisp*Jungle Panther*Scarlet Crusader*Dark Iron Dwarf*Gadgetzan Auctioneer*Mountain Giant*Leeroy Jenkins*Tauren Warrior*Kill Command*The Beast*Sea Giant*Nightblade*Snipe*Deadly Shot*Deadly Shot*Hungry Crab*Wild Pyromancer*Animal Companion
32,-1,20,-3056,1158267,6350000,999212,4971653,3244881,505511,-168821,4560,110,3955555,28,2,20,-168821,Magma Rager*Oasis Snapjaw*Raid Leader*Wolfrider*Kobold Geomancer*Archmage*Young Dragonhawk*Young Dragonhawk*Sen'jin Shieldmasta*Boulderfist Ogre*Starving Buzzard*Houndmaster*Multi-Shot*Lightwarden*Big Game Hunter*Angry Chicken*Ancient Brewmaster*Ancient Brewmaster*Secretkeeper*Emperor Cobra*Frost Elemental*Amani Berserker*Mogu'shan Warden*Gurubashi Berserker*Unleash the Hounds*Alexstrasza*Ancient Mage*Mana Wraith*Faerie Dragon*Gruul
43,-1,24,-2500,1674980,6415000,1028838,4592361,3352299,540140,-13416,6540,96,5359999,26,4,24,-13416,Magma Rager*Wolfrider*Wolfrider*Southsea Deckhand*Gnomish Inventor*Murloc Raider*Bloodfen Raptor*Bluegill Warrior*War Golem*Starving Buzzard*Timber Wolf*Tracking*Voodoo Doctor*Bloodmage Thalnos*Jungle Panther*Arcane Golem*Gadgetzan Auctioneer*Demolisher*Coldlight Seer*Mountain Giant*Baron Geddon*Tauren Warrior*Raging Worgen*Misdirection*Flare*Harrison Jones*Freezing Trap*Hungry Crab*Wild Pyromancer*Flesheating Ghoul
74,-1,25,-2651,1618716,6465000,1003866,4694508,3426140,504253,-20739,7860,103,4178888,25,5,25,-20739,Wolfrider*Stormwind Knight*Southsea Deckhand*Stormpike Commando*Archmage*Young Dragonhawk*Spiteful Smith*Tracking*The Black Knight*Voodoo Doctor*Jungle Panther*Ancient Watcher*Spellbreaker*Crazed Alchemist*Gadgetzan Auctioneer*Leeroy Jenkins*Baron Geddon*Tauren Warrior*Shieldbearer*Grimscale Oracle*Explosive Shot*Kill Command*Flare*Alexstrasza*Blood Knight*Nightblade*Imp Master*Explosive Trap*Knife Juggler*Faerie Dragon
98,-1,27,-2485,1441825,6575000,1000000,4208365,3358935,563498,21135,5280,91,5765555,30,0,27,21135,Oasis Snapjaw*Frostwolf Grunt*Young Dragonhawk*Bluegill Warrior*Injured Blademaster*Abusive Sergeant*Ogre Magi*Ironbeak Owl*Wisp*The Black Knight*Young Priestess*Voodoo Doctor*Voodoo Doctor*Shattered Sun Cleric*Windfury Harpy*Youthful Brewmaster*Ancient Brewmaster*Gadgetzan Auctioneer*Dire Wolf Alpha*Tauren Warrior*Shieldbearer*Murloc Tidehunter*Harvest Golem*Dalaran Mage*Sea Giant*Doomsayer*Doomsayer*Faerie Dragon*Bloodsail Corsair*Deathwing
742,78,29,-2539,1898850,6525000,1000766,4868965,3419157,576245,-23541,8060,115,6272222,26,4,29,-23541,Earthen Ring Farseer*River Crocolisk*Stormpike Commando*Ravenholdt Assassin*Young Dragonhawk*Bluegill Warrior*Booty Bay Bodyguard*Elven Archer*Reckless Rocketeer*Tracking*Lightwarden*The Black Knight*Scarlet Crusader*Questing Adventurer*Ancient Brewmaster*Gadgetzan Auctioneer*Mountain Giant*Leeroy Jenkins*Frost Elemental*Tauren Warrior*Gurubashi Berserker*Scavenging Hyena*Ysera*Deadly Shot*Bloodsail Raider*Knife Juggler*Doomsayer*Millhouse Manastorm*Animal Companion*Animal Companion
873,78,30,-2497,1939255,6585000,1000000,4706150,3468488,529233,-27353,4760,111,5409999,27,3,30,-27353,Earthen Ring Farseer*Earthen Ring Farseer*River Crocolisk*Stormpike Commando*Young Dragonhawk*Bluegill Warrior*War Golem*Booty Bay Bodyguard*Elven Archer*Reckless Rocketeer*Reckless Rocketeer*Starving Buzzard*Tracking*Lightwarden*The Black Knight*Scarlet Crusader*Questing Adventurer*Ancient Brewmaster*Mountain Giant*Leeroy Jenkins*Frost Elemental*Tauren Warrior*Gurubashi Berserker*Scavenging Hyena*Bloodsail Raider*Knife Juggler*Doomsayer*Animal Companion*Animal Companion*Master Swordsmith
