Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,62,-1618,3655400,6805000,1000000,3859662,3446730,596620,-62754,2160,102,2239999,28,1,62,-62754,Goldshire Footman*Goldshire Footman*Blessing of Kings*Ironforge Rifleman*Southsea Deckhand*Stormpike Commando*Silver Hand Knight*Bluegill Warrior*Booty Bay Bodyguard*Ogre Magi*Boulderfist Ogre*Venture Co. Mercenary*Darkscale Healer*Big Game Hunter*Worgen Infiltrator*Jungle Panther*Jungle Panther*Shattered Sun Cleric*Windfury Harpy*Questing Adventurer*Arcane Golem*Abomination*Emperor Cobra*Sword of Justice*Mogu'shan Warden*Raging Worgen*Dalaran Mage*Ancient Mage*Hungry Crab*Master Swordsmith
3,-1,64,-1488,3627407,6750000,1001481,4039259,3425925,628148,-76169,2980,116,6848888,27,2,64,-76169,Blessing of Might*Raid Leader*Kobold Geomancer*Injured Blademaster*War Golem*Booty Bay Bodyguard*Ogre Magi*Reckless Rocketeer*Frostwolf Warlord*Wisp*Darkscale Healer*Young Priestess*Big Game Hunter*Argent Squire*Shattered Sun Cleric*Sunwalker*Dark Iron Dwarf*Ancient Brewmaster*Pint-Sized Summoner*Gadgetzan Auctioneer*Mountain Giant*Redemption*Sword of Justice*Amani Berserker*Sea Giant*Nightblade*Knife Juggler*Wild Pyromancer*Doomsayer*Dread Corsair
5,-1,90,-537,3558963,7335000,1000000,3545330,3723244,632583,93152,7140,109,5432222,27,3,90,93152,Blessing of Kings*Consecration*Earthen Ring Farseer*River Crocolisk*Frostwolf Grunt*Raid Leader*Southsea Deckhand*Stormpike Commando*Young Dragonhawk*Stonetusk Boar*Sen'jin Shieldmasta*Injured Blademaster*War Golem*Elven Archer*Reckless Rocketeer*Lightwarden*Young Priestess*Angry Chicken*Tinkmaster Overspark*Demolisher*Cairne Bloodhoof*Frost Elemental*Avenging Wrath*Tauren Warrior*Mogu'shan Warden*Alexstrasza*Dalaran Mage*Sea Giant*Blood Knight*Southsea Captain
494,15,92,-319,3669461,7155000,1016072,3519916,3556254,703004,88486,4060,95,3272222,24,6,92,88486,Blessing of Kings*Blessing of Kings*Consecration*Raid Leader*Ironfur Grizzly*Frostwolf Warlord*Darkscale Healer*Argent Squire*Angry Chicken*Shattered Sun Cleric*Leper Gnome*Twilight Drake*Twilight Drake*Ancient Watcher*Mana Addict*Argent Commander*Secretkeeper*Blessing of Wisdom*Tirion Fordring*Avenging Wrath*Dalaran Mage*Nightblade*Nightblade*Mana Wraith*Equality*Hungry Crab*Hungry Crab*Wild Pyromancer*Dread Corsair*Master Swordsmith
522,5,93,-275,3916492,7185000,999304,3553931,3623521,667362,136109,7200,109,5432222,27,3,93,136109,Blessing of Kings*Consecration*Earthen Ring Farseer*River Crocolisk*Frostwolf Grunt*Raid Leader*Southsea Deckhand*Stormpike Commando*Young Dragonhawk*Stonetusk Boar*Sen'jin Shieldmasta*Injured Blademaster*War Golem*Elven Archer*Reckless Rocketeer*Lightwarden*Young Priestess*Angry Chicken*Questing Adventurer*Tinkmaster Overspark*Demolisher*Cairne Bloodhoof*Frost Elemental*Avenging Wrath*Mogu'shan Warden*Alexstrasza*Dalaran Mage*Sea Giant*Blood Knight*Southsea Captain
601,5,94,-422,3511141,7405000,1000000,3463200,3783254,639432,156952,7140,105,4250000,26,4,94,156952,Blessing of Kings*Consecration*Earthen Ring Farseer*River Crocolisk*Frostwolf Grunt*Raid Leader*Southsea Deckhand*Stormpike Commando*Young Dragonhawk*Stonetusk Boar*Sen'jin Shieldmasta*Injured Blademaster*War Golem*Elven Archer*Reckless Rocketeer*Lightwarden*Young Priestess*Angry Chicken*Tinkmaster Overspark*Demolisher*Cairne Bloodhoof*Frost Elemental*Avenging Wrath*Avenging Wrath*Tauren Warrior*Mogu'shan Warden*Alexstrasza*Dalaran Mage*Blood Knight*Southsea Captain
656,5,99,-92,3824016,7245000,997929,3500345,3570048,719116,169274,7140,108,5306666,27,3,99,169274,Blessing of Kings*Consecration*Earthen Ring Farseer*River Crocolisk*Frostwolf Grunt*Raid Leader*Southsea Deckhand*Stormpike Commando*Young Dragonhawk*Stonetusk Boar*Sen'jin Shieldmasta*Injured Blademaster*War Golem*Elven Archer*Reckless Rocketeer*Lightwarden*Young Priestess*Argent Squire*Tinkmaster Overspark*Demolisher*Cairne Bloodhoof*Avenging Wrath*Tauren Warrior*Mogu'shan Warden*Alexstrasza*Dalaran Mage*Sea Giant*Blood Knight*Southsea Captain*Stampeding Kodo
1139,494,100,-82,3634986,7260000,1007575,3392561,3594352,749311,110085,4000,92,2995555,24,6,100,110085,Blessing of Kings*Blessing of Kings*Consecration*Raid Leader*Ironfur Grizzly*Frostwolf Warlord*Darkscale Healer*Argent Squire*Angry Chicken*Shattered Sun Cleric*Thrallmar Farseer*Leper Gnome*Twilight Drake*Twilight Drake*Ancient Watcher*Mana Addict*Secretkeeper*Blessing of Wisdom*Tirion Fordring*Avenging Wrath*Dalaran Mage*Nightblade*Nightblade*Mana Wraith*Equality*Hungry Crab*Hungry Crab*Wild Pyromancer*Dread Corsair*Master Swordsmith
1194,656,105,108,3807196,7365000,998642,3255261,3646300,731839,195698,5480,104,5182222,27,3,105,195698,Goldshire Footman*Blessing of Kings*Consecration*Earthen Ring Farseer*River Crocolisk*Frostwolf Grunt*Raid Leader*Southsea Deckhand*Stormpike Commando*Young Dragonhawk*Stonetusk Boar*Sen'jin Shieldmasta*Injured Blademaster*War Golem*Elven Archer*Reckless Rocketeer*Lightwarden*Argent Squire*Tinkmaster Overspark*Demolisher*Avenging Wrath*Tauren Warrior*Amani Berserker*Mogu'shan Warden*Alexstrasza*Dalaran Mage*Sea Giant*Blood Knight*Southsea Captain*Stampeding Kodo
1619,1146,109,34,3973370,7135000,1015416,3646811,3537491,715487,113770,4060,96,3226666,24,6,109,113770,Blessing of Kings*Blessing of Kings*Consecration*Raid Leader*Ironfur Grizzly*Frostwolf Warlord*Darkscale Healer*Angry Chicken*Shattered Sun Cleric*Scarlet Crusader*Leper Gnome*Twilight Drake*Twilight Drake*Mana Addict*Argent Commander*Secretkeeper*Blessing of Wisdom*Tirion Fordring*Avenging Wrath*Dalaran Mage*Nightblade*Nightblade*Mana Wraith*Equality*Hungry Crab*Hungry Crab*Wild Pyromancer*Dread Corsair*Bloodsail Corsair*Master Swordsmith
