Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,11,-3988,2243684,6730000,1032689,4413818,2872956,1127786,-478893,3160,119,4165555,26,4,11,-478893,Shadow Bolt*Blood Imp*Dread Infernal*Lord of the Arena*Stonetusk Boar*Chillwind Yeti*Booty Bay Bodyguard*Ironbeak Owl*Spiteful Smith*Stormwind Champion*Darkscale Healer*Alarm-o-Bot*Angry Chicken*Novice Engineer*Silvermoon Guardian*Sunwalker*Windfury Harpy*Argent Commander*Gadgetzan Auctioneer*Frost Elemental*Shadowflame*Doomguard*Sense Demons*Bane of Doom*Shieldbearer*Grimscale Oracle*Dalaran Mage*Bloodsail Raider*Bloodsail Corsair*Gruul
1,-1,25,-3338,2742501,6835000,1033650,4782735,3142648,929041,-426741,5260,125,3272222,28,2,25,-426741,Voidwalker*Gnomish Inventor*Booty Bay Bodyguard*Reckless Rocketeer*Venture Co. Mercenary*Young Priestess*Big Game Hunter*Acolyte of Pain*Stranglethorn Tiger*Sunwalker*Sunwalker*Spellbreaker*Ancient Brewmaster*Argent Commander*Arcane Golem*Defender of Argus*Coldlight Seer*Cairne Bloodhoof*Dire Wolf Alpha*Baron Geddon*Frost Elemental*Twisting Nether*Mogu'shan Warden*Raging Worgen*Cult Master*Cult Master*Sacrificial Pact*Bloodsail Raider*Dread Corsair*Dread Corsair
3,-1,27,-2951,2881129,6730000,1002971,4149331,3137444,827637,-292369,4500,115,3472222,29,1,27,-292369,Wolfrider*Silverback Patriarch*Stormwind Knight*Ironforge Rifleman*Chillwind Yeti*War Golem*War Golem*Ogre Magi*Core Hound*Venture Co. Mercenary*Alarm-o-Bot*Shattered Sun Cleric*Silvermoon Guardian*Questing Adventurer*Dark Iron Dwarf*Mana Addict*Pint-Sized Summoner*Arcane Golem*Abomination*Lorewalker Cho*Dire Wolf Alpha*Frost Elemental*Soulfire*Grimscale Oracle*Malygos*Ancient Mage*Imp Master*Violet Teacher*Master Swordsmith*Stampeding Kodo
4,-1,47,-2162,3219014,7100000,1007746,3871126,3280281,909859,-183705,4240,105,3450000,27,3,47,-183705,Goldshire Footman*Shadow Bolt*Hellfire*Earthen Ring Farseer*Kobold Geomancer*Southsea Deckhand*Archmage*Murloc Raider*Ogre Magi*Boulderfist Ogre*Core Hound*Venture Co. Mercenary*Voodoo Doctor*Bloodmage Thalnos*Jungle Panther*Scarlet Crusader*Thrallmar Farseer*Stranglethorn Tiger*Dark Iron Dwarf*Crazed Alchemist*Defender of Argus*Coldlight Seer*Shadowflame*Flame Imp*Tauren Warrior*Nozdormu*Dalaran Mage*Ancient Mage*Stampeding Kodo*Flesheating Ghoul
11,-1,53,-1834,2992170,7025000,1004270,3402135,3105338,1045551,-123511,5880,103,5178888,27,3,53,-123511,Hellfire*Dread Infernal*Raid Leader*Silverback Patriarch*Stormwind Knight*Murloc Raider*Elven Archer*Ironbeak Owl*Wisp*Darkscale Healer*Lightwarden*Argent Squire*Shattered Sun Cleric*Questing Adventurer*Pint-Sized Summoner*Secretkeeper*Abomination*Coldlight Seer*Dire Wolf Alpha*Baron Geddon*Sense Demons*Gurubashi Berserker*Nozdormu*Dalaran Mage*Nightblade*Demonfire*Imp Master*Deathwing*Master Swordsmith*Flesheating Ghoul
23,-1,63,-1503,2792164,7530000,1011288,3366533,3252324,1195883,-34700,7080,107,6045555,26,4,63,-34700,Hellfire*Hellfire*Earthen Ring Farseer*Southsea Deckhand*Murloc Raider*Ironbeak Owl*Spiteful Smith*Wisp*Youthful Brewmaster*Youthful Brewmaster*Crazed Alchemist*Defender of Argus*Abomination*Mountain Giant*Dire Wolf Alpha*Shadowflame*Succubus*Shieldbearer*Murloc Warleader*Murloc Tidecaller*Harrison Jones*Malygos*The Beast*Priestess of Elune*Blood Knight*Nightblade*Nightblade*Demonfire*Master Swordsmith*Flesheating Ghoul
42,-1,64,-1542,3380581,7055000,1085754,3514528,3154500,1030474,-57190,2020,93,2556666,24,6,64,-57190,Gnomish Inventor*Murloc Raider*Bluegill Warrior*Abusive Sergeant*Dragonling Mechanic*Ancient Brewmaster*Secretkeeper*Gadgetzan Auctioneer*Loot Hoarder*Demolisher*Coldlight Seer*Frost Elemental*Frost Elemental*Mortal Coil*Shadowflame*Succubus*Succubus*Sense Demons*Flame Imp*Bane of Doom*Tauren Warrior*Raging Worgen*Murloc Warleader*Priestess of Elune*Nightblade*Cult Master*Demonfire*Demonfire*Wild Pyromancer*Master Swordsmith
65,-1,69,-1335,3678468,6920000,1008670,3232658,2945809,1029624,7239,3720,93,3756666,29,1,69,7239,Blood Imp*Frostwolf Grunt*Wolfrider*Ironfur Grizzly*Ironforge Rifleman*Ravenholdt Assassin*Chillwind Yeti*Big Game Hunter*Acolyte of Pain*Shattered Sun Cleric*Shattered Sun Cleric*Scarlet Crusader*Dragonling Mechanic*Leper Gnome*Dark Iron Dwarf*Acidic Swamp Ooze*Dire Wolf Alpha*Felguard*Void Terror*Doomguard*Pit Lord*Shieldbearer*Murloc Tidehunter*Nightblade*Sacrificial Pact*Hungry Crab*Bloodsail Raider*Knife Juggler*Deathwing*Master Swordsmith
90,-1,72,-1008,3952941,6800000,1027941,2696323,2716911,1311764,122774,5720,85,5605555,28,2,72,122774,Shadow Bolt*Earthen Ring Farseer*Southsea Deckhand*Young Dragonhawk*Spiteful Smith*Angry Chicken*Worgen Infiltrator*Shattered Sun Cleric*Leper Gnome*Youthful Brewmaster*Sunfury Protector*Pint-Sized Summoner*Tinkmaster Overspark*Loot Hoarder*Mountain Giant*Dire Wolf Alpha*Mortal Coil*Void Terror*Doomguard*Flame Imp*Tauren Warrior*Shieldbearer*Murloc Tidehunter*Murloc Warleader*Murloc Tidecaller*Nozdormu*Ancient Mage*Blood Knight*Imp Master*Faerie Dragon
575,49,74,-1189,3589031,7020000,1005698,3816951,3277777,895299,-50931,8120,121,6098888,30,0,74,-50931,Voidwalker*Lord of the Arena*Bluegill Warrior*Sen'jin Shieldmasta*Chillwind Yeti*Razorfen Hunter*Ironbeak Owl*Darkscale Healer*King Mukla*Shattered Sun Cleric*Scarlet Crusader*Thrallmar Farseer*Leper Gnome*Youthful Brewmaster*Mind Control Tech*Defender of Argus*Gadgetzan Auctioneer*Loot Hoarder*Mountain Giant*Cairne Bloodhoof*Dire Wolf Alpha*Succubus*Murloc Warleader*Alexstrasza*Ysera*Priestess of Elune*Ancient Mage*Nightblade*Imp Master*Master Swordsmith
592,90,76,-1050,4025697,6810000,1030837,2879588,2745227,1279735,94982,7280,89,5632222,28,2,76,94982,Shadow Bolt*Earthen Ring Farseer*Southsea Deckhand*Young Dragonhawk*Spiteful Smith*Angry Chicken*Worgen Infiltrator*Shattered Sun Cleric*Leper Gnome*Youthful Brewmaster*Crazed Alchemist*Crazed Alchemist*Pint-Sized Summoner*Tinkmaster Overspark*Loot Hoarder*Mountain Giant*Mortal Coil*Void Terror*Doomguard*Flame Imp*Tauren Warrior*Shieldbearer*Murloc Tidehunter*Murloc Warleader*Nozdormu*Ancient Mage*Blood Knight*Imp Master*Faerie Dragon*Captain Greenskin
