Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,86,-745,4076034,8220000,1059610,3921532,4101581,691605,31950,7800,118,6728888,26,4,86,31950,Blessing of Might*Guardian of Kings*Consecration*Hammer of Wrath*Magma Rager*Frostwolf Grunt*Raid Leader*Southsea Deckhand*Bloodfen Raptor*Chillwind Yeti*Booty Bay Bodyguard*Frostwolf Warlord*The Black Knight*Acolyte of Pain*Sunwalker*Questing Adventurer*Ancient Watcher*Crazed Alchemist*Acidic Swamp Ooze*Gadgetzan Auctioneer*Mountain Giant*Repentance*Aldor Peacekeeper*Tauren Warrior*Nozdormu*Alexstrasza*Cult Master*Mana Wraith*Wild Pyromancer*Millhouse Manastorm
5,-1,90,-769,4180929,8180000,1004889,3765892,3999388,753667,28733,9200,111,4743333,29,1,90,28733,Goldshire Footman*Magma Rager*Frostwolf Grunt*Silver Hand Knight*Ravenholdt Assassin*Bluegill Warrior*Injured Blademaster*Abusive Sergeant*Razorfen Hunter*Ogre Magi*Venture Co. Mercenary*Venture Co. Mercenary*The Black Knight*Young Priestess*Thrallmar Farseer*Sunwalker*Spellbreaker*Mana Addict*Loot Hoarder*Abomination*Eye for an Eye*Emperor Cobra*Argent Protector*Tirion Fordring*Raging Worgen*Grimscale Oracle*Ysera*The Beast*Illidan Stormrage*Wild Pyromancer
11,-1,94,-600,4327074,8255000,1015142,3717746,4067231,737734,31608,6740,106,3448888,25,5,94,31608,Blessing of Might*Blessing of Kings*Earthen Ring Farseer*Ironfur Grizzly*Silverback Patriarch*Silver Hand Knight*Stonetusk Boar*Injured Blademaster*Chillwind Yeti*War Golem*The Black Knight*Alarm-o-Bot*Thrallmar Farseer*Sunwalker*Questing Adventurer*Questing Adventurer*Mana Addict*Argent Commander*Pint-Sized Summoner*Tinkmaster Overspark*Divine Favor*Avenging Wrath*Murloc Tidecaller*Harvest Golem*Onyxia*Mana Wraith*Equality*Bloodsail Raider*Violet Teacher*Flesheating Ghoul
14,-1,96,-608,4385933,8460000,1038416,3818557,4246453,641252,33581,3380,107,2578888,26,4,96,33581,Blessing of Kings*Consecration*Raid Leader*Gnomish Inventor*Stormpike Commando*Booty Bay Bodyguard*Boulderfist Ogre*Core Hound*Spiteful Smith*Acolyte of Pain*Acolyte of Pain*Angry Chicken*Scarlet Crusader*Silvermoon Guardian*Leper Gnome*Twilight Drake*Acidic Swamp Ooze*Acidic Swamp Ooze*Mind Control Tech*Redemption*Dire Wolf Alpha*Emperor Cobra*Frost Elemental*Avenging Wrath*Amani Berserker*Murloc Warleader*Harvest Golem*Ancient Mage*Bloodsail Raider*Hogger
38,-1,99,-199,4283792,8175000,1039143,3126605,4018960,746788,41695,7740,93,3223333,27,3,99,41695,Blessing of Might*Magma Rager*Ironfur Grizzly*Stormpike Commando*Ravenholdt Assassin*Murloc Raider*Ogre Magi*Ironbeak Owl*Spiteful Smith*Argent Squire*Worgen Infiltrator*Voodoo Doctor*Voodoo Doctor*Novice Engineer*Scarlet Crusader*Sunfury Protector*Secretkeeper*Tinkmaster Overspark*Mind Control Tech*Defender of Argus*Emperor Cobra*Humility*Avenging Wrath*Dalaran Mage*Nightblade*Illidan Stormrage*Knife Juggler*Faerie Dragon*Captain Greenskin*Hogger
101,0,106,-128,4253644,8575000,1059475,3993002,4167930,784256,31843,7800,120,6466666,26,4,106,31843,Blessing of Might*Guardian of Kings*Consecration*Hammer of Wrath*Magma Rager*Frostwolf Grunt*Raid Leader*Bloodfen Raptor*Chillwind Yeti*Booty Bay Bodyguard*Frostwolf Warlord*The Black Knight*Acolyte of Pain*Sunwalker*Questing Adventurer*Ancient Watcher*Crazed Alchemist*Acidic Swamp Ooze*Gadgetzan Auctioneer*Mountain Giant*Repentance*Aldor Peacekeeper*Tauren Warrior*Raging Worgen*Nozdormu*Alexstrasza*Cult Master*Mana Wraith*Wild Pyromancer*Millhouse Manastorm
217,0,112,56,4218214,8455000,1066232,3824364,4201064,688941,32071,7940,110,4088888,26,3,112,32071,Consecration*Hammer of Wrath*Magma Rager*Frostwolf Grunt*Raid Leader*Bloodfen Raptor*Chillwind Yeti*Booty Bay Bodyguard*Frostwolf Warlord*The Black Knight*Acolyte of Pain*Worgen Infiltrator*Sunwalker*Sunwalker*Questing Adventurer*Ancient Watcher*Crazed Alchemist*Acidic Swamp Ooze*Gadgetzan Auctioneer*Sword of Justice*Repentance*Aldor Peacekeeper*Tauren Warrior*Raging Worgen*Nozdormu*Alexstrasza*Cult Master*Mana Wraith*Wild Pyromancer*Millhouse Manastorm
236,0,117,152,4042637,8795000,1068789,3989766,4262649,761227,34332,7800,120,6600000,25,5,117,34332,Blessing of Might*Guardian of Kings*Consecration*Consecration*Hammer of Wrath*Magma Rager*Raid Leader*Southsea Deckhand*Bloodfen Raptor*Chillwind Yeti*Booty Bay Bodyguard*Frostwolf Warlord*The Black Knight*Acolyte of Pain*Sunwalker*Questing Adventurer*Ancient Watcher*Acidic Swamp Ooze*Gadgetzan Auctioneer*Mountain Giant*Repentance*Aldor Peacekeeper*Tauren Warrior*Nozdormu*Alexstrasza*Cult Master*Mana Wraith*Wild Pyromancer*Millhouse Manastorm*Master Swordsmith
793,217,124,483,4346352,8705000,1076392,3916714,4246984,757610,34298,7780,110,3888888,25,4,124,34298,Blessing of Kings*Consecration*Hammer of Wrath*Magma Rager*Frostwolf Grunt*Raid Leader*Bloodfen Raptor*Booty Bay Bodyguard*Booty Bay Bodyguard*Frostwolf Warlord*The Black Knight*Acolyte of Pain*Worgen Infiltrator*Thrallmar Farseer*Sunwalker*Questing Adventurer*Mana Addict*Acidic Swamp Ooze*Gadgetzan Auctioneer*Sword of Justice*Repentance*Aldor Peacekeeper*Tauren Warrior*Raging Worgen*Nozdormu*Alexstrasza*Cult Master*Mana Wraith*Wild Pyromancer*Millhouse Manastorm
945,217,129,887,4622802,8815000,1044809,3622802,4207600,825865,39012,9480,107,4112222,26,3,129,39012,Consecration*Hammer of Wrath*Frostwolf Grunt*Raid Leader*Ironfur Grizzly*Chillwind Yeti*Booty Bay Bodyguard*Frostwolf Warlord*The Black Knight*Acolyte of Pain*Argent Squire*Worgen Infiltrator*King Mukla*Sunwalker*Sunwalker*Questing Adventurer*Ancient Watcher*Crazed Alchemist*Acidic Swamp Ooze*Argent Protector*Sword of Justice*Repentance*Aldor Peacekeeper*Tauren Warrior*Raging Worgen*Nozdormu*Alexstrasza*Mana Wraith*Millhouse Manastorm*Stampeding Kodo
