Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,33,-3032,3001278,7820000,1054987,4219948,3591432,955882,17317,6420,121,5232222,28,2,33,17317,Hellfire*Oasis Snapjaw*Oasis Snapjaw*Frostwolf Grunt*Gnomish Inventor*Stonetusk Boar*Abusive Sergeant*Boulderfist Ogre*Stormwind Champion*Stormwind Champion*Venture Co. Mercenary*Venture Co. Mercenary*King Mukla*Dragonling Mechanic*Leper Gnome*Pint-Sized Summoner*Abomination*Mountain Giant*Leeroy Jenkins*Baron Geddon*Void Terror*Void Terror*Sense Demons*Mogu'shan Warden*Gurubashi Berserker*Nightblade*Cult Master*Mana Wraith*Hungry Crab*Faerie Dragon
1,-1,75,-1560,4043899,8770000,1082668,3712086,3877423,988597,23754,5680,126,5160000,27,3,75,23754,Fen Creeper*Shadow Bolt*Blood Imp*Dread Infernal*Oasis Snapjaw*Kobold Geomancer*Boulderfist Ogre*Stormwind Champion*Big Game Hunter*Acolyte of Pain*Questing Adventurer*Dark Iron Dwarf*Ancient Brewmaster*Acidic Swamp Ooze*Argent Commander*Mind Control Tech*Gadgetzan Auctioneer*Felguard*Void Terror*Soulfire*Siphon Soul*Doomguard*Nat Pagle*Priestess of Elune*Sea Giant*Mana Wraith*Wild Pyromancer*Doomsayer*Dread Corsair*Deathwing
9,-1,81,-940,4253035,7825000,1043450,2968690,3515654,1047923,33396,3980,96,4760000,29,1,81,33396,Goldshire Footman*Voidwalker*Magma Rager*Raid Leader*Wolfrider*Injured Blademaster*Booty Bay Bodyguard*Abusive Sergeant*Ironbeak Owl*Stormwind Champion*Frostwolf Warlord*Darkscale Healer*Argent Squire*Worgen Infiltrator*Voodoo Doctor*Sunfury Protector*Emperor Cobra*Succubus*Flame Imp*Murloc Warleader*Priestess of Elune*Sea Giant*Blood Knight*Nightblade*Illidan Stormrage*Sacrificial Pact*Faerie Dragon*Southsea Captain*Master Swordsmith*Stampeding Kodo
55,-1,82,-825,4110149,8670000,1045559,2929642,3813148,1178200,40098,6740,93,2556666,29,1,82,40098,Fen Creeper*Magma Rager*River Crocolisk*Frostwolf Grunt*Stormwind Knight*Kobold Geomancer*Southsea Deckhand*Injured Blademaster*Elven Archer*Razorfen Hunter*Ogre Magi*Boulderfist Ogre*Ironbeak Owl*Lightwarden*The Black Knight*Acolyte of Pain*Shattered Sun Cleric*Pint-Sized Summoner*Mind Control Tech*Arcane Golem*Abomination*Baron Geddon*Sense Demons*Amani Berserker*Murloc Tidecaller*Blood Knight*Knife Juggler*Wild Pyromancer*Doomsayer*Hogger
62,-1,94,-591,4825200,8095000,1119827,1804817,3392217,1072884,48187,6820,73,1845555,29,1,94,48187,Blood Imp*Kobold Geomancer*Young Dragonhawk*Injured Blademaster*Chillwind Yeti*Angry Chicken*Jungle Panther*Stranglethorn Tiger*Questing Adventurer*Youthful Brewmaster*Sunfury Protector*Crazed Alchemist*Argent Commander*Pint-Sized Summoner*Secretkeeper*Secretkeeper*Tinkmaster Overspark*Loot Hoarder*Lorewalker Cho*Demolisher*Coldlight Seer*Felguard*Succubus*Soulfire*Tauren Warrior*Grimscale Oracle*The Beast*Hungry Crab*Wild Pyromancer*Faerie Dragon
86,-1,89,-426,5043071,8010000,1109238,2803370,3665418,974406,40769,2100,89,5098888,29,1,89,40769,Corruption*Frostwolf Grunt*Southsea Deckhand*Stormpike Commando*Murloc Raider*Injured Blademaster*Chillwind Yeti*Elven Archer*Razorfen Hunter*Reckless Rocketeer*Frostwolf Warlord*Lightwarden*Worgen Infiltrator*Voodoo Doctor*Voodoo Doctor*Scarlet Crusader*Leper Gnome*Twilight Drake*Questing Adventurer*Mind Control Tech*Loot Hoarder*Mountain Giant*Flame Imp*Tauren Warrior*Amani Berserker*Murloc Warleader*Dalaran Mage*Priestess of Elune*Blood Knight*Cult Master
96,-1,107,-113,4412885,8925000,1099159,3238095,4107563,982072,37611,6440,95,2738888,28,2,107,37611,Fen Creeper*Drain Life*Silverback Patriarch*Stormwind Knight*Kobold Geomancer*Abusive Sergeant*Abusive Sergeant*Stormwind Champion*The Black Knight*Acolyte of Pain*King Mukla*Sunwalker*Dark Iron Dwarf*Ancient Brewmaster*Sunfury Protector*Secretkeeper*Loot Hoarder*Emperor Cobra*Mortal Coil*Mogu'shan Warden*Gurubashi Berserker*Raging Worgen*Harvest Golem*The Beast*Cult Master*Wild Pyromancer*Doomsayer*Bloodsail Corsair*Master Swordsmith*Master Swordsmith
586,96,108,-91,4611435,8570000,1063593,3075845,3896149,1023337,38809,6460,95,2738888,28,2,108,38809,Fen Creeper*Drain Life*Oasis Snapjaw*Silverback Patriarch*Stormwind Knight*Kobold Geomancer*Abusive Sergeant*Abusive Sergeant*Stormwind Champion*The Black Knight*King Mukla*Sunwalker*Questing Adventurer*Dark Iron Dwarf*Ancient Brewmaster*Sunfury Protector*Secretkeeper*Loot Hoarder*Emperor Cobra*Mortal Coil*Mogu'shan Warden*Gurubashi Berserker*Raging Worgen*Harvest Golem*The Beast*Wild Pyromancer*Doomsayer*Bloodsail Corsair*Master Swordsmith*Master Swordsmith
768,86,103,-51,5107165,7885000,1092580,2648065,3615726,957514,46250,1700,78,2439999,29,1,103,46250,Goldshire Footman*Corruption*Frostwolf Grunt*Southsea Deckhand*Stormpike Commando*Murloc Raider*Injured Blademaster*Chillwind Yeti*Elven Archer*Reckless Rocketeer*Frostwolf Warlord*Lightwarden*Worgen Infiltrator*Voodoo Doctor*Voodoo Doctor*Scarlet Crusader*Dragonling Mechanic*Leper Gnome*Twilight Drake*Questing Adventurer*Youthful Brewmaster*Mind Control Tech*Loot Hoarder*Flame Imp*Amani Berserker*Murloc Warleader*Dalaran Mage*Priestess of Elune*Blood Knight*Cult Master
847,86,107,17,4932692,8320000,1096754,2572716,3706129,1094951,44992,1640,79,2032222,28,2,107,44992,Shadow Bolt*Corruption*Frostwolf Grunt*Southsea Deckhand*Stormpike Commando*Chillwind Yeti*Booty Bay Bodyguard*Elven Archer*Razorfen Hunter*Frostwolf Warlord*Lightwarden*Worgen Infiltrator*Voodoo Doctor*Voodoo Doctor*Scarlet Crusader*Leper Gnome*Twilight Drake*Questing Adventurer*Youthful Brewmaster*Mind Control Tech*Loot Hoarder*Succubus*Flame Imp*Tauren Warrior*Amani Berserker*Murloc Warleader*Dalaran Mage*Priestess of Elune*Blood Knight*Cult Master
