Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,14,-3019,853619,6285000,1007159,5057279,3043754,687350,-76045,5420,111,4410000,21,7,14,-76045,Hunter's Mark*Oasis Snapjaw*Ravenholdt Assassin*Lord of the Arena*Stonetusk Boar*War Golem*Ironbeak Owl*Ironbeak Owl*Reckless Rocketeer*Frostwolf Warlord*Timber Wolf*Arcane Shot*Dark Iron Dwarf*Loot Hoarder*Frost Elemental*Eaglehorn Bow*Eaglehorn Bow*Explosive Shot*Explosive Shot*Flare*Bestial Wrath*Nightblade*Deadly Shot*Hungry Crab*Doomsayer*Faerie Dragon*Faerie Dragon*Captain Greenskin*Hogger*Stampeding Kodo
8,-1,28,-2293,1897233,6325000,1000000,4518577,3266403,522529,38760,7680,93,2690000,23,7,28,38760,Fen Creeper*Hunter's Mark*Wolfrider*Ironfur Grizzly*Murloc Raider*Young Dragonhawk*Bloodfen Raptor*Bluegill Warrior*Ogre Magi*Lightwarden*Angry Chicken*Jungle Panther*Scarlet Crusader*Stranglethorn Tiger*Argent Commander*Tinkmaster Overspark*Arcane Golem*Leeroy Jenkins*Dire Wolf Alpha*Baron Geddon*Gurubashi Berserker*Grimscale Oracle*Misdirection*Kill Command*Kill Command*Snake Trap*Ancient Mage*Deadly Shot*Animal Companion*Hogger
92,-1,34,-2559,1502560,6835000,1000000,4811265,3567666,503291,-97510,5540,101,3765555,26,3,34,-97510,Silverback Patriarch*Stormpike Commando*Bloodfen Raptor*Abusive Sergeant*Reckless Rocketeer*Starving Buzzard*Houndmaster*Multi-Shot*Tracking*Gladiator's Longbow*Lightwarden*The Black Knight*Acolyte of Pain*Voodoo Doctor*Questing Adventurer*Spellbreaker*Sunfury Protector*Pint-Sized Summoner*Secretkeeper*Mind Control Tech*Defender of Argus*Gadgetzan Auctioneer*Murloc Tidehunter*Murloc Warleader*Unleash the Hounds*Malygos*Imp Master*Faerie Dragon*Faerie Dragon*Southsea Captain
531,8,35,-2162,1907801,6345000,1000000,4407407,3253743,507486,66297,7620,93,2690000,24,6,35,66297,Fen Creeper*Hunter's Mark*Wolfrider*Ironfur Grizzly*Murloc Raider*Young Dragonhawk*Bloodfen Raptor*Bluegill Warrior*Ogre Magi*Lightwarden*Angry Chicken*Jungle Panther*Scarlet Crusader*Stranglethorn Tiger*Argent Commander*Tinkmaster Overspark*Arcane Golem*Leeroy Jenkins*Dire Wolf Alpha*Dire Wolf Alpha*Baron Geddon*Gurubashi Berserker*Grimscale Oracle*Kill Command*Kill Command*Snake Trap*Ancient Mage*Deadly Shot*Animal Companion*Hogger
540,8,36,-2092,1867647,6460000,1000000,4455108,3327399,503095,66131,7740,90,2600000,23,7,36,66131,Fen Creeper*Hunter's Mark*Wolfrider*Ironfur Grizzly*Murloc Raider*Young Dragonhawk*Bloodfen Raptor*Bluegill Warrior*Ogre Magi*Lightwarden*Angry Chicken*Jungle Panther*Scarlet Crusader*Argent Commander*Tinkmaster Overspark*Arcane Golem*Leeroy Jenkins*Dire Wolf Alpha*Baron Geddon*Gurubashi Berserker*Grimscale Oracle*Misdirection*Kill Command*Kill Command*Snake Trap*Ancient Mage*Mana Wraith*Deadly Shot*Animal Companion*Hogger
578,8,38,-1931,2079938,6505000,1000000,4181398,3378939,489623,106046,7680,87,2690000,23,7,38,106046,Hunter's Mark*Wolfrider*Ironfur Grizzly*Murloc Raider*Young Dragonhawk*Bloodfen Raptor*Bluegill Warrior*Ogre Magi*Lightwarden*Angry Chicken*Angry Chicken*Jungle Panther*Scarlet Crusader*Stranglethorn Tiger*Argent Commander*Tinkmaster Overspark*Arcane Golem*Leeroy Jenkins*Dire Wolf Alpha*Dire Wolf Alpha*Baron Geddon*Gurubashi Berserker*Grimscale Oracle*Misdirection*Kill Command*Kill Command*Snake Trap*Deadly Shot*Animal Companion*Hogger
622,8,39,-2107,1898039,6375000,999215,4414117,3201568,578823,71554,7580,95,2805555,23,7,39,71554,Fen Creeper*Hunter's Mark*Wolfrider*Ironforge Rifleman*Murloc Raider*Young Dragonhawk*Bloodfen Raptor*Bluegill Warrior*Ogre Magi*Darkscale Healer*Lightwarden*Angry Chicken*Jungle Panther*Scarlet Crusader*Stranglethorn Tiger*Argent Commander*Tinkmaster Overspark*Leeroy Jenkins*Dire Wolf Alpha*Baron Geddon*Gurubashi Berserker*Grimscale Oracle*Misdirection*Kill Command*Kill Command*Snake Trap*Ancient Mage*Deadly Shot*Animal Companion*Hogger
891,98,40,-2337,1825598,6680000,1001497,4738772,3419910,564371,-24645,9360,107,4512222,26,3,40,-24645,Booty Bay Bodyguard*Abusive Sergeant*Starving Buzzard*Houndmaster*Gladiator's Longbow*Lightwarden*Leper Gnome*Dark Iron Dwarf*Dark Iron Dwarf*Sunfury Protector*Crazed Alchemist*Argent Commander*Pint-Sized Summoner*Mind Control Tech*Defender of Argus*Leeroy Jenkins*Baron Geddon*Tauren Warrior*Amani Berserker*Unleash the Hounds*Unleash the Hounds*Flare*Malygos*Priestess of Elune*Illidan Stormrage*Hungry Crab*Hungry Crab*Doomsayer*Bloodsail Corsair*Stampeding Kodo
926,98,42,-2102,2060447,6700000,1003731,4505223,3440298,530597,11340,9160,103,5112222,27,3,42,11340,Booty Bay Bodyguard*Abusive Sergeant*Starving Buzzard*Lightwarden*Young Priestess*Angry Chicken*Leper Gnome*Dark Iron Dwarf*Dark Iron Dwarf*Sunfury Protector*Crazed Alchemist*Argent Commander*Pint-Sized Summoner*Mind Control Tech*Defender of Argus*Leeroy Jenkins*Baron Geddon*Tauren Warrior*Amani Berserker*Unleash the Hounds*Unleash the Hounds*Flare*Malygos*Ysera*Priestess of Elune*Hungry Crab*Hungry Crab*Doomsayer*Bloodsail Corsair*Stampeding Kodo
954,98,46,-1987,2047965,6880000,1007994,4551598,3525436,542877,-11547,7860,103,4578888,26,3,46,-11547,Booty Bay Bodyguard*Abusive Sergeant*Starving Buzzard*Gladiator's Longbow*Lightwarden*Angry Chicken*Leper Gnome*Dark Iron Dwarf*Dark Iron Dwarf*Sunfury Protector*Crazed Alchemist*Argent Commander*Pint-Sized Summoner*Mind Control Tech*Defender of Argus*Leeroy Jenkins*Baron Geddon*Tauren Warrior*Amani Berserker*Gurubashi Berserker*Unleash the Hounds*Unleash the Hounds*Flare*Malygos*Priestess of Elune*Hungry Crab*Hungry Crab*Doomsayer*Bloodsail Corsair*Stampeding Kodo
1414,578,52,-1684,1976923,6500000,998461,4027692,3423076,496153,125972,8000,82,2728888,22,8,52,125972,Hunter's Mark*Wolfrider*Ironfur Grizzly*Murloc Raider*Murloc Raider*Young Dragonhawk*Bloodfen Raptor*Ogre Magi*Tracking*Lightwarden*Angry Chicken*Angry Chicken*Scarlet Crusader*Argent Commander*Tinkmaster Overspark*Arcane Golem*Leeroy Jenkins*Dire Wolf Alpha*Dire Wolf Alpha*Baron Geddon*Gurubashi Berserker*Murloc Warleader*Grimscale Oracle*Misdirection*Kill Command*Kill Command*Snake Trap*Deadly Shot*Animal Companion*Hogger
2815,1592,53,-1692,2345401,6905000,1002172,4127443,3529326,551049,102636,9360,97,5378888,27,2,53,102636,Wolfrider*Southsea Deckhand*Abusive Sergeant*Starving Buzzard*Gladiator's Longbow*Lightwarden*Angry Chicken*Leper Gnome*Dark Iron Dwarf*Dark Iron Dwarf*Sunfury Protector*Argent Commander*Pint-Sized Summoner*Secretkeeper*Defender of Argus*Coldlight Seer*Leeroy Jenkins*Amani Berserker*Amani Berserker*Unleash the Hounds*Nat Pagle*Malygos*Ysera*Priestess of Elune*Hungry Crab*Hungry Crab*Doomsayer*Bloodsail Corsair*Animal Companion*Stampeding Kodo
