Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,66,-1666,3801632,7965000,1086629,4347143,4085373,564971,21360,3400,121,5298888,26,4,66,21360,Holy Light*Blessing of Kings*Hammer of Wrath*Magma Rager*Wolfrider*Stormwind Knight*Gnomish Inventor*Bloodfen Raptor*Bluegill Warrior*Booty Bay Bodyguard*Ogre Magi*Reckless Rocketeer*Frostwolf Warlord*Wisp*Stranglethorn Tiger*Crazed Alchemist*Gadgetzan Auctioneer*Gadgetzan Auctioneer*Mountain Giant*Emperor Cobra*Frost Elemental*Tauren Warrior*Alexstrasza*Dalaran Mage*Blood Knight*Cult Master*Mana Wraith*Equality*Master Swordsmith*Stampeding Kodo
2,-1,77,-1320,4123691,7640000,1049083,4318717,3874345,577879,23835,4520,115,2805555,29,1,77,23835,Blessing of Kings*Raid Leader*Silverback Patriarch*Stormwind Knight*Ironforge Rifleman*Ironforge Rifleman*Archmage*Archmage*War Golem*Ogre Magi*Ironbeak Owl*Stormwind Champion*Novice Engineer*Thrallmar Farseer*Windfury Harpy*Twilight Drake*Questing Adventurer*Questing Adventurer*Spellbreaker*Secretkeeper*Arcane Golem*Loot Hoarder*Coldlight Seer*Baron Geddon*Amani Berserker*Nightblade*Cult Master*Illidan Stormrage*Hungry Crab*Flesheating Ghoul
3,-1,92,-445,4752184,8010000,1011860,3933832,4051186,624843,34624,8960,118,5662222,26,3,92,34624,Light's Justice*Oasis Snapjaw*Ravenholdt Assassin*War Golem*Booty Bay Bodyguard*Elven Archer*Reckless Rocketeer*The Black Knight*Young Priestess*Acolyte of Pain*Worgen Infiltrator*Bloodmage Thalnos*Thrallmar Farseer*Silvermoon Guardian*Twilight Drake*Dark Iron Dwarf*Coldlight Seer*Noble Sacrifice*Blessed Champion*Avenging Wrath*Amani Berserker*Raging Worgen*Murloc Warleader*Grimscale Oracle*Harvest Golem*Sea Giant*Blood Knight*Millhouse Manastorm*Deathwing*Stampeding Kodo
5,-1,93,-519,3764508,8960000,1011718,3492745,4366071,768973,35134,2600,110,4488888,25,4,93,35134,Holy Light*Consecration*Oasis Snapjaw*Lord of the Arena*Murloc Raider*Stonetusk Boar*Bluegill Warrior*Booty Bay Bodyguard*Elven Archer*Boulderfist Ogre*Core Hound*Stormwind Champion*Argent Squire*Jungle Panther*Silvermoon Guardian*Questing Adventurer*Ancient Watcher*Dark Iron Dwarf*Sunfury Protector*Abomination*Abomination*Emperor Cobra*Divine Favor*Sword of Justice*Avenging Wrath*Murloc Warleader*Harvest Golem*Dalaran Mage*Sea Giant*Bloodsail Corsair
10,-1,114,296,5169835,7890000,1008238,3593155,3743979,842839,38360,5300,110,5622222,28,1,114,38360,Blessing of Kings*Frostwolf Grunt*Kobold Geomancer*Silver Hand Knight*Bluegill Warrior*Chillwind Yeti*Stormwind Champion*Venture Co. Mercenary*Venture Co. Mercenary*Argent Squire*Thrallmar Farseer*Spellbreaker*Pint-Sized Summoner*Arcane Golem*Loot Hoarder*Mountain Giant*Sword of Justice*Aldor Peacekeeper*Amani Berserker*Mogu'shan Warden*Raging Worgen*Murloc Tidecaller*Murloc Tidecaller*Malygos*Dalaran Mage*Imp Master*Knife Juggler*Wild Pyromancer*Hogger*Stampeding Kodo
520,19,129,1012,3989594,9130000,1067907,3441401,4326396,838444,39537,4800,107,3845555,25,4,129,39537,Blessing of Might*Light's Justice*Consecration*Consecration*Magma Rager*Frostwolf Grunt*Raid Leader*Ironfur Grizzly*Silverback Patriarch*Kobold Geomancer*Injured Blademaster*Injured Blademaster*War Golem*Core Hound*Stormwind Champion*King Mukla*Acidic Swamp Ooze*Defender of Argus*Abomination*Demolisher*Dire Wolf Alpha*Baron Geddon*Lay on Hands*Tauren Warrior*Murloc Tidehunter*Priestess of Elune*Hungry Crab*Dread Corsair*Faerie Dragon*Master Swordsmith
582,19,131,899,3899833,9035000,1058660,3536801,4317653,845600,37530,6380,114,4626666,25,4,131,37530,Blessing of Might*Light's Justice*Consecration*Consecration*Magma Rager*Frostwolf Grunt*Raid Leader*Ironfur Grizzly*Silverback Patriarch*Kobold Geomancer*Injured Blademaster*Injured Blademaster*War Golem*Boulderfist Ogre*Core Hound*Stormwind Champion*King Mukla*Sunwalker*Acidic Swamp Ooze*Defender of Argus*Abomination*Demolisher*Dire Wolf Alpha*Baron Geddon*Lay on Hands*Tirion Fordring*Murloc Tidehunter*Hungry Crab*Faerie Dragon*Master Swordsmith
604,19,134,928,3923205,8985000,997774,3610461,4307178,800222,35322,7620,113,3978888,26,3,134,35322,Blessing of Might*Light's Justice*Consecration*Consecration*Magma Rager*Raid Leader*Ironfur Grizzly*Silverback Patriarch*Kobold Geomancer*Injured Blademaster*Injured Blademaster*War Golem*Boulderfist Ogre*Core Hound*Stormwind Champion*King Mukla*Sunwalker*Acidic Swamp Ooze*Defender of Argus*Abomination*Demolisher*Leeroy Jenkins*Dire Wolf Alpha*Baron Geddon*Tirion Fordring*Murloc Tidehunter*Hungry Crab*Dread Corsair*Faerie Dragon*Master Swordsmith
627,19,136,1053,4129339,8930000,1061590,3474244,4262597,830907,38876,6320,111,4343333,24,4,136,38876,Blessing of Might*Light's Justice*Light's Justice*Consecration*Consecration*Magma Rager*Frostwolf Grunt*Raid Leader*Silverback Patriarch*Kobold Geomancer*Injured Blademaster*Injured Blademaster*War Golem*Boulderfist Ogre*Core Hound*Stormwind Champion*King Mukla*Thrallmar Farseer*Sunwalker*Acidic Swamp Ooze*Abomination*Demolisher*Baron Geddon*Lay on Hands*Murloc Tidehunter*Illidan Stormrage*Hungry Crab*Dread Corsair*Faerie Dragon*Master Swordsmith
1219,651,141,1307,4201808,8845000,1088185,3538157,4206896,834934,40041,4960,110,4622222,25,4,141,40041,Blessing of Might*Light's Justice*Consecration*Consecration*Magma Rager*Raid Leader*Silverback Patriarch*Stormwind Knight*Kobold Geomancer*Injured Blademaster*Injured Blademaster*War Golem*Boulderfist Ogre*Stormwind Champion*Novice Engineer*Thrallmar Farseer*Sunwalker*Crazed Alchemist*Acidic Swamp Ooze*Defender of Argus*Demolisher*Dire Wolf Alpha*Baron Geddon*Lay on Hands*Alexstrasza*Hungry Crab*Knife Juggler*Dread Corsair*Faerie Dragon*Master Swordsmith
