Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,66,-1666,3801632,7965000,1086629,4347143,4085373,564971,21360,3400,121,5298888,26,4,66,21360,Holy Light*Blessing of Kings*Hammer of Wrath*Magma Rager*Wolfrider*Stormwind Knight*Gnomish Inventor*Bloodfen Raptor*Bluegill Warrior*Booty Bay Bodyguard*Ogre Magi*Reckless Rocketeer*Frostwolf Warlord*Wisp*Stranglethorn Tiger*Crazed Alchemist*Gadgetzan Auctioneer*Gadgetzan Auctioneer*Mountain Giant*Emperor Cobra*Frost Elemental*Tauren Warrior*Alexstrasza*Dalaran Mage*Blood Knight*Cult Master*Mana Wraith*Equality*Master Swordsmith*Stampeding Kodo
2,-1,77,-1320,4123691,7640000,1049083,4318717,3874345,577879,23835,4520,115,2805555,29,1,77,23835,Blessing of Kings*Raid Leader*Silverback Patriarch*Stormwind Knight*Ironforge Rifleman*Ironforge Rifleman*Archmage*Archmage*War Golem*Ogre Magi*Ironbeak Owl*Stormwind Champion*Novice Engineer*Thrallmar Farseer*Windfury Harpy*Twilight Drake*Questing Adventurer*Questing Adventurer*Spellbreaker*Secretkeeper*Arcane Golem*Loot Hoarder*Coldlight Seer*Baron Geddon*Amani Berserker*Nightblade*Cult Master*Illidan Stormrage*Hungry Crab*Flesheating Ghoul
3,-1,92,-445,4752184,8010000,1011860,3933832,4051186,624843,34624,8960,118,5662222,26,3,92,34624,Light's Justice*Oasis Snapjaw*Ravenholdt Assassin*War Golem*Booty Bay Bodyguard*Elven Archer*Reckless Rocketeer*The Black Knight*Young Priestess*Acolyte of Pain*Worgen Infiltrator*Bloodmage Thalnos*Thrallmar Farseer*Silvermoon Guardian*Twilight Drake*Dark Iron Dwarf*Coldlight Seer*Noble Sacrifice*Blessed Champion*Avenging Wrath*Amani Berserker*Raging Worgen*Murloc Warleader*Grimscale Oracle*Harvest Golem*Sea Giant*Blood Knight*Millhouse Manastorm*Deathwing*Stampeding Kodo
10,-1,114,296,5169835,7890000,1008238,3593155,3743979,842839,38360,5300,110,5622222,28,1,114,38360,Blessing of Kings*Frostwolf Grunt*Kobold Geomancer*Silver Hand Knight*Bluegill Warrior*Chillwind Yeti*Stormwind Champion*Venture Co. Mercenary*Venture Co. Mercenary*Argent Squire*Thrallmar Farseer*Spellbreaker*Pint-Sized Summoner*Arcane Golem*Loot Hoarder*Mountain Giant*Sword of Justice*Aldor Peacekeeper*Amani Berserker*Mogu'shan Warden*Raging Worgen*Murloc Tidecaller*Murloc Tidecaller*Malygos*Dalaran Mage*Imp Master*Knife Juggler*Wild Pyromancer*Hogger*Stampeding Kodo
19,-1,110,483,3751111,9000000,1064444,3571666,4300555,808333,35261,4820,110,4022222,25,4,110,35261,Blessing of Might*Light's Justice*Consecration*Consecration*Magma Rager*Frostwolf Grunt*Raid Leader*Ironfur Grizzly*Silverback Patriarch*Kobold Geomancer*Injured Blademaster*Injured Blademaster*War Golem*Boulderfist Ogre*Core Hound*Stormwind Champion*King Mukla*Sunwalker*Acidic Swamp Ooze*Defender of Argus*Abomination*Demolisher*Dire Wolf Alpha*Baron Geddon*Lay on Hands*Murloc Tidehunter*Hungry Crab*Dread Corsair*Faerie Dragon*Master Swordsmith
520,19,129,1012,3989594,9130000,1067907,3441401,4326396,838444,39537,4800,107,3845555,25,4,129,39537,Blessing of Might*Light's Justice*Consecration*Consecration*Magma Rager*Frostwolf Grunt*Raid Leader*Ironfur Grizzly*Silverback Patriarch*Kobold Geomancer*Injured Blademaster*Injured Blademaster*War Golem*Core Hound*Stormwind Champion*King Mukla*Acidic Swamp Ooze*Defender of Argus*Abomination*Demolisher*Dire Wolf Alpha*Baron Geddon*Lay on Hands*Tauren Warrior*Murloc Tidehunter*Priestess of Elune*Hungry Crab*Dread Corsair*Faerie Dragon*Master Swordsmith
627,19,136,1053,4129339,8930000,1061590,3474244,4262597,830907,38876,6320,111,4343333,24,4,136,38876,Blessing of Might*Light's Justice*Light's Justice*Consecration*Consecration*Magma Rager*Frostwolf Grunt*Raid Leader*Silverback Patriarch*Kobold Geomancer*Injured Blademaster*Injured Blademaster*War Golem*Boulderfist Ogre*Core Hound*Stormwind Champion*King Mukla*Thrallmar Farseer*Sunwalker*Acidic Swamp Ooze*Abomination*Demolisher*Baron Geddon*Lay on Hands*Murloc Tidehunter*Illidan Stormrage*Hungry Crab*Dread Corsair*Faerie Dragon*Master Swordsmith
640,19,127,1091,4439911,9070000,1070562,3163726,4241455,920066,39328,6560,100,3555555,26,3,127,39328,Blessing of Might*Light's Justice*Consecration*River Crocolisk*Frostwolf Grunt*Ironfur Grizzly*Silverback Patriarch*Kobold Geomancer*Injured Blademaster*Injured Blademaster*War Golem*Stormwind Champion*King Mukla*Jungle Panther*Shattered Sun Cleric*Sunwalker*Acidic Swamp Ooze*Defender of Argus*Abomination*Demolisher*Coldlight Seer*Dire Wolf Alpha*Baron Geddon*Lay on Hands*Amani Berserker*Murloc Tidehunter*Hungry Crab*Dread Corsair*Millhouse Manastorm*Master Swordsmith
651,19,128,1210,4195121,8815000,1065796,3606352,4258650,791264,37412,4960,115,4872222,25,4,128,37412,Blessing of Might*Light's Justice*Consecration*Consecration*Magma Rager*Raid Leader*Silverback Patriarch*Stormwind Knight*Kobold Geomancer*Injured Blademaster*Injured Blademaster*War Golem*Boulderfist Ogre*Core Hound*Stormwind Champion*Thrallmar Farseer*Sunwalker*Crazed Alchemist*Acidic Swamp Ooze*Defender of Argus*Demolisher*Dire Wolf Alpha*Baron Geddon*Lay on Hands*Alexstrasza*Hungry Crab*Knife Juggler*Dread Corsair*Faerie Dragon*Master Swordsmith
1186,651,135,1344,4223356,8820000,1063492,3585600,4202947,825963,39329,5160,114,4893333,25,4,135,39329,Blessing of Might*Light's Justice*Consecration*Consecration*Magma Rager*Silverback Patriarch*Kobold Geomancer*Injured Blademaster*Injured Blademaster*War Golem*Boulderfist Ogre*Core Hound*Stormwind Champion*Thrallmar Farseer*Sunwalker*Crazed Alchemist*Acidic Swamp Ooze*Defender of Argus*Demolisher*Dire Wolf Alpha*Emperor Cobra*Baron Geddon*Lay on Hands*Aldor Peacekeeper*Alexstrasza*Hungry Crab*Knife Juggler*Dread Corsair*Faerie Dragon*Master Swordsmith
