('Alexstrasza',);0.8575
('Amani Berserker',);0.255
('Argent Commander',);0.415
('Blood Imp',);0.4075
('Blood Knight',);0.8275
('Bloodfen Raptor',);0.4175
('Dark Iron Dwarf',);0.2925
('Defender of Argus',);0.6525
('Doomguard',);0.6175
('Dread Infernal',);0.8
('Frostwolf Grunt',);0.5875
('Imp Master',);0.5225
('Ironforge Rifleman',);0.4925
('Kobold Geomancer',);0.5175
('Leper Gnome',);0.445
('Loot Hoarder',);0.725
('Millhouse Manastorm',);0.88
('Mountain Giant',);0.52
('Murloc Tidecaller',);0.285
('Pint-Sized Summoner',);0.2975
('Raging Worgen',);0.9875
("Sen'jin Shieldmasta",);0.3425
('Shadow Bolt',);0.64
('Shadowflame',);0.8
('Silverback Patriarch',);0.35
('Siphon Soul',);0.79
('Stampeding Kodo',);0.78
('Stormpike Commando',);0.39
('Sunfury Protector',);0.9225
('The Black Knight',);0.6075
('Twisting Nether',);0.285
('Voodoo Doctor',);0.2975
('Wild Pyromancer',);0.3075
('Windfury Harpy',);0.2725
('Alexstrasza', 'Argent Commander');0.3675
('Alexstrasza', 'Blood Imp');0.3675
('Alexstrasza', 'Blood Knight');0.7075
('Alexstrasza', 'Bloodfen Raptor');0.37
('Alexstrasza', 'Defender of Argus');0.6
('Alexstrasza', 'Doomguard');0.555
('Alexstrasza', 'Dread Infernal');0.685
('Alexstrasza', 'Frostwolf Grunt');0.5325
('Alexstrasza', 'Imp Master');0.505
('Alexstrasza', 'Ironforge Rifleman');0.4475
('Alexstrasza', 'Kobold Geomancer');0.4775
('Alexstrasza', 'Leper Gnome');0.4175
('Alexstrasza', 'Loot Hoarder');0.635
('Alexstrasza', 'Millhouse Manastorm');0.76
('Alexstrasza', 'Mountain Giant');0.465
('Alexstrasza', 'Murloc Tidecaller');0.2625
('Alexstrasza', 'Raging Worgen');0.8475
('Alexstrasza', "Sen'jin Shieldmasta");0.3275
('Alexstrasza', 'Shadow Bolt');0.57
('Alexstrasza', 'Shadowflame');0.7175
('Alexstrasza', 'Silverback Patriarch');0.315
('Alexstrasza', 'Siphon Soul');0.7275
('Alexstrasza', 'Stampeding Kodo');0.72
('Alexstrasza', 'Stormpike Commando');0.34
('Alexstrasza', 'Sunfury Protector');0.79
('Alexstrasza', 'The Black Knight');0.5075
('Alexstrasza', 'Twisting Nether');0.275
('Alexstrasza', 'Windfury Harpy');0.255
('Argent Commander', 'Blood Knight');0.3525
('Argent Commander', 'Bloodfen Raptor');0.265
('Argent Commander', 'Defender of Argus');0.34
('Argent Commander', 'Doomguard');0.31
('Argent Commander', 'Dread Infernal');0.3375
('Argent Commander', 'Frostwolf Grunt');0.285
('Argent Commander', 'Ironforge Rifleman');0.255
('Argent Commander', 'Kobold Geomancer');0.285
('Argent Commander', 'Loot Hoarder');0.3325
('Argent Commander', 'Millhouse Manastorm');0.37
('Argent Commander', 'Raging Worgen');0.41
('Argent Commander', 'Shadow Bolt');0.3025
('Argent Commander', 'Shadowflame');0.3575
('Argent Commander', 'Siphon Soul');0.405
('Argent Commander', 'Stampeding Kodo');0.4125
('Argent Commander', 'Sunfury Protector');0.4
('Blood Imp', 'Blood Knight');0.36
('Blood Imp', 'Bloodfen Raptor');0.26
('Blood Imp', 'Defender of Argus');0.3675
('Blood Imp', 'Doomguard');0.295
('Blood Imp', 'Dread Infernal');0.3075
('Blood Imp', 'Frostwolf Grunt');0.265
('Blood Imp', 'Kobold Geomancer');0.2525
('Blood Imp', 'Loot Hoarder');0.3475
('Blood Imp', 'Millhouse Manastorm');0.3725
('Blood Imp', 'Mountain Giant');0.2975
('Blood Imp', 'Raging Worgen');0.405
('Blood Imp', 'Shadow Bolt');0.325
('Blood Imp', 'Shadowflame');0.3525
('Blood Imp', 'Siphon Soul');0.3775
('Blood Imp', 'Stampeding Kodo');0.3875
('Blood Imp', 'Sunfury Protector');0.3925
('Blood Knight', 'Bloodfen Raptor');0.35
('Blood Knight', 'Dark Iron Dwarf');0.2575
('Blood Knight', 'Defender of Argus');0.54
('Blood Knight', 'Doomguard');0.51
('Blood Knight', 'Dread Infernal');0.68
('Blood Knight', 'Frostwolf Grunt');0.475
('Blood Knight', 'Imp Master');0.425
('Blood Knight', 'Ironforge Rifleman');0.4225
('Blood Knight', 'Kobold Geomancer');0.435
('Blood Knight', 'Leper Gnome');0.355
('Blood Knight', 'Loot Hoarder');0.59
('Blood Knight', 'Millhouse Manastorm');0.7725
('Blood Knight', 'Mountain Giant');0.4575
('Blood Knight', 'Murloc Tidecaller');0.2525
('Blood Knight', 'Pint-Sized Summoner');0.2575
('Blood Knight', 'Raging Worgen');0.815
('Blood Knight', "Sen'jin Shieldmasta");0.2775
('Blood Knight', 'Shadow Bolt');0.5675
('Blood Knight', 'Shadowflame');0.6675
('Blood Knight', 'Silverback Patriarch');0.2575
('Blood Knight', 'Siphon Soul');0.6425
('Blood Knight', 'Stampeding Kodo');0.65
('Blood Knight', 'Stormpike Commando');0.315
('Blood Knight', 'Sunfury Protector');0.7725
('Blood Knight', 'The Black Knight');0.49
('Blood Knight', 'Voodoo Doctor');0.2725
('Bloodfen Raptor', 'Defender of Argus');0.3575
('Bloodfen Raptor', 'Doomguard');0.3025
('Bloodfen Raptor', 'Dread Infernal');0.335
('Bloodfen Raptor', 'Frostwolf Grunt');0.295
('Bloodfen Raptor', 'Kobold Geomancer');0.265
('Bloodfen Raptor', 'Loot Hoarder');0.35
('Bloodfen Raptor', 'Millhouse Manastorm');0.3725
('Bloodfen Raptor', 'Mountain Giant');0.29
('Bloodfen Raptor', 'Raging Worgen');0.4125
('Bloodfen Raptor', 'Shadow Bolt');0.3275
('Bloodfen Raptor', 'Shadowflame');0.345
('Bloodfen Raptor', 'Siphon Soul');0.4
('Bloodfen Raptor', 'Stampeding Kodo');0.4075
('Bloodfen Raptor', 'Sunfury Protector');0.4025
('Bloodfen Raptor', 'The Black Knight');0.2825
('Dark Iron Dwarf', 'Dread Infernal');0.27
('Dark Iron Dwarf', 'Millhouse Manastorm');0.2575
('Dark Iron Dwarf', 'Raging Worgen');0.2825
('Dark Iron Dwarf', 'Shadowflame');0.255
('Dark Iron Dwarf', 'Sunfury Protector');0.2625
('Dark Iron Dwarf', 'The Black Knight');0.2525
('Defender of Argus', 'Doomguard');0.4875
('Defender of Argus', 'Dread Infernal');0.515
('Defender of Argus', 'Frostwolf Grunt');0.4925
('Defender of Argus', 'Imp Master');0.45
('Defender of Argus', 'Ironforge Rifleman');0.415
('Defender of Argus', 'Kobold Geomancer');0.4175
('Defender of Argus', 'Leper Gnome');0.3
('Defender of Argus', 'Loot Hoarder');0.5625
('Defender of Argus', 'Millhouse Manastorm');0.585
('Defender of Argus', 'Mountain Giant');0.395
('Defender of Argus', 'Raging Worgen');0.6475
('Defender of Argus', 'Shadow Bolt');0.4475
('Defender of Argus', 'Shadowflame');0.55
('Defender of Argus', 'Siphon Soul');0.6375
('Defender of Argus', 'Stampeding Kodo');0.65
('Defender of Argus', 'Stormpike Commando');0.335
('Defender of Argus', 'Sunfury Protector');0.62
('Defender of Argus', 'The Black Knight');0.365
('Doomguard', 'Dread Infernal');0.4725
('Doomguard', 'Frostwolf Grunt');0.43
('Doomguard', 'Imp Master');0.3825
('Doomguard', 'Ironforge Rifleman');0.3875
('Doomguard', 'Kobold Geomancer');0.4725
('Doomguard', 'Leper Gnome');0.31
('Doomguard', 'Loot Hoarder');0.51
('Doomguard', 'Millhouse Manastorm');0.56
('Doomguard', 'Mountain Giant');0.4225
('Doomguard', 'Raging Worgen');0.615
('Doomguard', "Sen'jin Shieldmasta");0.2975
('Doomguard', 'Shadow Bolt');0.395
('Doomguard', 'Shadowflame');0.495
('Doomguard', 'Silverback Patriarch');0.2775
('Doomguard', 'Siphon Soul');0.5925
('Doomguard', 'Stampeding Kodo');0.605
('Doomguard', 'Stormpike Commando');0.2625
('Doomguard', 'Sunfury Protector');0.5925
('Doomguard', 'The Black Knight');0.27
('Doomguard', 'Windfury Harpy');0.265
('Dread Infernal', 'Frostwolf Grunt');0.515
('Dread Infernal', 'Imp Master');0.43
('Dread Infernal', 'Ironforge Rifleman');0.415
('Dread Infernal', 'Kobold Geomancer');0.4175
('Dread Infernal', 'Leper Gnome');0.3125
('Dread Infernal', 'Loot Hoarder');0.57
('Dread Infernal', 'Millhouse Manastorm');0.725
