Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,5,-3702,446192,6040000,1000000,5326158,3050496,532284,-266131,5740,104,2515555,23,5,5,-266131,Fen Creeper*Kobold Geomancer*Bloodfen Raptor*Chillwind Yeti*War Golem*Shattered Sun Cleric*Scarlet Crusader*Thrallmar Farseer*Stranglethorn Tiger*Questing Adventurer*Ancient Watcher*Gadgetzan Auctioneer*Lorewalker Cho*Demolisher*Coldlight Seer*Baron Geddon*Frost Elemental*Murloc Warleader*Murloc Tidecaller*Eaglehorn Bow*Eaglehorn Bow*Explosive Shot*Kill Command*Bestial Wrath*Snake Trap*Dalaran Mage*Dalaran Mage*Freezing Trap*Violet Teacher*Stampeding Kodo
2,-1,4,-3484,719255,6180000,1000000,5309061,3088996,569579,-218103,3920,122,5728888,23,6,4,-218103,Hunter's Mark*River Crocolisk*Ironforge Rifleman*Silver Hand Knight*Core Hound*Frostwolf Warlord*Venture Co. Mercenary*Darkscale Healer*Big Game Hunter*Argent Squire*Jungle Panther*Leper Gnome*Sunwalker*Twilight Drake*Sunfury Protector*Argent Commander*Coldlight Seer*Mountain Giant*Gurubashi Berserker*Gurubashi Berserker*Scavenging Hyena*Eaglehorn Bow*Explosive Shot*Kill Command*Snake Trap*Malygos*Nightblade*Explosive Trap*Deadly Shot*Wild Pyromancer
7,-1,12,-3223,1361483,6335000,1002367,5343330,3113654,655880,-156532,5020,115,3472222,25,4,12,-156532,Wolfrider*Southsea Deckhand*Gnomish Inventor*Young Dragonhawk*Sen'jin Shieldmasta*War Golem*Gladiator's Longbow*Alarm-o-Bot*Shattered Sun Cleric*Silvermoon Guardian*Stranglethorn Tiger*Argent Commander*Mind Control Tech*Arcane Golem*Defender of Argus*Gadgetzan Auctioneer*Demolisher*Leeroy Jenkins*Emperor Cobra*Mogu'shan Warden*Grimscale Oracle*Murloc Tidecaller*Explosive Shot*Explosive Shot*Harvest Golem*Malygos*Dalaran Mage*Cult Master*Explosive Trap*Animal Companion
14,-1,11,-3183,929712,6260000,1004792,5029552,3155750,552715,-129962,6800,101,3165555,26,3,11,-129962,Magma Rager*Magma Rager*Stormpike Commando*Silver Hand Knight*Silver Hand Knight*Murloc Raider*Young Dragonhawk*Stonetusk Boar*Frostwolf Warlord*Shattered Sun Cleric*Thrallmar Farseer*Thrallmar Farseer*Leper Gnome*Windfury Harpy*Youthful Brewmaster*Argent Commander*Tinkmaster Overspark*Coldlight Seer*Cairne Bloodhoof*Frost Elemental*Raging Worgen*Murloc Tidecaller*Savannah Highmane*Eaglehorn Bow*Flare*Bestial Wrath*Snake Trap*Illidan Stormrage*Mana Wraith*Violet Teacher
25,-1,21,-2892,1283836,6465000,1003866,4892498,3269141,565351,-74836,8520,112,6995555,27,3,21,-74836,Hunter's Mark*Magma Rager*Ironfur Grizzly*Ravenholdt Assassin*Murloc Raider*Young Dragonhawk*Bluegill Warrior*War Golem*Elven Archer*Stormwind Champion*Houndmaster*Acolyte of Pain*Questing Adventurer*Dark Iron Dwarf*Argent Commander*Tinkmaster Overspark*Arcane Golem*Defender of Argus*Loot Hoarder*Lorewalker Cho*Mountain Giant*Dire Wolf Alpha*Explosive Shot*Harrison Jones*Sea Giant*Snipe*Hungry Crab*Dread Corsair*Faerie Dragon*Millhouse Manastorm
53,-1,22,-2867,997017,6705000,998508,4736017,3469798,511558,-139491,4780,93,2823333,26,4,22,-139491,Raid Leader*Ironfur Grizzly*Silverback Patriarch*Southsea Deckhand*Sen'jin Shieldmasta*Sen'jin Shieldmasta*Injured Blademaster*Booty Bay Bodyguard*Starving Buzzard*Multi-Shot*Arcane Shot*Young Priestess*Acolyte of Pain*Shattered Sun Cleric*Thrallmar Farseer*Windfury Harpy*Pint-Sized Summoner*Secretkeeper*Secretkeeper*Mind Control Tech*Abomination*Lorewalker Cho*Demolisher*Dire Wolf Alpha*Amani Berserker*Kill Command*Alexstrasza*Blood Knight*Mana Wraith*Deadly Shot
63,-1,22,-2678,1499230,6500000,1000000,4510000,3270000,603846,-9731,5880,111,7676666,27,2,22,-9731,Wolfrider*Southsea Deckhand*Stormpike Commando*Bluegill Warrior*Sen'jin Shieldmasta*Abusive Sergeant*Abusive Sergeant*Elven Archer*Frostwolf Warlord*Venture Co. Mercenary*Tundra Rhino*Multi-Shot*Gladiator's Longbow*Argent Squire*Argent Squire*Worgen Infiltrator*Stranglethorn Tiger*Abomination*Mountain Giant*Mogu'shan Warden*Murloc Tidehunter*Murloc Warleader*Alexstrasza*Sea Giant*Explosive Trap*Bloodsail Raider*Knife Juggler*Doomsayer*Dread Corsair*Millhouse Manastorm
89,-1,20,-2562,1530501,6475000,1005405,4651737,3446332,390733,11425,5820,94,3382222,26,4,20,11425,Silverback Patriarch*Silverback Patriarch*Stormwind Knight*Stormpike Commando*Ogre Magi*Ironbeak Owl*Frostwolf Warlord*Houndmaster*Houndmaster*Multi-Shot*Young Priestess*Worgen Infiltrator*Worgen Infiltrator*Voodoo Doctor*Mana Addict*Secretkeeper*Arcane Golem*Loot Hoarder*Scavenging Hyena*Misdirection*Savannah Highmane*Unleash the Hounds*Alexstrasza*Dalaran Mage*Nightblade*Freezing Trap*Faerie Dragon*Bloodsail Corsair*Millhouse Manastorm*Hogger
90,-1,24,-2496,1851711,6575000,999239,4447908,3438022,462357,17673,4160,92,3262222,29,1,24,17673,River Crocolisk*Wolfrider*Ironforge Rifleman*Silver Hand Knight*Murloc Raider*Murloc Raider*Bloodfen Raptor*Bluegill Warrior*Booty Bay Bodyguard*Boulderfist Ogre*Reckless Rocketeer*Darkscale Healer*Alarm-o-Bot*Worgen Infiltrator*Voodoo Doctor*Bloodmage Thalnos*Scarlet Crusader*Silvermoon Guardian*Spellbreaker*Acidic Swamp Ooze*Pint-Sized Summoner*Mind Control Tech*Demolisher*Emperor Cobra*Mogu'shan Warden*Murloc Tidecaller*Scavenging Hyena*Onyxia*Freezing Trap*Faerie Dragon
571,63,25,-2406,1722351,6465000,1000000,4399845,3267594,587780,29524,3920,103,6378888,28,2,25,29524,Wolfrider*Wolfrider*Southsea Deckhand*Stormpike Commando*Bluegill Warrior*Sen'jin Shieldmasta*Abusive Sergeant*Abusive Sergeant*Elven Archer*Spiteful Smith*Frostwolf Warlord*Venture Co. Mercenary*Tundra Rhino*Multi-Shot*Argent Squire*Argent Squire*Worgen Infiltrator*Stranglethorn Tiger*Abomination*Mountain Giant*Mogu'shan Warden*Murloc Tidehunter*Murloc Warleader*Sea Giant*Explosive Trap*Bloodsail Raider*Knife Juggler*Doomsayer*Dread Corsair*Millhouse Manastorm
702,63,27,-2338,1774144,6575000,1000000,4374144,3284410,626615,35567,5840,110,7688888,27,2,27,35567,Wolfrider*Wolfrider*Southsea Deckhand*Stormpike Commando*Bluegill Warrior*Sen'jin Shieldmasta*Abusive Sergeant*Abusive Sergeant*Elven Archer*Frostwolf Warlord*Venture Co. Mercenary*Tundra Rhino*Multi-Shot*Gladiator's Longbow*Argent Squire*Argent Squire*Worgen Infiltrator*Stranglethorn Tiger*Abomination*Mountain Giant*Mogu'shan Warden*Murloc Tidehunter*Murloc Warleader*Alexstrasza*Sea Giant*Explosive Trap*Bloodsail Raider*Knife Juggler*Doomsayer*Millhouse Manastorm
744,90,30,-2176,1965230,6615000,1001511,4368102,3459561,476946,92542,4020,91,3098888,29,1,30,92542,River Crocolisk*Wolfrider*Wolfrider*Ironforge Rifleman*Murloc Raider*Murloc Raider*Bloodfen Raptor*Bluegill Warrior*Booty Bay Bodyguard*Boulderfist Ogre*Reckless Rocketeer*Alarm-o-Bot*Worgen Infiltrator*Voodoo Doctor*Bloodmage Thalnos*Scarlet Crusader*Silvermoon Guardian*Spellbreaker*Acidic Swamp Ooze*Mind Control Tech*Demolisher*Emperor Cobra*Mogu'shan Warden*Gurubashi Berserker*Murloc Tidecaller*Scavenging Hyena*Onyxia*Dalaran Mage*Freezing Trap*Faerie Dragon
1047,90,30,-2174,1833951,6745000,999258,4467012,3524833,467012,51797,2500,96,3293333,29,1,30,51797,Earthen Ring Farseer*River Crocolisk*Wolfrider*Ironforge Rifleman*Silver Hand Knight*Murloc Raider*Murloc Raider*Bloodfen Raptor*Bluegill Warrior*Booty Bay Bodyguard*Boulderfist Ogre*Reckless Rocketeer*Darkscale Healer*Alarm-o-Bot*Worgen Infiltrator*Voodoo Doctor*Scarlet Crusader*Silvermoon Guardian*Spellbreaker*Acidic Swamp Ooze*Mind Control Tech*Demolisher*Emperor Cobra*Mogu'shan Warden*Murloc Tidecaller*Scavenging Hyena*Onyxia*Nightblade*Freezing Trap*Faerie Dragon
1243,643,37,-2043,1678517,6610000,999243,4268532,3473524,532526,73002,4680,93,3289999,25,5,37,73002,Fen Creeper*Earthen Ring Farseer*River Crocolisk*Wolfrider*Ironfur Grizzly*Silverback Patriarch*Young Dragonhawk*Bloodfen Raptor*Reckless Rocketeer*Tracking*Lightwarden*Angry Chicken*Voodoo Doctor*Voodoo Doctor*King Mukla*Stranglethorn Tiger*Mind Control Tech*Arcane Golem*Emperor Cobra*Frost Elemental*Misdirection*Explosive Shot*Kill Command*Kill Command*Harvest Golem*Onyxia*Nightblade*Faerie Dragon*Southsea Captain*Master Swordsmith
1700,1163,40,-1906,1974300,6615000,1003779,4226001,3439909,489795,82651,3900,94,6315555,29,1,40,82651,Raid Leader*Wolfrider*Wolfrider*Southsea Deckhand*Southsea Deckhand*Stormpike Commando*Bluegill Warrior*Sen'jin Shieldmasta*Abusive Sergeant*Abusive Sergeant*Elven Archer*Spiteful Smith*Venture Co. Mercenary*Argent Squire*Argent Squire*Worgen Infiltrator*Spellbreaker*Loot Hoarder*Mountain Giant*Mogu'shan Warden*Murloc Tidehunter*Murloc Warleader*Sea Giant*Nightblade*Explosive Trap*Bloodsail Raider*Knife Juggler*Doomsayer*Dread Corsair*Millhouse Manastorm
2312,1700,38,-1810,2242589,6410000,1001560,4112324,3319812,496099,120082,5600,94,6315555,29,1,38,120082,Wolfrider*Wolfrider*Southsea Deckhand*Southsea Deckhand*Bluegill Warrior*Sen'jin Shieldmasta*Abusive Sergeant*Abusive Sergeant*Elven Archer*Spiteful Smith*Venture Co. Mercenary*Argent Squire*Argent Squire*Worgen Infiltrator*Spellbreaker*Mind Control Tech*Loot Hoarder*Mountain Giant*Leeroy Jenkins*Mogu'shan Warden*Murloc Tidehunter*Murloc Warleader*Sea Giant*Nightblade*Explosive Trap*Bloodsail Raider*Knife Juggler*Doomsayer*Dread Corsair*Millhouse Manastorm
2792,2155,40,-1722,2216718,6460000,999226,3912538,3319659,527863,110692,5880,95,7005555,27,2,40,110692,Raid Leader*Wolfrider*Wolfrider*Southsea Deckhand*Stormpike Commando*Bluegill Warrior*Sen'jin Shieldmasta*Abusive Sergeant*Abusive Sergeant*Elven Archer*Venture Co. Mercenary*Wisp*Multi-Shot*Gladiator's Longbow*Argent Squire*Argent Squire*Worgen Infiltrator*Mountain Giant*Cairne Bloodhoof*Mogu'shan Warden*Murloc Tidehunter*Murloc Warleader*Unleash the Hounds*Sea Giant*Bloodsail Raider*Bloodsail Raider*Knife Juggler*Doomsayer*Millhouse Manastorm*Master Swordsmith
3086,2326,37,-1705,2134339,6625000,1000000,3893584,3418113,542641,185570,5160,86,4982222,29,1,37,185570,Wolfrider*Wolfrider*Southsea Deckhand*Southsea Deckhand*Stormpike Commando*Bluegill Warrior*Sen'jin Shieldmasta*Abusive Sergeant*Abusive Sergeant*Elven Archer*Venture Co. Mercenary*Argent Squire*Argent Squire*Worgen Infiltrator*Voodoo Doctor*Spellbreaker*Coldlight Seer*Mountain Giant*Dire Wolf Alpha*Mogu'shan Warden*Murloc Tidehunter*Murloc Warleader*Nightblade*Explosive Trap*Illidan Stormrage*Bloodsail Raider*Knife Juggler*Doomsayer*Dread Corsair*Millhouse Manastorm
3286,2326,43,-1673,2133535,6590000,999241,3894537,3424127,509104,158620,3700,82,4662222,29,1,43,158620,Wolfrider*Wolfrider*Southsea Deckhand*Southsea Deckhand*Bluegill Warrior*Sen'jin Shieldmasta*Abusive Sergeant*Abusive Sergeant*Elven Archer*Spiteful Smith*Venture Co. Mercenary*Argent Squire*Argent Squire*Worgen Infiltrator*Voodoo Doctor*Spellbreaker*Coldlight Seer*Mountain Giant*Dire Wolf Alpha*Mogu'shan Warden*Murloc Tidehunter*Murloc Warleader*Nightblade*Explosive Trap*Bloodsail Raider*Knife Juggler*Knife Juggler*Doomsayer*Dread Corsair*Millhouse Manastorm
3484,2312,42,-1670,2277519,6450000,1004651,4096899,3361240,492248,127335,5200,88,4728888,29,1,42,127335,Wolfrider*Wolfrider*Southsea Deckhand*Southsea Deckhand*Bluegill Warrior*Sen'jin Shieldmasta*Sen'jin Shieldmasta*Abusive Sergeant*Abusive Sergeant*Elven Archer*Spiteful Smith*Venture Co. Mercenary*Argent Squire*Argent Squire*Worgen Infiltrator*Spellbreaker*Mind Control Tech*Loot Hoarder*Mountain Giant*Leeroy Jenkins*Mogu'shan Warden*Murloc Tidehunter*Murloc Warleader*Nightblade*Explosive Trap*Bloodsail Raider*Knife Juggler*Doomsayer*Dread Corsair*Millhouse Manastorm
