Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,65,-1481,3242930,7780000,1003213,3590616,3903598,663239,23802,5140,108,4973333,26,3,65,23802,Magma Rager*Raid Leader*Ironforge Rifleman*Kobold Geomancer*Ravenholdt Assassin*Young Dragonhawk*Chillwind Yeti*Core Hound*Ironbeak Owl*Reckless Rocketeer*Houndmaster*Arcane Shot*Young Priestess*Angry Chicken*Voodoo Doctor*Shattered Sun Cleric*Stranglethorn Tiger*Crazed Alchemist*Defender of Argus*Gadgetzan Auctioneer*Abomination*Raging Worgen*Scavenging Hyena*Misdirection*Eaglehorn Bow*Snake Trap*Nozdormu*Priestess of Elune*Hungry Crab*Gruul
4,-1,70,-1353,4044766,7930000,1004413,3703656,3921185,702395,24181,5040,117,5890000,25,5,70,24181,River Crocolisk*Archmage*Stonetusk Boar*Bloodfen Raptor*War Golem*Booty Bay Bodyguard*Core Hound*Core Hound*Reckless Rocketeer*Starving Buzzard*Arcane Shot*Arcane Shot*Scarlet Crusader*Scarlet Crusader*Silvermoon Guardian*Stranglethorn Tiger*Twilight Drake*Twilight Drake*Acidic Swamp Ooze*Grimscale Oracle*Snake Trap*Malygos*Sea Giant*Imp Master*Deadly Shot*Doomsayer*Faerie Dragon*Bloodsail Corsair*Animal Companion*Hogger
6,-1,72,-1499,3876821,7550000,1028476,3974172,3911258,581456,21613,4880,106,2915555,27,3,72,21613,Wolfrider*Southsea Deckhand*Gnomish Inventor*Booty Bay Bodyguard*Boulderfist Ogre*Core Hound*Stormwind Champion*Frostwolf Warlord*Darkscale Healer*Tracking*Young Priestess*Alarm-o-Bot*Jungle Panther*Jungle Panther*Thrallmar Farseer*Silvermoon Guardian*Questing Adventurer*Spellbreaker*Pint-Sized Summoner*Defender of Argus*Gadgetzan Auctioneer*Demolisher*Cairne Bloodhoof*Murloc Warleader*Murloc Tidecaller*Misdirection*Dread Corsair*Millhouse Manastorm*Animal Companion*Master Swordsmith
8,-1,84,-796,3628352,7830000,999361,3621328,3795657,780970,30963,9460,104,4715555,24,6,84,30963,Wolfrider*Ravenholdt Assassin*Murloc Raider*Sen'jin Shieldmasta*Chillwind Yeti*Boulderfist Ogre*Frostwolf Warlord*Wisp*Young Priestess*Alarm-o-Bot*Worgen Infiltrator*Windfury Harpy*Acidic Swamp Ooze*Tinkmaster Overspark*Defender of Argus*Cairne Bloodhoof*Dire Wolf Alpha*Baron Geddon*Amani Berserker*Grimscale Oracle*Explosive Shot*Unleash the Hounds*Snake Trap*Ysera*Explosive Trap*Explosive Trap*Deadly Shot*Knife Juggler*Master Swordsmith*Hogger
22,-1,87,-911,4001273,7850000,1027388,3600000,4040127,675159,24160,9500,111,5076666,28,2,87,24160,Bloodfen Raptor*Injured Blademaster*War Golem*Core Hound*Stormwind Champion*Tracking*Alarm-o-Bot*Worgen Infiltrator*Questing Adventurer*Sunfury Protector*Acidic Swamp Ooze*Loot Hoarder*Leeroy Jenkins*Raging Worgen*Murloc Warleader*Grimscale Oracle*Scavenging Hyena*Alexstrasza*Ysera*Cult Master*Illidan Stormrage*Deadly Shot*Knife Juggler*Wild Pyromancer*Dread Corsair*Dread Corsair*Faerie Dragon*Faerie Dragon*Violet Teacher*Hogger
24,-1,91,-754,3784971,8650000,1065895,3718497,4207514,756647,30566,5340,111,4343333,24,6,91,30566,Magma Rager*Gnomish Inventor*Stormpike Commando*Stormwind Champion*Novice Engineer*Silvermoon Guardian*Mana Addict*Sunfury Protector*Crazed Alchemist*Acidic Swamp Ooze*Abomination*Demolisher*Coldlight Seer*Emperor Cobra*Amani Berserker*Gurubashi Berserker*Misdirection*Onyxia*Priestess of Elune*Sea Giant*Snipe*Illidan Stormrage*Deadly Shot*Deadly Shot*Knife Juggler*Wild Pyromancer*Doomsayer*Violet Teacher*Animal Companion*Animal Companion
47,-1,94,-252,3886549,8550000,1028070,3606432,4208771,723391,31138,3560,102,3039999,24,5,94,31138,Fen Creeper*Fen Creeper*Oasis Snapjaw*River Crocolisk*Silver Hand Knight*Ravenholdt Assassin*Young Dragonhawk*Stonetusk Boar*Bloodfen Raptor*Chillwind Yeti*Chillwind Yeti*Ogre Magi*Houndmaster*Arcane Shot*Gladiator's Longbow*Novice Engineer*Jungle Panther*Jungle Panther*Mind Control Tech*Raging Worgen*Murloc Tidecaller*Kill Command*Kill Command*Bestial Wrath*Priestess of Elune*Nightblade*Imp Master*Explosive Trap*Doomsayer*Hogger
60,-1,104,-181,4450413,8470000,1037190,3371900,4174144,712514,37157,6260,99,3010000,28,2,104,37157,River Crocolisk*Ironfur Grizzly*Gnomish Inventor*Bloodfen Raptor*Bluegill Warrior*Sen'jin Shieldmasta*Spiteful Smith*Stormwind Champion*Darkscale Healer*Timber Wolf*Tundra Rhino*Lightwarden*The Black Knight*Young Priestess*Young Priestess*Voodoo Doctor*Questing Adventurer*Ancient Watcher*Spellbreaker*Argent Commander*Mind Control Tech*Cairne Bloodhoof*Emperor Cobra*Raging Worgen*Misdirection*Kill Command*Harvest Golem*Dalaran Mage*Doomsayer*Hogger
546,24,109,126,4177142,8750000,1066285,3452571,4164000,869142,35688,5280,106,4448888,24,6,109,35688,Magma Rager*Gnomish Inventor*Stormpike Commando*Young Dragonhawk*Sen'jin Shieldmasta*Stormwind Champion*Novice Engineer*Silvermoon Guardian*Mana Addict*Sunfury Protector*Crazed Alchemist*Acidic Swamp Ooze*Demolisher*Coldlight Seer*Emperor Cobra*Amani Berserker*Misdirection*Onyxia*Priestess of Elune*Sea Giant*Snipe*Illidan Stormrage*Deadly Shot*Deadly Shot*Knife Juggler*Wild Pyromancer*Doomsayer*Violet Teacher*Animal Companion*Animal Companion
590,92,112,346,4269982,8445000,1042628,3063943,3995855,879218,43203,6940,91,3565555,24,6,112,43203,Goldshire Footman*Hunter's Mark*Kobold Geomancer*Sen'jin Shieldmasta*Booty Bay Bodyguard*Lightwarden*Worgen Infiltrator*Voodoo Doctor*King Mukla*Jungle Panther*Scarlet Crusader*Thrallmar Farseer*Dark Iron Dwarf*Spellbreaker*Amani Berserker*Grimscale Oracle*Explosive Shot*Flare*Snake Trap*Sea Giant*Nightblade*Cult Master*Imp Master*Explosive Trap*Illidan Stormrage*Deadly Shot*Bloodsail Raider*Doomsayer*Violet Teacher*Millhouse Manastorm
