Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,59,-1611,3248425,7145000,1053883,4174947,3618614,634709,-129244,7240,102,2706666,25,4,59,-129244,Blessing of Might*Light's Justice*Hammer of Wrath*Oasis Snapjaw*Silverback Patriarch*Kobold Geomancer*Archmage*Bluegill Warrior*Chillwind Yeti*Reckless Rocketeer*Spiteful Smith*The Black Knight*Jungle Panther*Sunwalker*Defender of Argus*Defender of Argus*Demolisher*Eye for an Eye*Redemption*Dire Wolf Alpha*Baron Geddon*Aldor Peacekeeper*Murloc Warleader*Dalaran Mage*Doomsayer*Captain Greenskin*Southsea Captain*Southsea Captain*Master Swordsmith*Flesheating Ghoul
13,-1,69,-1289,3256801,7535000,1004644,4109489,3842733,589250,-53348,5460,112,2462222,27,3,69,-53348,Blessing of Kings*Consecration*Magma Rager*Frostwolf Grunt*Stormwind Knight*Ironforge Rifleman*Sen'jin Shieldmasta*Core Hound*Spiteful Smith*Lightwarden*Big Game Hunter*Big Game Hunter*Leper Gnome*Windfury Harpy*Spellbreaker*Ancient Brewmaster*Sunfury Protector*Mind Control Tech*Gadgetzan Auctioneer*Demolisher*Avenging Wrath*Murloc Tidehunter*Nat Pagle*Harrison Jones*Priestess of Elune*Ancient Mage*Bloodsail Raider*Knife Juggler*Dread Corsair*Flesheating Ghoul
17,-1,89,-357,4277859,6820000,1000000,3370234,3302052,743401,142198,6560,104,6248888,27,1,89,142198,Blessing of Might*Light's Justice*Truesilver Champion*Raid Leader*Wolfrider*Young Dragonhawk*Injured Blademaster*Chillwind Yeti*Core Hound*Frostwolf Warlord*Frostwolf Warlord*Lightwarden*Argent Squire*Worgen Infiltrator*Questing Adventurer*Crazed Alchemist*Crazed Alchemist*Argent Commander*Defender of Argus*Demolisher*Mountain Giant*Emperor Cobra*Mogu'shan Warden*Murloc Tidehunter*Ysera*The Beast*Mana Wraith*Knife Juggler*Millhouse Manastorm*Master Swordsmith
35,-1,93,-470,3993885,7360000,1028532,3231657,3543478,796195,80678,2680,86,2382222,27,3,93,80678,Guardian of Kings*Consecration*Consecration*Oasis Snapjaw*Raid Leader*Kobold Geomancer*Archmage*Young Dragonhawk*Bluegill Warrior*Chillwind Yeti*Frostwolf Warlord*Frostwolf Warlord*Young Priestess*Argent Squire*Novice Engineer*Thrallmar Farseer*Twilight Drake*Questing Adventurer*Mana Addict*Sunfury Protector*Sunfury Protector*Acidic Swamp Ooze*Secretkeeper*Humility*Tauren Warrior*Murloc Tidecaller*Dread Corsair*Faerie Dragon*Millhouse Manastorm*Flesheating Ghoul
77,-1,94,-312,4137954,7285000,1028826,3418668,3645161,665751,145227,6360,97,3578888,28,1,94,145227,Fen Creeper*Consecration*Frostwolf Grunt*Wolfrider*Ironfur Grizzly*Southsea Deckhand*Gnomish Inventor*Young Dragonhawk*Stonetusk Boar*Sen'jin Shieldmasta*Injured Blademaster*Reckless Rocketeer*Stormwind Champion*Young Priestess*Bloodmage Thalnos*King Mukla*Windfury Harpy*Dark Iron Dwarf*Ancient Brewmaster*Crazed Alchemist*Argent Commander*Argent Protector*Sword of Justice*Tirion Fordring*Shieldbearer*Murloc Tidecaller*Mana Wraith*Bloodsail Raider*Knife Juggler*Violet Teacher
278,17,97,-35,4125547,6850000,1000000,3140875,3219708,878832,208315,5000,96,6360000,26,2,97,208315,Blessing of Might*Light's Justice*Truesilver Champion*Raid Leader*Wolfrider*Young Dragonhawk*Injured Blademaster*Core Hound*Frostwolf Warlord*Frostwolf Warlord*Lightwarden*Argent Squire*Worgen Infiltrator*Voodoo Doctor*Questing Adventurer*Crazed Alchemist*Crazed Alchemist*Argent Commander*Defender of Argus*Demolisher*Mountain Giant*Emperor Cobra*Repentance*Mogu'shan Warden*Murloc Tidehunter*Ysera*Mana Wraith*Knife Juggler*Millhouse Manastorm*Master Swordsmith
373,35,98,-80,4107018,7195000,999305,2929812,3375955,895760,154322,3240,83,2112222,26,3,98,154322,Consecration*Consecration*Raid Leader*Kobold Geomancer*Archmage*Young Dragonhawk*Bluegill Warrior*Chillwind Yeti*Boulderfist Ogre*Frostwolf Warlord*Frostwolf Warlord*Young Priestess*Argent Squire*Twilight Drake*Questing Adventurer*Mana Addict*Sunfury Protector*Sunfury Protector*Acidic Swamp Ooze*Secretkeeper*Humility*Sword of Justice*Tauren Warrior*Murloc Tidecaller*Wild Pyromancer*Wild Pyromancer*Dread Corsair*Faerie Dragon*Millhouse Manastorm*Flesheating Ghoul
412,35,107,-137,4076454,7390000,1033152,3122462,3451962,887009,113840,2780,85,2205555,27,3,107,113840,Guardian of Kings*Consecration*Consecration*Oasis Snapjaw*Raid Leader*Kobold Geomancer*Young Dragonhawk*Bluegill Warrior*Chillwind Yeti*Frostwolf Warlord*Frostwolf Warlord*Young Priestess*Argent Squire*Novice Engineer*Thrallmar Farseer*Twilight Drake*Questing Adventurer*Mana Addict*Sunfury Protector*Sunfury Protector*Acidic Swamp Ooze*Secretkeeper*Humility*Tauren Warrior*Murloc Tidecaller*Dread Corsair*Faerie Dragon*Millhouse Manastorm*Stampeding Kodo*Flesheating Ghoul
480,77,110,113,4126174,7450000,1022147,3580536,3669127,742281,143342,7520,97,3512222,28,2,110,143342,Consecration*Consecration*Frostwolf Grunt*Wolfrider*Ironfur Grizzly*Southsea Deckhand*Gnomish Inventor*Young Dragonhawk*Stonetusk Boar*Sen'jin Shieldmasta*Injured Blademaster*Reckless Rocketeer*Stormwind Champion*Young Priestess*Bloodmage Thalnos*King Mukla*Windfury Harpy*Dark Iron Dwarf*Ancient Brewmaster*Crazed Alchemist*Argent Commander*Tirion Fordring*Shieldbearer*Murloc Tidecaller*Mana Wraith*Bloodsail Raider*Knife Juggler*Dread Corsair*Violet Teacher*Millhouse Manastorm
604,77,111,371,4286107,7270000,1002751,3307427,3609353,770976,183981,6420,94,3715555,28,1,111,183981,Fen Creeper*Consecration*Frostwolf Grunt*Wolfrider*Ironfur Grizzly*Southsea Deckhand*Murloc Raider*Young Dragonhawk*Stonetusk Boar*Sen'jin Shieldmasta*Injured Blademaster*Reckless Rocketeer*Stormwind Champion*Young Priestess*Bloodmage Thalnos*King Mukla*Windfury Harpy*Dark Iron Dwarf*Ancient Brewmaster*Crazed Alchemist*Argent Commander*Argent Protector*Sword of Justice*Tirion Fordring*Shieldbearer*Murloc Tidecaller*Mana Wraith*Mana Wraith*Knife Juggler*Violet Teacher
