Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,59,-1611,3248425,7145000,1053883,4174947,3618614,634709,-129244,7240,102,2706666,25,4,59,-129244,Blessing of Might*Light's Justice*Hammer of Wrath*Oasis Snapjaw*Silverback Patriarch*Kobold Geomancer*Archmage*Bluegill Warrior*Chillwind Yeti*Reckless Rocketeer*Spiteful Smith*The Black Knight*Jungle Panther*Sunwalker*Defender of Argus*Defender of Argus*Demolisher*Eye for an Eye*Redemption*Dire Wolf Alpha*Baron Geddon*Aldor Peacekeeper*Murloc Warleader*Dalaran Mage*Doomsayer*Captain Greenskin*Southsea Captain*Southsea Captain*Master Swordsmith*Flesheating Ghoul
2,-1,59,-1376,3671945,6630000,1095776,4699849,3401206,537707,-32184,6720,125,4805555,25,4,59,-32184,Blessing of Kings*Truesilver Champion*Ironfur Grizzly*Stonetusk Boar*Bluegill Warrior*Chillwind Yeti*Booty Bay Bodyguard*Razorfen Hunter*Core Hound*Reckless Rocketeer*Venture Co. Mercenary*King Mukla*Jungle Panther*Silvermoon Guardian*Stranglethorn Tiger*Acidic Swamp Ooze*Noble Sacrifice*Lay on Hands*Argent Protector*Holy Wrath*Aldor Peacekeeper*Tauren Warrior*Raging Worgen*Nozdormu*The Beast*Sea Giant*Nightblade*Doomsayer*Master Swordsmith*Stampeding Kodo
13,-1,69,-1289,3256801,7535000,1004644,4109489,3842733,589250,-53348,5460,112,2462222,27,3,69,-53348,Blessing of Kings*Consecration*Magma Rager*Frostwolf Grunt*Stormwind Knight*Ironforge Rifleman*Sen'jin Shieldmasta*Core Hound*Spiteful Smith*Lightwarden*Big Game Hunter*Big Game Hunter*Leper Gnome*Windfury Harpy*Spellbreaker*Ancient Brewmaster*Sunfury Protector*Mind Control Tech*Gadgetzan Auctioneer*Demolisher*Avenging Wrath*Murloc Tidehunter*Nat Pagle*Harrison Jones*Priestess of Elune*Ancient Mage*Bloodsail Raider*Knife Juggler*Dread Corsair*Flesheating Ghoul
17,-1,89,-357,4277859,6820000,1000000,3370234,3302052,743401,142198,6560,104,6248888,27,1,89,142198,Blessing of Might*Light's Justice*Truesilver Champion*Raid Leader*Wolfrider*Young Dragonhawk*Injured Blademaster*Chillwind Yeti*Core Hound*Frostwolf Warlord*Frostwolf Warlord*Lightwarden*Argent Squire*Worgen Infiltrator*Questing Adventurer*Crazed Alchemist*Crazed Alchemist*Argent Commander*Defender of Argus*Demolisher*Mountain Giant*Emperor Cobra*Mogu'shan Warden*Murloc Tidehunter*Ysera*The Beast*Mana Wraith*Knife Juggler*Millhouse Manastorm*Master Swordsmith
77,-1,94,-312,4137954,7285000,1028826,3418668,3645161,665751,145227,6360,97,3578888,28,1,94,145227,Fen Creeper*Consecration*Frostwolf Grunt*Wolfrider*Ironfur Grizzly*Southsea Deckhand*Gnomish Inventor*Young Dragonhawk*Stonetusk Boar*Sen'jin Shieldmasta*Injured Blademaster*Reckless Rocketeer*Stormwind Champion*Young Priestess*Bloodmage Thalnos*King Mukla*Windfury Harpy*Dark Iron Dwarf*Ancient Brewmaster*Crazed Alchemist*Argent Commander*Argent Protector*Sword of Justice*Tirion Fordring*Shieldbearer*Murloc Tidecaller*Mana Wraith*Bloodsail Raider*Knife Juggler*Violet Teacher
278,17,97,-35,4125547,6850000,1000000,3140875,3219708,878832,208315,5000,96,6360000,26,2,97,208315,Blessing of Might*Light's Justice*Truesilver Champion*Raid Leader*Wolfrider*Young Dragonhawk*Injured Blademaster*Core Hound*Frostwolf Warlord*Frostwolf Warlord*Lightwarden*Argent Squire*Worgen Infiltrator*Voodoo Doctor*Questing Adventurer*Crazed Alchemist*Crazed Alchemist*Argent Commander*Defender of Argus*Demolisher*Mountain Giant*Emperor Cobra*Repentance*Mogu'shan Warden*Murloc Tidehunter*Ysera*Mana Wraith*Knife Juggler*Millhouse Manastorm*Master Swordsmith
480,77,110,113,4126174,7450000,1022147,3580536,3669127,742281,143342,7520,97,3512222,28,2,110,143342,Consecration*Consecration*Frostwolf Grunt*Wolfrider*Ironfur Grizzly*Southsea Deckhand*Gnomish Inventor*Young Dragonhawk*Stonetusk Boar*Sen'jin Shieldmasta*Injured Blademaster*Reckless Rocketeer*Stormwind Champion*Young Priestess*Bloodmage Thalnos*King Mukla*Windfury Harpy*Dark Iron Dwarf*Ancient Brewmaster*Crazed Alchemist*Argent Commander*Tirion Fordring*Shieldbearer*Murloc Tidecaller*Mana Wraith*Bloodsail Raider*Knife Juggler*Dread Corsair*Violet Teacher*Millhouse Manastorm
604,77,111,371,4286107,7270000,1002751,3307427,3609353,770976,183981,6420,94,3715555,28,1,111,183981,Fen Creeper*Consecration*Frostwolf Grunt*Wolfrider*Ironfur Grizzly*Southsea Deckhand*Murloc Raider*Young Dragonhawk*Stonetusk Boar*Sen'jin Shieldmasta*Injured Blademaster*Reckless Rocketeer*Stormwind Champion*Young Priestess*Bloodmage Thalnos*King Mukla*Windfury Harpy*Dark Iron Dwarf*Ancient Brewmaster*Crazed Alchemist*Argent Commander*Argent Protector*Sword of Justice*Tirion Fordring*Shieldbearer*Murloc Tidecaller*Mana Wraith*Mana Wraith*Knife Juggler*Violet Teacher
1153,464,120,394,4346521,7330000,1005457,3369031,3620054,784447,161952,6420,98,3395555,28,1,120,161952,Fen Creeper*Consecration*Frostwolf Grunt*Raid Leader*Wolfrider*Ironfur Grizzly*Southsea Deckhand*Stonetusk Boar*Sen'jin Shieldmasta*Injured Blademaster*Injured Blademaster*Reckless Rocketeer*Stormwind Champion*Young Priestess*Bloodmage Thalnos*King Mukla*Windfury Harpy*Dark Iron Dwarf*Ancient Brewmaster*Crazed Alchemist*Argent Commander*Argent Protector*Sword of Justice*Tirion Fordring*Shieldbearer*Murloc Tidecaller*Mana Wraith*Bloodsail Raider*Knife Juggler*Violet Teacher
1547,1153,119,757,4339493,7305000,1003422,3048596,3542094,837782,212334,6480,91,3298888,28,1,119,212334,Fen Creeper*Consecration*Frostwolf Grunt*Raid Leader*Wolfrider*Ironfur Grizzly*Southsea Deckhand*Stonetusk Boar*Sen'jin Shieldmasta*Injured Blademaster*Injured Blademaster*Reckless Rocketeer*Stormwind Champion*Young Priestess*Argent Squire*Bloodmage Thalnos*King Mukla*Dark Iron Dwarf*Sunfury Protector*Crazed Alchemist*Argent Commander*Argent Protector*Sword of Justice*Tirion Fordring*Shieldbearer*Murloc Tidecaller*Mana Wraith*Bloodsail Raider*Knife Juggler*Violet Teacher
2476,1886,122,857,4316438,7300000,1004109,2982191,3588356,843150,253665,7540,92,3128888,28,2,122,253665,Consecration*Consecration*Magma Rager*Frostwolf Grunt*Wolfrider*Ironfur Grizzly*Ironfur Grizzly*Southsea Deckhand*Murloc Raider*Stonetusk Boar*Sen'jin Shieldmasta*Stormwind Champion*Young Priestess*Bloodmage Thalnos*King Mukla*Windfury Harpy*Questing Adventurer*Dark Iron Dwarf*Ancient Brewmaster*Crazed Alchemist*Argent Commander*Argent Protector*Tirion Fordring*Murloc Tidecaller*Mana Wraith*Bloodsail Raider*Knife Juggler*Knife Juggler*Violet Teacher*Millhouse Manastorm
3132,2476,128,957,4062960,7465000,1002009,3083724,3721366,798392,250720,7900,94,3382222,27,3,128,250720,Consecration*Consecration*Magma Rager*Frostwolf Grunt*Wolfrider*Ironfur Grizzly*Ironfur Grizzly*Southsea Deckhand*Murloc Raider*Stonetusk Boar*Sen'jin Shieldmasta*Stormwind Champion*Young Priestess*Bloodmage Thalnos*King Mukla*Windfury Harpy*Questing Adventurer*Ancient Brewmaster*Crazed Alchemist*Argent Commander*Argent Protector*Tirion Fordring*Avenging Wrath*Murloc Tidecaller*Mana Wraith*Bloodsail Raider*Knife Juggler*Knife Juggler*Violet Teacher*Millhouse Manastorm
3139,2476,131,1022,4482443,7120000,1004915,3127106,3481741,815308,236469,7540,92,3128888,28,2,131,236469,Consecration*Consecration*Magma Rager*Frostwolf Grunt*Wolfrider*Ironfur Grizzly*Ironfur Grizzly*Southsea Deckhand*Murloc Raider*Stonetusk Boar*Sen'jin Shieldmasta*Stormwind Champion*Young Priestess*Bloodmage Thalnos*King Mukla*Windfury Harpy*Dark Iron Dwarf*Ancient Brewmaster*Crazed Alchemist*Argent Commander*Mind Control Tech*Argent Protector*Tirion Fordring*Murloc Tidecaller*Mana Wraith*Bloodsail Raider*Knife Juggler*Knife Juggler*Violet Teacher*Millhouse Manastorm
6276,4554,130,1037,4337561,7095000,1036645,3241014,3424242,817477,286114,8300,100,5688888,27,3,130,286114,Blessing of Kings*Consecration*Consecration*Frostwolf Grunt*Wolfrider*Ironforge Rifleman*Young Dragonhawk*Injured Blademaster*Darkscale Healer*Lightwarden*The Black Knight*Young Priestess*Argent Squire*Voodoo Doctor*Novice Engineer*Shattered Sun Cleric*Leper Gnome*Questing Adventurer*Spellbreaker*Crazed Alchemist*Argent Commander*Tinkmaster Overspark*Defender of Argus*Mountain Giant*Raging Worgen*Malygos*Blood Knight*Knife Juggler*Millhouse Manastorm*Master Swordsmith
6658,6040,135,1082,4350390,7035000,999289,3463397,3402985,805259,243409,9660,104,4248888,27,3,135,243409,Blessing of Kings*Consecration*Consecration*Earthen Ring Farseer*Frostwolf Grunt*Raid Leader*Wolfrider*Injured Blademaster*Chillwind Yeti*Darkscale Healer*Lightwarden*The Black Knight*Young Priestess*Argent Squire*Voodoo Doctor*Leper Gnome*Questing Adventurer*Spellbreaker*Argent Commander*Argent Commander*Pint-Sized Summoner*Tinkmaster Overspark*Defender of Argus*Demolisher*Alexstrasza*Malygos*Blood Knight*Knife Juggler*Millhouse Manastorm*Master Swordsmith
