Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,63,-1923,3239253,8840000,1039027,4402149,4344457,760180,26102,6920,127,6445555,26,4,63,26102,Consecration*Hammer of Wrath*Wolfrider*Ironfur Grizzly*Silverback Patriarch*Lord of the Arena*Stonetusk Boar*Bluegill Warrior*Young Priestess*Big Game Hunter*Jungle Panther*Silvermoon Guardian*Stranglethorn Tiger*Windfury Harpy*Ancient Brewmaster*Acidic Swamp Ooze*Gadgetzan Auctioneer*Gadgetzan Auctioneer*Abomination*Mountain Giant*Noble Sacrifice*Eye for an Eye*Baron Geddon*Aldor Peacekeeper*Malygos*Dalaran Mage*Priestess of Elune*Knife Juggler*Doomsayer*Gruul
8,-1,66,-1766,3545959,8105000,1096236,3997532,4004935,668106,26922,3480,115,5005555,26,4,66,26922,Goldshire Footman*Magma Rager*Ironfur Grizzly*Southsea Deckhand*Ravenholdt Assassin*Lord of the Arena*Bluegill Warrior*Sen'jin Shieldmasta*War Golem*Elven Archer*Reckless Rocketeer*Venture Co. Mercenary*Big Game Hunter*Scarlet Crusader*Thrallmar Farseer*Stranglethorn Tiger*Spellbreaker*Crazed Alchemist*Gadgetzan Auctioneer*Divine Favor*Lay on Hands*Holy Wrath*Hand of Protection*Amani Berserker*Grimscale Oracle*Ysera*Nightblade*Knife Juggler*Bloodsail Corsair*Violet Teacher
9,-1,86,-779,4315144,8155000,998160,3488044,3960760,762109,36274,6420,107,4578888,29,1,86,36274,Goldshire Footman*Fen Creeper*Raid Leader*Stormpike Commando*Stormpike Commando*Murloc Raider*Razorfen Hunter*Stormwind Champion*Venture Co. Mercenary*Young Priestess*Jungle Panther*Dragonling Mechanic*Sunwalker*Windfury Harpy*Spellbreaker*Mana Addict*Crazed Alchemist*Pint-Sized Summoner*Tinkmaster Overspark*Coldlight Seer*Eye for an Eye*Argent Protector*Tauren Warrior*Murloc Tidehunter*The Beast*Sea Giant*Captain Greenskin*Bloodsail Corsair*Bloodsail Corsair*Stampeding Kodo
16,-1,99,-186,4487452,7970000,1000000,3262233,3964868,686951,37240,2520,99,4610000,27,1,99,37240,Light's Justice*Truesilver Champion*Wolfrider*Ironfur Grizzly*Ironforge Rifleman*Stonetusk Boar*Injured Blademaster*Chillwind Yeti*War Golem*Core Hound*Reckless Rocketeer*Stormwind Champion*Wisp*Worgen Infiltrator*Jungle Panther*Jungle Panther*Thrallmar Farseer*Silvermoon Guardian*Leper Gnome*Youthful Brewmaster*Secretkeeper*Abomination*Eye for an Eye*Dire Wolf Alpha*Dire Wolf Alpha*Emperor Cobra*Amani Berserker*Harvest Golem*Onyxia*Nightblade
60,-1,114,306,4638665,8095000,1069178,3137121,3969734,701050,43616,4180,90,2800000,27,2,114,43616,Light's Justice*River Crocolisk*Frostwolf Grunt*Raid Leader*Silver Hand Knight*Murloc Raider*Ogre Magi*Stormwind Champion*Lightwarden*Voodoo Doctor*Leper Gnome*Dark Iron Dwarf*Dark Iron Dwarf*Sunfury Protector*Defender of Argus*Demolisher*Coldlight Seer*Frost Elemental*Blessing of Wisdom*Holy Wrath*Aldor Peacekeeper*Tauren Warrior*Murloc Warleader*Illidan Stormrage*Hungry Crab*Knife Juggler*Bloodsail Corsair*Violet Teacher*Violet Teacher*Southsea Captain
519,60,115,231,4791331,8075000,1057585,3078018,3892879,822910,43758,4180,90,2800000,27,2,115,43758,Light's Justice*River Crocolisk*Frostwolf Grunt*Raid Leader*Silver Hand Knight*Ogre Magi*Stormwind Champion*Lightwarden*Voodoo Doctor*Voodoo Doctor*Leper Gnome*Dark Iron Dwarf*Dark Iron Dwarf*Sunfury Protector*Defender of Argus*Demolisher*Coldlight Seer*Frost Elemental*Blessing of Wisdom*Holy Wrath*Aldor Peacekeeper*Tauren Warrior*Murloc Warleader*Illidan Stormrage*Hungry Crab*Knife Juggler*Bloodsail Corsair*Violet Teacher*Violet Teacher*Southsea Captain
536,60,122,729,4884874,8165000,1070422,3185548,3938763,783833,45051,4180,90,2800000,27,2,122,45051,Light's Justice*River Crocolisk*Frostwolf Grunt*Raid Leader*Silver Hand Knight*Murloc Raider*Ogre Magi*Stormwind Champion*Lightwarden*Voodoo Doctor*Leper Gnome*Dark Iron Dwarf*Dark Iron Dwarf*Sunfury Protector*Defender of Argus*Demolisher*Coldlight Seer*Frost Elemental*Blessing of Wisdom*Holy Wrath*Aldor Peacekeeper*Tauren Warrior*Murloc Warleader*Illidan Stormrage*Hungry Crab*Knife Juggler*Bloodsail Corsair*Violet Teacher*Violet Teacher*Southsea Captain
649,60,123,539,4517282,8390000,1054827,3117401,4070917,792014,45715,4080,91,2832222,26,3,123,45715,Light's Justice*Consecration*River Crocolisk*Frostwolf Grunt*Raid Leader*Silver Hand Knight*Murloc Raider*Ogre Magi*Stormwind Champion*Lightwarden*Voodoo Doctor*Leper Gnome*Dark Iron Dwarf*Dark Iron Dwarf*Sunfury Protector*Defender of Argus*Demolisher*Frost Elemental*Blessing of Wisdom*Holy Wrath*Aldor Peacekeeper*Tauren Warrior*Murloc Warleader*Illidan Stormrage*Hungry Crab*Knife Juggler*Bloodsail Corsair*Violet Teacher*Violet Teacher*Southsea Captain
1084,60,124,608,4833723,8540000,1073770,3259367,4077868,820257,42428,4240,92,3062222,27,2,124,42428,Light's Justice*River Crocolisk*Frostwolf Grunt*Raid Leader*Silver Hand Knight*Murloc Raider*Ogre Magi*Stormwind Champion*Lightwarden*Voodoo Doctor*Leper Gnome*Sunwalker*Dark Iron Dwarf*Sunfury Protector*Defender of Argus*Demolisher*Coldlight Seer*Frost Elemental*Blessing of Wisdom*Holy Wrath*Aldor Peacekeeper*Tauren Warrior*Murloc Warleader*Illidan Stormrage*Hungry Crab*Knife Juggler*Bloodsail Corsair*Violet Teacher*Violet Teacher*Southsea Captain
1876,1271,126,413,4274971,8910000,1056677,3644219,4295735,804713,35754,8380,112,5262222,25,5,126,35754,Blessing of Might*Blessing of Might*River Crocolisk*Ironfur Grizzly*Silverback Patriarch*Stonetusk Boar*Ogre Magi*Spiteful Smith*Stormwind Champion*Lightwarden*Windfury Harpy*Dark Iron Dwarf*Defender of Argus*Abomination*Demolisher*Noble Sacrifice*Lay on Hands*Aldor Peacekeeper*Tirion Fordring*Avenging Wrath*Tauren Warrior*Amani Berserker*Shieldbearer*Nozdormu*Wild Pyromancer*Violet Teacher*Millhouse Manastorm*Master Swordsmith*Hogger*Stampeding Kodo
