Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,63,-1923,3239253,8840000,1039027,4402149,4344457,760180,26102,6920,127,6445555,26,4,63,26102,Consecration*Hammer of Wrath*Wolfrider*Ironfur Grizzly*Silverback Patriarch*Lord of the Arena*Stonetusk Boar*Bluegill Warrior*Young Priestess*Big Game Hunter*Jungle Panther*Silvermoon Guardian*Stranglethorn Tiger*Windfury Harpy*Ancient Brewmaster*Acidic Swamp Ooze*Gadgetzan Auctioneer*Gadgetzan Auctioneer*Abomination*Mountain Giant*Noble Sacrifice*Eye for an Eye*Baron Geddon*Aldor Peacekeeper*Malygos*Dalaran Mage*Priestess of Elune*Knife Juggler*Doomsayer*Gruul
3,-1,59,-1718,3456721,8145000,1031307,3639656,4068139,655616,32903,10320,98,4462222,24,3,59,32903,Fen Creeper*Light's Justice*Light's Justice*Kobold Geomancer*Southsea Deckhand*Ogre Magi*Stormwind Champion*Argent Squire*Angry Chicken*Thrallmar Farseer*Stranglethorn Tiger*Questing Adventurer*Mind Control Tech*Mind Control Tech*Abomination*Leeroy Jenkins*Baron Geddon*Blessing of Wisdom*Sword of Justice*Hand of Protection*Avenging Wrath*Tauren Warrior*Harvest Golem*Nat Pagle*Ysera*Imp Master*Captain Greenskin*Bloodsail Corsair*Bloodsail Corsair*Southsea Captain
5,-1,63,-1692,3215936,8220000,1012773,3806569,4105231,688564,29258,4060,115,5938888,29,1,63,29258,Guardian of Kings*Raid Leader*Ravenholdt Assassin*War Golem*Abusive Sergeant*Stormwind Champion*Frostwolf Warlord*Wisp*Alarm-o-Bot*Acolyte of Pain*Angry Chicken*Shattered Sun Cleric*Leper Gnome*Sunwalker*Ancient Brewmaster*Ancient Brewmaster*Pint-Sized Summoner*Secretkeeper*Abomination*Abomination*Argent Protector*Avenging Wrath*Grimscale Oracle*Priestess of Elune*Sea Giant*Nightblade*Hungry Crab*Bloodsail Raider*Wild Pyromancer*Captain Greenskin
9,-1,86,-779,4315144,8155000,998160,3488044,3960760,762109,36274,6420,107,4578888,29,1,86,36274,Goldshire Footman*Fen Creeper*Raid Leader*Stormpike Commando*Stormpike Commando*Murloc Raider*Razorfen Hunter*Stormwind Champion*Venture Co. Mercenary*Young Priestess*Jungle Panther*Dragonling Mechanic*Sunwalker*Windfury Harpy*Spellbreaker*Mana Addict*Crazed Alchemist*Pint-Sized Summoner*Tinkmaster Overspark*Coldlight Seer*Eye for an Eye*Argent Protector*Tauren Warrior*Murloc Tidehunter*The Beast*Sea Giant*Captain Greenskin*Bloodsail Corsair*Bloodsail Corsair*Stampeding Kodo
16,-1,99,-186,4487452,7970000,1000000,3262233,3964868,686951,37240,2520,99,4610000,27,1,99,37240,Light's Justice*Truesilver Champion*Wolfrider*Ironfur Grizzly*Ironforge Rifleman*Stonetusk Boar*Injured Blademaster*Chillwind Yeti*War Golem*Core Hound*Reckless Rocketeer*Stormwind Champion*Wisp*Worgen Infiltrator*Jungle Panther*Jungle Panther*Thrallmar Farseer*Silvermoon Guardian*Leper Gnome*Youthful Brewmaster*Secretkeeper*Abomination*Eye for an Eye*Dire Wolf Alpha*Dire Wolf Alpha*Emperor Cobra*Amani Berserker*Harvest Golem*Onyxia*Nightblade
60,-1,114,306,4638665,8095000,1069178,3137121,3969734,701050,43616,4180,90,2800000,27,2,114,43616,Light's Justice*River Crocolisk*Frostwolf Grunt*Raid Leader*Silver Hand Knight*Murloc Raider*Ogre Magi*Stormwind Champion*Lightwarden*Voodoo Doctor*Leper Gnome*Dark Iron Dwarf*Dark Iron Dwarf*Sunfury Protector*Defender of Argus*Demolisher*Coldlight Seer*Frost Elemental*Blessing of Wisdom*Holy Wrath*Aldor Peacekeeper*Tauren Warrior*Murloc Warleader*Illidan Stormrage*Hungry Crab*Knife Juggler*Bloodsail Corsair*Violet Teacher*Violet Teacher*Southsea Captain
536,60,122,729,4884874,8165000,1070422,3185548,3938763,783833,45051,4180,90,2800000,27,2,122,45051,Light's Justice*River Crocolisk*Frostwolf Grunt*Raid Leader*Silver Hand Knight*Murloc Raider*Ogre Magi*Stormwind Champion*Lightwarden*Voodoo Doctor*Leper Gnome*Dark Iron Dwarf*Dark Iron Dwarf*Sunfury Protector*Defender of Argus*Demolisher*Coldlight Seer*Frost Elemental*Blessing of Wisdom*Holy Wrath*Aldor Peacekeeper*Tauren Warrior*Murloc Warleader*Illidan Stormrage*Hungry Crab*Knife Juggler*Bloodsail Corsair*Violet Teacher*Violet Teacher*Southsea Captain
2245,1489,131,1241,4131564,9235000,1134271,3257715,4365457,910124,45706,7300,98,3995555,25,5,131,45706,Consecration*Silverback Patriarch*Stonetusk Boar*Ironbeak Owl*Lightwarden*The Black Knight*Argent Squire*Voodoo Doctor*Novice Engineer*Scarlet Crusader*Dark Iron Dwarf*Defender of Argus*Abomination*Demolisher*Noble Sacrifice*Lay on Hands*Blessing of Wisdom*Aldor Peacekeeper*Tirion Fordring*Avenging Wrath*Tauren Warrior*Amani Berserker*Amani Berserker*Shieldbearer*Wild Pyromancer*Violet Teacher*Southsea Captain*Master Swordsmith*Hogger*Stampeding Kodo
3120,2245,148,1775,3907700,9480000,1115506,3264240,4377109,979957,51298,7200,98,3995555,24,6,148,51298,Consecration*Consecration*Silverback Patriarch*Stonetusk Boar*Ironbeak Owl*Lightwarden*The Black Knight*Argent Squire*Voodoo Doctor*Novice Engineer*Scarlet Crusader*Dark Iron Dwarf*Defender of Argus*Abomination*Demolisher*Noble Sacrifice*Lay on Hands*Blessing of Wisdom*Aldor Peacekeeper*Tirion Fordring*Avenging Wrath*Tauren Warrior*Amani Berserker*Amani Berserker*Shieldbearer*Wild Pyromancer*Southsea Captain*Master Swordsmith*Hogger*Stampeding Kodo
5207,4081,154,1827,4313809,9305000,1118216,3345513,4476088,795808,50200,7320,104,3515555,26,4,154,50200,Consecration*Consecration*Silverback Patriarch*Stonetusk Boar*Ironbeak Owl*Argent Squire*Argent Squire*Voodoo Doctor*Novice Engineer*Scarlet Crusader*Dark Iron Dwarf*Dark Iron Dwarf*Argent Commander*Defender of Argus*Abomination*Demolisher*Lay on Hands*Aldor Peacekeeper*Aldor Peacekeeper*Tirion Fordring*Avenging Wrath*Tauren Warrior*Amani Berserker*Mana Wraith*Wild Pyromancer*Southsea Captain*Millhouse Manastorm*Master Swordsmith*Hogger*Stampeding Kodo
6318,5831,149,1858,4022900,9170000,1019083,3408942,4444383,791166,43440,5940,106,3982222,24,4,149,43440,Fen Creeper*Light's Justice*Light's Justice*Blessing of Kings*Consecration*Consecration*Earthen Ring Farseer*Earthen Ring Farseer*Raid Leader*Stormwind Knight*Lord of the Arena*Elven Archer*Acolyte of Pain*Bloodmage Thalnos*Silvermoon Guardian*Leper Gnome*Sunwalker*Dark Iron Dwarf*Spellbreaker*Acidic Swamp Ooze*Pint-Sized Summoner*Emperor Cobra*Tirion Fordring*Avenging Wrath*Amani Berserker*Amani Berserker*Grimscale Oracle*Alexstrasza*Nightblade*Flesheating Ghoul
