Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,121,608,4024691,6885000,1068264,3983297,3147421,875090,195175,7420,103,5578888,24,6,121,195175,Goldshire Footman*Guardian of Kings*Holy Light*Blessing of Kings*Consecration*Stormwind Knight*Southsea Deckhand*Stonetusk Boar*Bloodfen Raptor*Bluegill Warrior*Booty Bay Bodyguard*Razorfen Hunter*Frostwolf Warlord*Lightwarden*Worgen Infiltrator*King Mukla*Jungle Panther*Scarlet Crusader*Stranglethorn Tiger*Acidic Swamp Ooze*Mountain Giant*Cairne Bloodhoof*Dire Wolf Alpha*Blessing of Wisdom*Holy Wrath*Hand of Protection*The Beast*Cult Master*Millhouse Manastorm*Stampeding Kodo
4,-1,125,536,3588974,7165000,1022330,4411025,3369853,844382,65906,6480,105,3916666,24,5,125,65906,Goldshire Footman*Blessing of Might*Earthen Ring Farseer*Magma Rager*Oasis Snapjaw*Gnomish Inventor*Stormpike Commando*Sen'jin Shieldmasta*Injured Blademaster*Ironbeak Owl*Big Game Hunter*Thrallmar Farseer*Argent Commander*Loot Hoarder*Dire Wolf Alpha*Baron Geddon*Sword of Justice*Hand of Protection*Repentance*Avenging Wrath*Murloc Warleader*Harvest Golem*Sea Giant*Nightblade*Equality*Wild Pyromancer*Doomsayer*Violet Teacher*Millhouse Manastorm*Stampeding Kodo
5,-1,130,989,4348132,7095000,1000000,4159971,3183932,946441,99552,4960,107,3978888,28,2,130,99552,Goldshire Footman*Earthen Ring Farseer*Raid Leader*Silverback Patriarch*Ravenholdt Assassin*Bloodfen Raptor*Bluegill Warrior*Sen'jin Shieldmasta*Booty Bay Bodyguard*Stormwind Champion*Frostwolf Warlord*Venture Co. Mercenary*Lightwarden*Shattered Sun Cleric*Shattered Sun Cleric*Windfury Harpy*Ancient Brewmaster*Demolisher*Eye for an Eye*Redemption*Aldor Peacekeeper*Raging Worgen*Onyxia*Ancient Mage*Blood Knight*Illidan Stormrage*Hungry Crab*Bloodsail Raider*Faerie Dragon*Stampeding Kodo
22,-1,137,1055,3752747,7280000,1005494,3572802,3390109,866071,187822,4380,97,3512222,25,4,137,187822,Holy Light*Consecration*Ironforge Rifleman*Southsea Deckhand*Ravenholdt Assassin*Bloodfen Raptor*War Golem*Ogre Magi*Stormwind Champion*Wisp*The Black Knight*Shattered Sun Cleric*Thrallmar Farseer*Leper Gnome*Sunwalker*Arcane Golem*Loot Hoarder*Demolisher*Coldlight Seer*Emperor Cobra*Blessing of Wisdom*Sword of Justice*Aldor Peacekeeper*Avenging Wrath*Amani Berserker*Murloc Warleader*Dalaran Mage*Knife Juggler*Bloodsail Corsair*Southsea Captain
37,-1,144,1686,4121495,7490000,1000000,3016688,3306408,1159546,222237,3540,84,2760000,27,3,144,222237,Fen Creeper*Blessing of Kings*Earthen Ring Farseer*Frostwolf Grunt*Stormpike Commando*Ravenholdt Assassin*Sen'jin Shieldmasta*Sen'jin Shieldmasta*Wisp*Young Priestess*Big Game Hunter*Angry Chicken*Voodoo Doctor*Shattered Sun Cleric*Ancient Watcher*Youthful Brewmaster*Sunfury Protector*Crazed Alchemist*Acidic Swamp Ooze*Pint-Sized Summoner*Mind Control Tech*Abomination*Humility*Argent Protector*Tauren Warrior*The Beast*Mana Wraith*Equality*Knife Juggler*Bloodsail Corsair
135,0,150,1757,4454873,6925000,1013718,3698194,3207942,893140,262382,9740,96,5360000,25,5,150,262382,Goldshire Footman*Blessing of Kings*Consecration*Ironfur Grizzly*Stormwind Knight*Southsea Deckhand*Gnomish Inventor*Stonetusk Boar*Bloodfen Raptor*Bluegill Warrior*Booty Bay Bodyguard*Lightwarden*Young Priestess*Worgen Infiltrator*Bloodmage Thalnos*King Mukla*Shattered Sun Cleric*Scarlet Crusader*Stranglethorn Tiger*Acidic Swamp Ooze*Mountain Giant*Cairne Bloodhoof*Dire Wolf Alpha*Blessing of Wisdom*Hand of Protection*Avenging Wrath*The Beast*Southsea Captain*Millhouse Manastorm*Stampeding Kodo
542,37,154,2223,4366876,7155000,1000000,3054507,3144654,1123689,316566,5000,84,2760000,27,3,154,316566,Fen Creeper*Blessing of Kings*Earthen Ring Farseer*Frostwolf Grunt*Stormpike Commando*Ravenholdt Assassin*Bloodfen Raptor*Sen'jin Shieldmasta*Sen'jin Shieldmasta*Wisp*Young Priestess*Big Game Hunter*Angry Chicken*Voodoo Doctor*King Mukla*Shattered Sun Cleric*Youthful Brewmaster*Sunfury Protector*Crazed Alchemist*Acidic Swamp Ooze*Pint-Sized Summoner*Mind Control Tech*Abomination*Humility*Argent Protector*The Beast*Mana Wraith*Equality*Knife Juggler*Bloodsail Corsair
608,37,156,2127,4111883,7195000,1000000,3266851,3350243,908269,282570,3520,94,3448888,27,3,156,282570,Fen Creeper*Blessing of Kings*Consecration*Earthen Ring Farseer*Frostwolf Grunt*Stormpike Commando*Ravenholdt Assassin*Sen'jin Shieldmasta*War Golem*Venture Co. Mercenary*Wisp*Young Priestess*Angry Chicken*Voodoo Doctor*Shattered Sun Cleric*Youthful Brewmaster*Sunfury Protector*Crazed Alchemist*Pint-Sized Summoner*Mind Control Tech*Abomination*Argent Protector*Avenging Wrath*Tauren Warrior*The Beast*Mana Wraith*Bloodsail Raider*Knife Juggler*Bloodsail Corsair*Master Swordsmith
619,135,160,1925,4557184,6820000,1017595,3562316,3153225,910557,279756,8280,94,5048888,25,5,160,279756,Goldshire Footman*Blessing of Kings*Consecration*Ironfur Grizzly*Stormwind Knight*Southsea Deckhand*Gnomish Inventor*Stonetusk Boar*Bloodfen Raptor*Bluegill Warrior*Booty Bay Bodyguard*Lightwarden*Young Priestess*Alarm-o-Bot*Worgen Infiltrator*Bloodmage Thalnos*King Mukla*Shattered Sun Cleric*Scarlet Crusader*Scarlet Crusader*Stranglethorn Tiger*Mountain Giant*Dire Wolf Alpha*Blessing of Wisdom*Hand of Protection*Avenging Wrath*The Beast*Southsea Captain*Millhouse Manastorm*Stampeding Kodo
643,135,164,2169,4558498,6795000,1001471,3401766,3042678,964679,313017,9840,93,5490000,25,5,164,313017,Goldshire Footman*Blessing of Kings*Consecration*Ironfur Grizzly*Stormwind Knight*Southsea Deckhand*Stonetusk Boar*Bloodfen Raptor*Bluegill Warrior*Booty Bay Bodyguard*Lightwarden*Young Priestess*Worgen Infiltrator*Bloodmage Thalnos*King Mukla*Shattered Sun Cleric*Scarlet Crusader*Stranglethorn Tiger*Acidic Swamp Ooze*Secretkeeper*Mountain Giant*Cairne Bloodhoof*Dire Wolf Alpha*Blessing of Wisdom*Hand of Protection*Avenging Wrath*The Beast*Southsea Captain*Millhouse Manastorm*Stampeding Kodo
