Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,69,-1373,3308579,6935000,1038932,4698630,2890410,1166546,-239640,8720,139,6565555,26,4,69,-239640,Dread Infernal*Silverback Patriarch*Gnomish Inventor*Sen'jin Shieldmasta*Ogre Magi*Boulderfist Ogre*Alarm-o-Bot*Sunwalker*Argent Commander*Gadgetzan Auctioneer*Mountain Giant*Mortal Coil*Shadowflame*Doomguard*Sense Demons*Flame Imp*Bane of Doom*Mogu'shan Warden*Raging Worgen*Raging Worgen*Harrison Jones*Nozdormu*Ysera*Ancient Mage*Sea Giant*Cult Master*Mana Wraith*Faerie Dragon*Millhouse Manastorm*Flesheating Ghoul
1,-1,81,-936,2602401,7495000,1027351,3190793,2965310,1247498,11298,3720,95,5938888,24,6,81,11298,Drain Life*Corruption*River Crocolisk*Stonetusk Boar*Bloodfen Raptor*Elven Archer*Wisp*Acolyte of Pain*Jungle Panther*Stranglethorn Tiger*Twilight Drake*Gadgetzan Auctioneer*Abomination*Abomination*Coldlight Seer*Mountain Giant*Baron Geddon*Felguard*Soulfire*Soulfire*Siphon Soul*Flame Imp*Bane of Doom*Tauren Warrior*Amani Berserker*Shieldbearer*Grimscale Oracle*Wild Pyromancer*Wild Pyromancer*Violet Teacher
3,-1,108,27,3558698,7070000,1041018,3642149,3088401,1043140,59941,5180,118,7328888,29,1,108,59941,Drain Life*Dread Infernal*Magma Rager*Silverback Patriarch*Stormwind Knight*Lord of the Arena*Injured Blademaster*Ogre Magi*Stormwind Champion*Wisp*Worgen Infiltrator*Novice Engineer*Leper Gnome*Argent Commander*Tinkmaster Overspark*Defender of Argus*Mountain Giant*Succubus*Tauren Warrior*Tauren Warrior*Murloc Warleader*Murloc Tidecaller*Onyxia*Dalaran Mage*Sea Giant*Nightblade*Nightblade*Bloodsail Raider*Wild Pyromancer*Faerie Dragon
14,-1,118,420,3603773,7420000,1077493,3339622,3219676,1099730,93589,5280,99,6143333,26,4,118,93589,Drain Life*Dread Infernal*Archmage*Lord of the Arena*Sen'jin Shieldmasta*Sen'jin Shieldmasta*Injured Blademaster*Abusive Sergeant*Wisp*Angry Chicken*Angry Chicken*Worgen Infiltrator*Novice Engineer*Scarlet Crusader*Leper Gnome*Youthful Brewmaster*Sunfury Protector*Loot Hoarder*Mountain Giant*Dire Wolf Alpha*Mortal Coil*Bane of Doom*Gurubashi Berserker*Raging Worgen*Raging Worgen*Harrison Jones*Demonfire*Faerie Dragon*Southsea Captain*Gruul
22,-1,121,498,4004261,7040000,1029119,3324573,3056107,1071022,120145,3380,95,2538888,26,4,121,120145,Shadow Bolt*Hellfire*Dread Infernal*Voidwalker*Southsea Deckhand*Gnomish Inventor*Silver Hand Knight*Murloc Raider*Elven Archer*Ogre Magi*Boulderfist Ogre*Lightwarden*Big Game Hunter*Scarlet Crusader*Dark Iron Dwarf*Sunfury Protector*Crazed Alchemist*Acidic Swamp Ooze*Mind Control Tech*Arcane Golem*Coldlight Seer*Void Terror*Siphon Soul*Doomguard*Sense Demons*Murloc Tidecaller*Cult Master*Bloodsail Raider*Knife Juggler*Captain Greenskin
30,-1,129,612,3770234,7660000,1006527,3700391,3165796,1276109,54846,4820,107,4112222,28,2,129,54846,Magma Rager*Wolfrider*Ironfur Grizzly*Silverback Patriarch*Lord of the Arena*Young Dragonhawk*Injured Blademaster*Chillwind Yeti*Core Hound*Core Hound*Spiteful Smith*Lightwarden*Alarm-o-Bot*Voodoo Doctor*Scarlet Crusader*Thrallmar Farseer*Leper Gnome*Questing Adventurer*Ancient Brewmaster*Crazed Alchemist*Pint-Sized Summoner*Loot Hoarder*Baron Geddon*Shadowflame*Shadowflame*Grimscale Oracle*Ysera*Priestess of Elune*Blood Knight*Imp Master
73,-1,131,809,4798299,6470000,1003863,3397217,2623647,1153786,130278,5540,94,3782222,28,2,131,130278,Raid Leader*Silverback Patriarch*Stormwind Knight*Young Dragonhawk*Chillwind Yeti*Elven Archer*Frostwolf Warlord*Wisp*Worgen Infiltrator*King Mukla*Jungle Panther*Jungle Panther*Scarlet Crusader*Youthful Brewmaster*Argent Commander*Argent Commander*Mind Control Tech*Loot Hoarder*Emperor Cobra*Frost Elemental*Doomguard*Twisting Nether*Pit Lord*Amani Berserker*Murloc Tidecaller*Murloc Tidecaller*The Beast*Sacrificial Pact*Bloodsail Raider*Southsea Captain
578,78,132,1134,3850529,7560000,1021164,3277777,3044973,1365079,135504,3740,93,4156666,25,5,132,135504,Fen Creeper*Corruption*Dread Infernal*Frostwolf Grunt*Sen'jin Shieldmasta*Sen'jin Shieldmasta*Elven Archer*Razorfen Hunter*Argent Squire*Worgen Infiltrator*Thrallmar Farseer*Questing Adventurer*Youthful Brewmaster*Ancient Brewmaster*Mortal Coil*Doomguard*Twisting Nether*Lord Jaraxxus*Tauren Warrior*Murloc Tidehunter*Blood Knight*Demonfire*Mana Wraith*Sacrificial Pact*Hungry Crab*Dread Corsair*Master Swordsmith*Stampeding Kodo*Flesheating Ghoul*Flesheating Ghoul
818,76,141,1424,4400426,7030000,1067567,3371266,2975817,1152204,165751,2080,90,2333333,29,1,141,165751,Fen Creeper*Earthen Ring Farseer*Raid Leader*Silverback Patriarch*Southsea Deckhand*Gnomish Inventor*Murloc Raider*Bluegill Warrior*Sen'jin Shieldmasta*Injured Blademaster*War Golem*Lightwarden*Big Game Hunter*Alarm-o-Bot*Worgen Infiltrator*Novice Engineer*Shattered Sun Cleric*Argent Commander*Pint-Sized Summoner*Abomination*Demolisher*Coldlight Seer*Dire Wolf Alpha*Mortal Coil*Succubus*Harvest Golem*Faerie Dragon*Southsea Captain*Master Swordsmith*Stampeding Kodo
896,78,142,1391,3970039,7510000,1024633,3086551,2890146,1454727,195600,3700,89,4098888,25,5,142,195600,Corruption*Dread Infernal*Frostwolf Grunt*Sen'jin Shieldmasta*Sen'jin Shieldmasta*Elven Archer*Razorfen Hunter*Ironbeak Owl*Argent Squire*Worgen Infiltrator*Thrallmar Farseer*Youthful Brewmaster*Ancient Brewmaster*Sunfury Protector*Mortal Coil*Succubus*Doomguard*Twisting Nether*Lord Jaraxxus*Tauren Warrior*Murloc Tidehunter*Blood Knight*Demonfire*Mana Wraith*Sacrificial Pact*Hungry Crab*Dread Corsair*Master Swordsmith*Stampeding Kodo*Flesheating Ghoul
967,78,147,1718,4001280,7810000,1018565,3193341,3125480,1396286,214314,2040,91,3165555,26,4,147,214314,Fen Creeper*Corruption*Dread Infernal*Frostwolf Grunt*Frostwolf Grunt*Silverback Patriarch*Lord of the Arena*Sen'jin Shieldmasta*Sen'jin Shieldmasta*Elven Archer*Razorfen Hunter*Ironbeak Owl*Argent Squire*Worgen Infiltrator*Thrallmar Farseer*Youthful Brewmaster*Ancient Brewmaster*Sunfury Protector*Mortal Coil*Doomguard*Twisting Nether*Tauren Warrior*Murloc Tidehunter*Priestess of Elune*Blood Knight*Demonfire*Mana Wraith*Hungry Crab*Master Swordsmith*Flesheating Ghoul
