Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,88,-707,3600370,8095000,1025324,4600370,3966028,693020,26839,7620,127,5178888,24,5,88,26839,Magma Rager*Gnomish Inventor*Stormpike Commando*Ravenholdt Assassin*Chillwind Yeti*Chillwind Yeti*War Golem*Ogre Magi*Boulderfist Ogre*Reckless Rocketeer*Starving Buzzard*Arcane Shot*The Black Knight*Argent Squire*Angry Chicken*Scarlet Crusader*Mountain Giant*Cairne Bloodhoof*Frost Elemental*Raging Worgen*Eaglehorn Bow*Explosive Shot*Cult Master*Cult Master*Snipe*Freezing Trap*Mana Wraith*Millhouse Manastorm*Animal Companion*Hogger
1,-1,162,2451,4521582,8340000,1000000,2950839,3781774,1035371,55628,4920,94,4115555,29,1,162,55628,Goldshire Footman*Hunter's Mark*Earthen Ring Farseer*Stormpike Commando*Ravenholdt Assassin*Lord of the Arena*Young Dragonhawk*Bloodfen Raptor*Booty Bay Bodyguard*Venture Co. Mercenary*Tundra Rhino*Lightwarden*Young Priestess*Worgen Infiltrator*Voodoo Doctor*Questing Adventurer*Pint-Sized Summoner*Defender of Argus*Abomination*Dire Wolf Alpha*Emperor Cobra*Gurubashi Berserker*Murloc Warleader*King Krush*Wild Pyromancer*Faerie Dragon*Bloodsail Corsair*Millhouse Manastorm*Flesheating Ghoul*Flesheating Ghoul
504,1,167,2650,4879635,8225000,1000000,2986018,3801823,959270,60050,4920,95,4005555,29,1,167,60050,Hunter's Mark*Earthen Ring Farseer*Stormpike Commando*Ravenholdt Assassin*Lord of the Arena*Young Dragonhawk*Bloodfen Raptor*Booty Bay Bodyguard*Venture Co. Mercenary*Tundra Rhino*Lightwarden*Young Priestess*Worgen Infiltrator*Voodoo Doctor*Questing Adventurer*Acidic Swamp Ooze*Pint-Sized Summoner*Defender of Argus*Abomination*Dire Wolf Alpha*Emperor Cobra*Gurubashi Berserker*Murloc Warleader*King Krush*Wild Pyromancer*Faerie Dragon*Bloodsail Corsair*Millhouse Manastorm*Flesheating Ghoul*Flesheating Ghoul
522,1,171,2779,4791053,8160000,1000000,2999387,3668504,1017769,58658,5220,91,4032222,28,2,171,58658,Goldshire Footman*Hunter's Mark*Earthen Ring Farseer*Stormpike Commando*Ravenholdt Assassin*Lord of the Arena*Young Dragonhawk*Bloodfen Raptor*Booty Bay Bodyguard*Venture Co. Mercenary*Tundra Rhino*Lightwarden*Young Priestess*Worgen Infiltrator*Voodoo Doctor*Questing Adventurer*Pint-Sized Summoner*Defender of Argus*Dire Wolf Alpha*Emperor Cobra*Gurubashi Berserker*Murloc Warleader*King Krush*Snake Trap*Wild Pyromancer*Faerie Dragon*Bloodsail Corsair*Millhouse Manastorm*Flesheating Ghoul*Flesheating Ghoul
850,512,172,2977,4783882,8190000,1000000,2850427,3739926,985347,63502,4960,90,3666666,29,1,172,63502,Goldshire Footman*Hunter's Mark*Earthen Ring Farseer*Stormpike Commando*Ravenholdt Assassin*Bloodfen Raptor*Sen'jin Shieldmasta*Booty Bay Bodyguard*Venture Co. Mercenary*Lightwarden*Young Priestess*Worgen Infiltrator*Voodoo Doctor*Questing Adventurer*Pint-Sized Summoner*Defender of Argus*Abomination*Dire Wolf Alpha*Emperor Cobra*Gurubashi Berserker*Murloc Warleader*Scavenging Hyena*King Krush*Bloodsail Raider*Wild Pyromancer*Faerie Dragon*Bloodsail Corsair*Millhouse Manastorm*Flesheating Ghoul*Flesheating Ghoul
1035,98,175,2978,4619132,8415000,1046345,2720736,3688651,1120617,64356,4920,76,1248888,28,2,175,64356,Earthen Ring Farseer*River Crocolisk*Wolfrider*Ironforge Rifleman*Bloodfen Raptor*Sen'jin Shieldmasta*Chillwind Yeti*Booty Bay Bodyguard*Young Priestess*Angry Chicken*Bloodmage Thalnos*Leper Gnome*Twilight Drake*Dark Iron Dwarf*Spellbreaker*Youthful Brewmaster*Loot Hoarder*Mogu'shan Warden*Shieldbearer*Murloc Tidehunter*Grimscale Oracle*Scavenging Hyena*Unleash the Hounds*Harvest Golem*Nat Pagle*Blood Knight*Imp Master*Explosive Trap*Hungry Crab*Faerie Dragon
1742,1352,176,3250,4969040,8075000,1000000,2856965,3669349,990712,63993,4760,88,3528888,29,1,176,63993,Goldshire Footman*Hunter's Mark*Earthen Ring Farseer*Stormpike Commando*Bloodfen Raptor*Sen'jin Shieldmasta*War Golem*Booty Bay Bodyguard*Venture Co. Mercenary*Lightwarden*Young Priestess*Worgen Infiltrator*Voodoo Doctor*Shattered Sun Cleric*Questing Adventurer*Pint-Sized Summoner*Defender of Argus*Dire Wolf Alpha*Emperor Cobra*Gurubashi Berserker*Murloc Warleader*Scavenging Hyena*King Krush*Bloodsail Raider*Wild Pyromancer*Faerie Dragon*Bloodsail Corsair*Millhouse Manastorm*Flesheating Ghoul*Flesheating Ghoul
2577,2098,178,3340,5012978,8090000,1000000,2854140,3637824,1038318,65056,4600,87,3023333,29,1,178,65056,Hunter's Mark*Earthen Ring Farseer*Stormpike Commando*Bloodfen Raptor*Sen'jin Shieldmasta*Booty Bay Bodyguard*Venture Co. Mercenary*Lightwarden*Young Priestess*Worgen Infiltrator*Voodoo Doctor*Shattered Sun Cleric*Questing Adventurer*Pint-Sized Summoner*Defender of Argus*Abomination*Dire Wolf Alpha*Emperor Cobra*Gurubashi Berserker*Raging Worgen*Scavenging Hyena*King Krush*Bloodsail Raider*Wild Pyromancer*Wild Pyromancer*Faerie Dragon*Bloodsail Corsair*Millhouse Manastorm*Flesheating Ghoul*Flesheating Ghoul
3623,3049,179,3279,4787436,7880000,1000000,2914974,3612944,959390,62394,6160,92,4328888,29,1,179,62394,Hunter's Mark*Earthen Ring Farseer*Stormpike Commando*Bloodfen Raptor*Sen'jin Shieldmasta*Booty Bay Bodyguard*Venture Co. Mercenary*Lightwarden*The Black Knight*Young Priestess*Worgen Infiltrator*Voodoo Doctor*Shattered Sun Cleric*Dragonling Mechanic*Questing Adventurer*Pint-Sized Summoner*Pint-Sized Summoner*Defender of Argus*Dire Wolf Alpha*Scavenging Hyena*King Krush*Onyxia*Bloodsail Raider*Bloodsail Raider*Knife Juggler*Wild Pyromancer*Bloodsail Corsair*Master Swordsmith*Flesheating Ghoul*Flesheating Ghoul
4078,3552,182,3454,4921245,8190000,1000000,2989010,3781440,942612,62375,3300,96,3826666,28,1,182,62375,Hunter's Mark*Earthen Ring Farseer*Lord of the Arena*Bloodfen Raptor*Sen'jin Shieldmasta*Booty Bay Bodyguard*Venture Co. Mercenary*Gladiator's Longbow*Young Priestess*Argent Squire*Voodoo Doctor*Shattered Sun Cleric*Sunwalker*Twilight Drake*Questing Adventurer*Pint-Sized Summoner*Mind Control Tech*Defender of Argus*Dire Wolf Alpha*Gurubashi Berserker*Grimscale Oracle*Scavenging Hyena*Scavenging Hyena*Harvest Golem*Onyxia*Bloodsail Raider*Wild Pyromancer*Bloodsail Corsair*Flesheating Ghoul*Flesheating Ghoul
