Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,114,510,4414603,7875000,1000000,4018412,3660952,897777,38361,10240,127,6778888,28,1,114,38361,Guardian of Kings*Wolfrider*Kobold Geomancer*Ravenholdt Assassin*Core Hound*Ironbeak Owl*Venture Co. Mercenary*Lightwarden*Big Game Hunter*Angry Chicken*Scarlet Crusader*Sunfury Protector*Pint-Sized Summoner*Defender of Argus*Noble Sacrifice*Dire Wolf Alpha*Sword of Justice*Gurubashi Berserker*Raging Worgen*Murloc Warleader*Alexstrasza*Onyxia*Malygos*Dalaran Mage*Dalaran Mage*Nightblade*Illidan Stormrage*Wild Pyromancer*Deathwing*Master Swordsmith
1,-1,161,2642,5036532,8075000,1000000,3120123,3855108,863777,59147,5700,93,3356666,27,3,161,59147,Fen Creeper*Fen Creeper*Blessing of Might*Raid Leader*Silver Hand Knight*Bluegill Warrior*Chillwind Yeti*Razorfen Hunter*Ironbeak Owl*Venture Co. Mercenary*Darkscale Healer*Young Priestess*Worgen Infiltrator*Worgen Infiltrator*King Mukla*Shattered Sun Cleric*Leper Gnome*Pint-Sized Summoner*Arcane Golem*Avenging Wrath*Nozdormu*Dalaran Mage*Blood Knight*Nightblade*Equality*Hungry Crab*Wild Pyromancer*Doomsayer*Faerie Dragon*Faerie Dragon
6,-1,162,2241,5007995,8130000,1011685,3165436,3711562,969249,56921,6420,96,4360000,28,2,162,56921,Goldshire Footman*Frostwolf Grunt*Frostwolf Grunt*Southsea Deckhand*Bluegill Warrior*War Golem*Abusive Sergeant*Stormwind Champion*Young Priestess*King Mukla*Dragonling Mechanic*Leper Gnome*Windfury Harpy*Windfury Harpy*Spellbreaker*Mana Addict*Mana Addict*Mind Control Tech*Coldlight Seer*Dire Wolf Alpha*Humility*Aldor Peacekeeper*Avenging Wrath*Alexstrasza*Dalaran Mage*Cult Master*Mana Wraith*Mana Wraith*Violet Teacher*Millhouse Manastorm
17,-1,164,2599,5263408,8390000,1025029,3079856,3769368,1043504,62536,4720,93,3356666,28,2,164,62536,Goldshire Footman*Blessing of Kings*Magma Rager*Frostwolf Grunt*Wolfrider*Kobold Geomancer*Southsea Deckhand*Sen'jin Shieldmasta*Stormwind Champion*Voodoo Doctor*Jungle Panther*Silvermoon Guardian*Stranglethorn Tiger*Questing Adventurer*Sunfury Protector*Acidic Swamp Ooze*Tinkmaster Overspark*Gadgetzan Auctioneer*Eye for an Eye*Argent Protector*Aldor Peacekeeper*Murloc Tidehunter*Murloc Tidecaller*Harvest Golem*Onyxia*Ancient Mage*Cult Master*Bloodsail Corsair*Violet Teacher*Southsea Captain
24,-1,167,2835,4936182,8540000,1000000,3268735,3748243,1163348,64108,6320,95,4472222,26,3,167,64108,Holy Light*Earthen Ring Farseer*Magma Rager*Raid Leader*Wolfrider*Ironfur Grizzly*Murloc Raider*Young Dragonhawk*Stonetusk Boar*Sen'jin Shieldmasta*Elven Archer*The Black Knight*Young Priestess*Young Priestess*Alarm-o-Bot*Dragonling Mechanic*Twilight Drake*Argent Commander*Noble Sacrifice*Redemption*Dire Wolf Alpha*Sword of Justice*Amani Berserker*Mogu'shan Warden*Nozdormu*Ysera*Ancient Mage*Master Swordsmith*Stampeding Kodo*Flesheating Ghoul
101,1,168,2883,4942366,8155000,1000000,3089515,3770079,988350,60716,5240,95,3938888,28,2,168,60716,Fen Creeper*Fen Creeper*Blessing of Might*Raid Leader*Silver Hand Knight*Bluegill Warrior*Bluegill Warrior*Chillwind Yeti*Razorfen Hunter*Ironbeak Owl*Venture Co. Mercenary*Venture Co. Mercenary*Darkscale Healer*Lightwarden*Young Priestess*Worgen Infiltrator*Worgen Infiltrator*King Mukla*Leper Gnome*Acidic Swamp Ooze*Pint-Sized Summoner*Avenging Wrath*Dalaran Mage*Blood Knight*Nightblade*Wild Pyromancer*Doomsayer*Faerie Dragon*Faerie Dragon*Deathwing
106,1,173,3032,5456241,7770000,1000000,2911196,3598455,944658,67947,5460,87,3356666,27,3,173,67947,Fen Creeper*Blessing of Might*Raid Leader*Silver Hand Knight*Murloc Raider*Bluegill Warrior*Chillwind Yeti*Razorfen Hunter*Ironbeak Owl*Venture Co. Mercenary*Darkscale Healer*Lightwarden*Young Priestess*Worgen Infiltrator*Worgen Infiltrator*King Mukla*Shattered Sun Cleric*Leper Gnome*Pint-Sized Summoner*Arcane Golem*Avenging Wrath*Nozdormu*Dalaran Mage*Ancient Mage*Blood Knight*Equality*Hungry Crab*Wild Pyromancer*Faerie Dragon*Faerie Dragon
679,314,174,3076,4876865,8040000,1003109,3226368,3833955,850746,61704,8480,95,3872222,28,2,174,61704,Fen Creeper*Fen Creeper*Blessing of Might*Magma Rager*Raid Leader*Silver Hand Knight*Bluegill Warrior*Razorfen Hunter*Ironbeak Owl*Venture Co. Mercenary*Young Priestess*Argent Squire*Worgen Infiltrator*Worgen Infiltrator*King Mukla*Shattered Sun Cleric*Thrallmar Farseer*Leper Gnome*Sunwalker*Pint-Sized Summoner*Lorewalker Cho*Avenging Wrath*Nozdormu*Blood Knight*Nightblade*Illidan Stormrage*Hungry Crab*Wild Pyromancer*Faerie Dragon*Faerie Dragon
707,198,176,3011,5114684,8240000,1000000,3025485,3729368,1016383,64401,7140,92,3595555,27,3,176,64401,Fen Creeper*Fen Creeper*Blessing of Might*Silver Hand Knight*Bluegill Warrior*Chillwind Yeti*Razorfen Hunter*Venture Co. Mercenary*Lightwarden*Young Priestess*Worgen Infiltrator*Worgen Infiltrator*King Mukla*Shattered Sun Cleric*Silvermoon Guardian*Leper Gnome*Pint-Sized Summoner*Arcane Golem*Avenging Wrath*Mogu'shan Warden*Nozdormu*The Beast*Dalaran Mage*Blood Knight*Equality*Hungry Crab*Wild Pyromancer*Faerie Dragon*Faerie Dragon*Master Swordsmith
915,198,178,3375,5183435,8150000,1000000,2978527,3673006,1030674,67228,5520,86,2515555,27,3,178,67228,Fen Creeper*Fen Creeper*Blessing of Might*Silver Hand Knight*Bluegill Warrior*Chillwind Yeti*Abusive Sergeant*Razorfen Hunter*Ironbeak Owl*Venture Co. Mercenary*Darkscale Healer*Young Priestess*Worgen Infiltrator*Worgen Infiltrator*King Mukla*Shattered Sun Cleric*Leper Gnome*Pint-Sized Summoner*Arcane Golem*Argent Protector*Avenging Wrath*Mogu'shan Warden*The Beast*Blood Knight*Equality*Hungry Crab*Wild Pyromancer*Faerie Dragon*Faerie Dragon*Master Swordsmith
