Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,137,1392,5090041,8385000,1050685,3345259,3492546,1322003,53288,5180,122,8662222,29,1,137,53288,Corruption*Dread Infernal*Wolfrider*Silverback Patriarch*Stormwind Knight*Stormpike Commando*Ravenholdt Assassin*Bloodfen Raptor*Bluegill Warrior*Stormwind Champion*Young Priestess*Voodoo Doctor*Thrallmar Farseer*Defender of Argus*Gadgetzan Auctioneer*Coldlight Seer*Mountain Giant*Mountain Giant*Dire Wolf Alpha*Void Terror*Doomguard*Flame Imp*Amani Berserker*Mogu'shan Warden*Murloc Tidecaller*Malygos*Illidan Stormrage*Bloodsail Raider*Wild Pyromancer*Flesheating Ghoul
18,-1,147,1814,5069912,8010000,1107365,2691635,3382022,1235955,60258,6300,94,5715555,29,1,147,60258,Shadow Bolt*Blood Imp*Magma Rager*River Crocolisk*Kobold Geomancer*Core Hound*Darkscale Healer*Alarm-o-Bot*Argent Squire*Jungle Panther*Dark Iron Dwarf*Sunfury Protector*Tinkmaster Overspark*Defender of Argus*Loot Hoarder*Demolisher*Mountain Giant*Dire Wolf Alpha*Succubus*Shieldbearer*Raging Worgen*Raging Worgen*Grimscale Oracle*Murloc Tidecaller*Nat Pagle*Alexstrasza*Dalaran Mage*Cult Master*Bloodsail Corsair*Master Swordsmith
28,-1,155,1835,4606613,8770000,1061573,3185860,3851767,1170467,55306,4720,104,4448888,27,3,155,55306,Shadow Bolt*Raid Leader*Ironforge Rifleman*Gnomish Inventor*Stormpike Commando*Silver Hand Knight*Sen'jin Shieldmasta*Injured Blademaster*Boulderfist Ogre*Worgen Infiltrator*Dragonling Mechanic*Stranglethorn Tiger*Youthful Brewmaster*Sunfury Protector*Acidic Swamp Ooze*Arcane Golem*Abomination*Emperor Cobra*Succubus*Siphon Soul*Flame Imp*Mogu'shan Warden*Shieldbearer*Sea Giant*Mana Wraith*Sacrificial Pact*Knife Juggler*Millhouse Manastorm*Gruul*Flesheating Ghoul
34,-1,156,2337,5239734,8280000,1047101,3045893,3327294,1201690,69395,5040,95,6138888,30,0,156,69395,Blood Imp*Voidwalker*River Crocolisk*Injured Blademaster*Chillwind Yeti*Booty Bay Bodyguard*Abusive Sergeant*Abusive Sergeant*Razorfen Hunter*Stormwind Champion*Stormwind Champion*Venture Co. Mercenary*Wisp*Wisp*Young Priestess*Jungle Panther*Shattered Sun Cleric*Scarlet Crusader*Stranglethorn Tiger*Ancient Brewmaster*Sunfury Protector*Acidic Swamp Ooze*Pint-Sized Summoner*Defender of Argus*Lorewalker Cho*Mountain Giant*Dire Wolf Alpha*Felguard*Illidan Stormrage*Hungry Crab
250,0,168,2397,5328717,8305000,1049969,3098133,3371462,1381697,61065,6680,117,8756666,29,1,168,61065,Corruption*Dread Infernal*Wolfrider*Silverback Patriarch*Stormwind Knight*Murloc Raider*Bloodfen Raptor*Bluegill Warrior*Stormwind Champion*Young Priestess*Voodoo Doctor*Thrallmar Farseer*Defender of Argus*Gadgetzan Auctioneer*Coldlight Seer*Mountain Giant*Mountain Giant*Dire Wolf Alpha*Void Terror*Doomguard*Flame Imp*Amani Berserker*Mogu'shan Warden*Murloc Tidecaller*Malygos*Illidan Stormrage*Bloodsail Raider*Wild Pyromancer*Hogger*Flesheating Ghoul
510,34,160,2477,5285368,8270000,1042321,3214026,3370012,1167472,66400,5360,102,6639999,30,0,160,66400,Blood Imp*Voidwalker*River Crocolisk*Injured Blademaster*Chillwind Yeti*Booty Bay Bodyguard*Abusive Sergeant*Abusive Sergeant*Razorfen Hunter*Stormwind Champion*Stormwind Champion*Frostwolf Warlord*Venture Co. Mercenary*Wisp*Young Priestess*Jungle Panther*Shattered Sun Cleric*Scarlet Crusader*Ancient Brewmaster*Sunfury Protector*Acidic Swamp Ooze*Pint-Sized Summoner*Defender of Argus*Mountain Giant*Dire Wolf Alpha*Felguard*Illidan Stormrage*Hungry Crab*Hungry Crab*Gruul
555,34,164,2540,5204154,8425000,1051632,2826706,3329376,1286646,67697,5140,93,5756666,30,0,164,67697,Blood Imp*Voidwalker*River Crocolisk*Injured Blademaster*Chillwind Yeti*Booty Bay Bodyguard*Abusive Sergeant*Abusive Sergeant*Razorfen Hunter*Stormwind Champion*Venture Co. Mercenary*Wisp*Wisp*Young Priestess*Jungle Panther*Shattered Sun Cleric*Scarlet Crusader*Stranglethorn Tiger*Ancient Brewmaster*Sunfury Protector*Acidic Swamp Ooze*Pint-Sized Summoner*Defender of Argus*Abomination*Lorewalker Cho*Mountain Giant*Dire Wolf Alpha*Felguard*Illidan Stormrage*Hungry Crab
556,34,168,2568,5386038,8380000,1065035,2838902,3318019,1235083,68249,5140,97,6245555,30,0,168,68249,Blood Imp*Voidwalker*River Crocolisk*Injured Blademaster*Chillwind Yeti*Booty Bay Bodyguard*Abusive Sergeant*Abusive Sergeant*Razorfen Hunter*Stormwind Champion*Stormwind Champion*Venture Co. Mercenary*Wisp*Wisp*Young Priestess*Jungle Panther*Scarlet Crusader*Stranglethorn Tiger*Ancient Brewmaster*Sunfury Protector*Acidic Swamp Ooze*Pint-Sized Summoner*Defender of Argus*Lorewalker Cho*Mountain Giant*Dire Wolf Alpha*Felguard*Doomguard*Illidan Stormrage*Hungry Crab
571,34,165,2738,5447834,8195000,1061012,2634533,3395973,1133007,71233,6140,85,3472222,30,0,165,71233,Voidwalker*River Crocolisk*Stonetusk Boar*Injured Blademaster*Chillwind Yeti*Booty Bay Bodyguard*Abusive Sergeant*Abusive Sergeant*Razorfen Hunter*Stormwind Champion*Stormwind Champion*Wisp*Wisp*Young Priestess*Jungle Panther*Jungle Panther*Shattered Sun Cleric*Scarlet Crusader*Dark Iron Dwarf*Ancient Brewmaster*Sunfury Protector*Acidic Swamp Ooze*Pint-Sized Summoner*Lorewalker Cho*Cairne Bloodhoof*Dire Wolf Alpha*Felguard*Tauren Warrior*Illidan Stormrage*Hungry Crab
591,34,165,2791,5516964,8105000,1033312,3095003,3194324,1252313,66685,9400,95,4538888,30,0,165,66685,Blood Imp*Voidwalker*River Crocolisk*Injured Blademaster*Chillwind Yeti*War Golem*Abusive Sergeant*Abusive Sergeant*Razorfen Hunter*Stormwind Champion*Venture Co. Mercenary*Wisp*Young Priestess*Jungle Panther*Shattered Sun Cleric*Scarlet Crusader*Stranglethorn Tiger*Ancient Brewmaster*Sunfury Protector*Acidic Swamp Ooze*Pint-Sized Summoner*Defender of Argus*Lorewalker Cho*Dire Wolf Alpha*Felguard*Lord Jaraxxus*The Beast*Illidan Stormrage*Hungry Crab*Millhouse Manastorm
