Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,86,-745,4076034,8220000,1059610,3921532,4101581,691605,31950,7800,118,6728888,26,4,86,31950,Blessing of Might*Guardian of Kings*Consecration*Hammer of Wrath*Magma Rager*Frostwolf Grunt*Raid Leader*Southsea Deckhand*Bloodfen Raptor*Chillwind Yeti*Booty Bay Bodyguard*Frostwolf Warlord*The Black Knight*Acolyte of Pain*Sunwalker*Questing Adventurer*Ancient Watcher*Crazed Alchemist*Acidic Swamp Ooze*Gadgetzan Auctioneer*Mountain Giant*Repentance*Aldor Peacekeeper*Tauren Warrior*Nozdormu*Alexstrasza*Cult Master*Mana Wraith*Wild Pyromancer*Millhouse Manastorm
7,-1,87,-693,4306520,8205000,1005484,3544180,3959171,829372,33537,6960,114,6293333,27,3,87,33537,Blessing of Might*Magma Rager*Stormwind Knight*Kobold Geomancer*Archmage*Chillwind Yeti*Core Hound*Spiteful Smith*Lightwarden*Alarm-o-Bot*Voodoo Doctor*King Mukla*Questing Adventurer*Sunfury Protector*Acidic Swamp Ooze*Argent Commander*Secretkeeper*Mind Control Tech*Gadgetzan Auctioneer*Mountain Giant*Dire Wolf Alpha*Baron Geddon*Blessed Champion*Argent Protector*Tirion Fordring*Avenging Wrath*Tauren Warrior*Mana Wraith*Wild Pyromancer*Master Swordsmith
11,-1,94,-600,4327074,8255000,1015142,3717746,4067231,737734,31608,6740,106,3448888,25,5,94,31608,Blessing of Might*Blessing of Kings*Earthen Ring Farseer*Ironfur Grizzly*Silverback Patriarch*Silver Hand Knight*Stonetusk Boar*Injured Blademaster*Chillwind Yeti*War Golem*The Black Knight*Alarm-o-Bot*Thrallmar Farseer*Sunwalker*Questing Adventurer*Questing Adventurer*Mana Addict*Argent Commander*Pint-Sized Summoner*Tinkmaster Overspark*Divine Favor*Avenging Wrath*Murloc Tidecaller*Harvest Golem*Onyxia*Mana Wraith*Equality*Bloodsail Raider*Violet Teacher*Flesheating Ghoul
21,-1,93,-420,4067817,8110000,1086313,3601726,3921085,853267,35016,3540,102,5773333,23,6,93,35016,Blessing of Might*Blessing of Kings*Truesilver Champion*Magma Rager*Kobold Geomancer*Murloc Raider*Bluegill Warrior*War Golem*Abusive Sergeant*Reckless Rocketeer*Young Priestess*Acolyte of Pain*Worgen Infiltrator*Worgen Infiltrator*Stranglethorn Tiger*Sunwalker*Acidic Swamp Ooze*Noble Sacrifice*Baron Geddon*Lay on Hands*Humility*Avenging Wrath*Mogu'shan Warden*Raging Worgen*Murloc Tidehunter*Harvest Golem*Sea Giant*Bloodsail Raider*Knife Juggler*Flesheating Ghoul
38,-1,99,-199,4283792,8175000,1039143,3126605,4018960,746788,41695,7740,93,3223333,27,3,99,41695,Blessing of Might*Magma Rager*Ironfur Grizzly*Stormpike Commando*Ravenholdt Assassin*Murloc Raider*Ogre Magi*Ironbeak Owl*Spiteful Smith*Argent Squire*Worgen Infiltrator*Voodoo Doctor*Voodoo Doctor*Novice Engineer*Scarlet Crusader*Sunfury Protector*Secretkeeper*Tinkmaster Overspark*Mind Control Tech*Defender of Argus*Emperor Cobra*Humility*Avenging Wrath*Dalaran Mage*Nightblade*Illidan Stormrage*Knife Juggler*Faerie Dragon*Captain Greenskin*Hogger
101,0,106,-128,4253644,8575000,1059475,3993002,4167930,784256,31843,7800,120,6466666,26,4,106,31843,Blessing of Might*Guardian of Kings*Consecration*Hammer of Wrath*Magma Rager*Frostwolf Grunt*Raid Leader*Bloodfen Raptor*Chillwind Yeti*Booty Bay Bodyguard*Frostwolf Warlord*The Black Knight*Acolyte of Pain*Sunwalker*Questing Adventurer*Ancient Watcher*Crazed Alchemist*Acidic Swamp Ooze*Gadgetzan Auctioneer*Mountain Giant*Repentance*Aldor Peacekeeper*Tauren Warrior*Raging Worgen*Nozdormu*Alexstrasza*Cult Master*Mana Wraith*Wild Pyromancer*Millhouse Manastorm
217,0,112,56,4218214,8455000,1066232,3824364,4201064,688941,32071,7940,110,4088888,26,3,112,32071,Consecration*Hammer of Wrath*Magma Rager*Frostwolf Grunt*Raid Leader*Bloodfen Raptor*Chillwind Yeti*Booty Bay Bodyguard*Frostwolf Warlord*The Black Knight*Acolyte of Pain*Worgen Infiltrator*Sunwalker*Sunwalker*Questing Adventurer*Ancient Watcher*Crazed Alchemist*Acidic Swamp Ooze*Gadgetzan Auctioneer*Sword of Justice*Repentance*Aldor Peacekeeper*Tauren Warrior*Raging Worgen*Nozdormu*Alexstrasza*Cult Master*Mana Wraith*Wild Pyromancer*Millhouse Manastorm
236,0,117,152,4042637,8795000,1068789,3989766,4262649,761227,34332,7800,120,6600000,25,5,117,34332,Blessing of Might*Guardian of Kings*Consecration*Consecration*Hammer of Wrath*Magma Rager*Raid Leader*Southsea Deckhand*Bloodfen Raptor*Chillwind Yeti*Booty Bay Bodyguard*Frostwolf Warlord*The Black Knight*Acolyte of Pain*Sunwalker*Questing Adventurer*Ancient Watcher*Acidic Swamp Ooze*Gadgetzan Auctioneer*Mountain Giant*Repentance*Aldor Peacekeeper*Tauren Warrior*Nozdormu*Alexstrasza*Cult Master*Mana Wraith*Wild Pyromancer*Millhouse Manastorm*Master Swordsmith
581,38,110,176,4375384,8125000,1037538,2904615,3895384,843692,46918,6280,87,3090000,27,3,110,46918,Blessing of Might*Magma Rager*Ironfur Grizzly*Ravenholdt Assassin*Murloc Raider*Abusive Sergeant*Ogre Magi*Ironbeak Owl*Spiteful Smith*Argent Squire*Worgen Infiltrator*Voodoo Doctor*Voodoo Doctor*Novice Engineer*Scarlet Crusader*Sunfury Protector*Secretkeeper*Tinkmaster Overspark*Mind Control Tech*Defender of Argus*Emperor Cobra*Emperor Cobra*Humility*Avenging Wrath*Dalaran Mage*Nightblade*Illidan Stormrage*Knife Juggler*Faerie Dragon*Hogger
586,38,109,198,4225360,8320000,1040865,3056490,4055288,737379,41266,6200,90,3133333,27,3,109,41266,Blessing of Might*Magma Rager*Ironfur Grizzly*Stormpike Commando*Ravenholdt Assassin*Murloc Raider*Elven Archer*Ogre Magi*Ironbeak Owl*Argent Squire*Voodoo Doctor*Voodoo Doctor*Novice Engineer*Scarlet Crusader*Scarlet Crusader*Sunfury Protector*Secretkeeper*Mind Control Tech*Defender of Argus*Emperor Cobra*Humility*Avenging Wrath*Dalaran Mage*Nightblade*Illidan Stormrage*Mana Wraith*Knife Juggler*Faerie Dragon*Captain Greenskin*Hogger
680,236,114,224,4165121,8630000,1063151,3825608,4234067,729432,33777,6200,114,5760000,25,5,114,33777,Blessing of Might*Guardian of Kings*Consecration*Consecration*Hammer of Wrath*Magma Rager*Raid Leader*Southsea Deckhand*Bloodfen Raptor*Chillwind Yeti*Booty Bay Bodyguard*Razorfen Hunter*Frostwolf Warlord*The Black Knight*Acolyte of Pain*Sunwalker*Questing Adventurer*Ancient Watcher*Acidic Swamp Ooze*Gadgetzan Auctioneer*Mountain Giant*Repentance*Aldor Peacekeeper*Tauren Warrior*Alexstrasza*Cult Master*Mana Wraith*Wild Pyromancer*Millhouse Manastorm*Master Swordsmith
685,236,115,371,4230457,8635000,1038795,3880138,4163867,795599,37299,7800,122,7062222,25,5,115,37299,Blessing of Might*Consecration*Consecration*Hammer of Wrath*Magma Rager*Raid Leader*Southsea Deckhand*Bloodfen Raptor*Chillwind Yeti*War Golem*Booty Bay Bodyguard*Stormwind Champion*The Black Knight*Acolyte of Pain*Argent Squire*Sunwalker*Questing Adventurer*Ancient Watcher*Acidic Swamp Ooze*Gadgetzan Auctioneer*Mountain Giant*Repentance*Aldor Peacekeeper*Tauren Warrior*Nozdormu*Alexstrasza*Mana Wraith*Millhouse Manastorm*Master Swordsmith*Stampeding Kodo
