Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,33,-3032,3001278,7820000,1054987,4219948,3591432,955882,17317,6420,121,5232222,28,2,33,17317,Hellfire*Oasis Snapjaw*Oasis Snapjaw*Frostwolf Grunt*Gnomish Inventor*Stonetusk Boar*Abusive Sergeant*Boulderfist Ogre*Stormwind Champion*Stormwind Champion*Venture Co. Mercenary*Venture Co. Mercenary*King Mukla*Dragonling Mechanic*Leper Gnome*Pint-Sized Summoner*Abomination*Mountain Giant*Leeroy Jenkins*Baron Geddon*Void Terror*Void Terror*Sense Demons*Mogu'shan Warden*Gurubashi Berserker*Nightblade*Cult Master*Mana Wraith*Hungry Crab*Faerie Dragon
1,-1,75,-1560,4043899,8770000,1082668,3712086,3877423,988597,23754,5680,126,5160000,27,3,75,23754,Fen Creeper*Shadow Bolt*Blood Imp*Dread Infernal*Oasis Snapjaw*Kobold Geomancer*Boulderfist Ogre*Stormwind Champion*Big Game Hunter*Acolyte of Pain*Questing Adventurer*Dark Iron Dwarf*Ancient Brewmaster*Acidic Swamp Ooze*Argent Commander*Mind Control Tech*Gadgetzan Auctioneer*Felguard*Void Terror*Soulfire*Siphon Soul*Doomguard*Nat Pagle*Priestess of Elune*Sea Giant*Mana Wraith*Wild Pyromancer*Doomsayer*Dread Corsair*Deathwing
9,-1,81,-940,4253035,7825000,1043450,2968690,3515654,1047923,33396,3980,96,4760000,29,1,81,33396,Goldshire Footman*Voidwalker*Magma Rager*Raid Leader*Wolfrider*Injured Blademaster*Booty Bay Bodyguard*Abusive Sergeant*Ironbeak Owl*Stormwind Champion*Frostwolf Warlord*Darkscale Healer*Argent Squire*Worgen Infiltrator*Voodoo Doctor*Sunfury Protector*Emperor Cobra*Succubus*Flame Imp*Murloc Warleader*Priestess of Elune*Sea Giant*Blood Knight*Nightblade*Illidan Stormrage*Sacrificial Pact*Faerie Dragon*Southsea Captain*Master Swordsmith*Stampeding Kodo
36,-1,91,-1025,4334891,8555000,1052016,2857393,3859731,1072472,33907,1320,98,3462222,29,1,91,33907,Goldshire Footman*Blood Imp*Earthen Ring Farseer*Ironfur Grizzly*Stormwind Knight*Stormwind Knight*Ravenholdt Assassin*Stonetusk Boar*Bluegill Warrior*Razorfen Hunter*Core Hound*Spiteful Smith*Darkscale Healer*Lightwarden*Worgen Infiltrator*Windfury Harpy*Questing Adventurer*Mana Addict*Sunfury Protector*Acidic Swamp Ooze*Argent Commander*Defender of Argus*Abomination*Emperor Cobra*Void Terror*Soulfire*Raging Worgen*Grimscale Oracle*Harvest Golem*Priestess of Elune
62,-1,94,-591,4825200,8095000,1119827,1804817,3392217,1072884,48187,6820,73,1845555,29,1,94,48187,Blood Imp*Kobold Geomancer*Young Dragonhawk*Injured Blademaster*Chillwind Yeti*Angry Chicken*Jungle Panther*Stranglethorn Tiger*Questing Adventurer*Youthful Brewmaster*Sunfury Protector*Crazed Alchemist*Argent Commander*Pint-Sized Summoner*Secretkeeper*Secretkeeper*Tinkmaster Overspark*Loot Hoarder*Lorewalker Cho*Demolisher*Coldlight Seer*Felguard*Succubus*Soulfire*Tauren Warrior*Grimscale Oracle*The Beast*Hungry Crab*Wild Pyromancer*Faerie Dragon
96,-1,107,-113,4412885,8925000,1099159,3238095,4107563,982072,37611,6440,95,2738888,28,2,107,37611,Fen Creeper*Drain Life*Silverback Patriarch*Stormwind Knight*Kobold Geomancer*Abusive Sergeant*Abusive Sergeant*Stormwind Champion*The Black Knight*Acolyte of Pain*King Mukla*Sunwalker*Dark Iron Dwarf*Ancient Brewmaster*Sunfury Protector*Secretkeeper*Loot Hoarder*Emperor Cobra*Mortal Coil*Mogu'shan Warden*Gurubashi Berserker*Raging Worgen*Harvest Golem*The Beast*Cult Master*Wild Pyromancer*Doomsayer*Bloodsail Corsair*Master Swordsmith*Master Swordsmith
586,96,108,-91,4611435,8570000,1063593,3075845,3896149,1023337,38809,6460,95,2738888,28,2,108,38809,Fen Creeper*Drain Life*Oasis Snapjaw*Silverback Patriarch*Stormwind Knight*Kobold Geomancer*Abusive Sergeant*Abusive Sergeant*Stormwind Champion*The Black Knight*King Mukla*Sunwalker*Questing Adventurer*Dark Iron Dwarf*Ancient Brewmaster*Sunfury Protector*Secretkeeper*Loot Hoarder*Emperor Cobra*Mortal Coil*Mogu'shan Warden*Gurubashi Berserker*Raging Worgen*Harvest Golem*The Beast*Wild Pyromancer*Doomsayer*Bloodsail Corsair*Master Swordsmith*Master Swordsmith
909,96,118,203,4579614,9075000,1103581,3166391,4150413,1002754,37632,8060,99,3876666,28,2,118,37632,Fen Creeper*Drain Life*Silverback Patriarch*Stormwind Knight*Kobold Geomancer*Abusive Sergeant*Abusive Sergeant*Stormwind Champion*The Black Knight*Acolyte of Pain*King Mukla*Sunwalker*Dark Iron Dwarf*Sunfury Protector*Sunfury Protector*Secretkeeper*Loot Hoarder*Emperor Cobra*Mortal Coil*Mogu'shan Warden*Gurubashi Berserker*Raging Worgen*Onyxia*The Beast*Cult Master*Wild Pyromancer*Doomsayer*Bloodsail Corsair*Master Swordsmith*Master Swordsmith
1016,96,121,1,4398944,9475000,1105540,3330343,4232717,1121899,36859,8060,104,3648888,28,2,121,36859,Fen Creeper*Silverback Patriarch*Silverback Patriarch*Stormwind Knight*Kobold Geomancer*Abusive Sergeant*Stormwind Champion*The Black Knight*Acolyte of Pain*King Mukla*Sunwalker*Dark Iron Dwarf*Ancient Brewmaster*Sunfury Protector*Secretkeeper*Loot Hoarder*Emperor Cobra*Mortal Coil*Shadowflame*Lord Jaraxxus*Mogu'shan Warden*Gurubashi Berserker*Harvest Golem*The Beast*Cult Master*Wild Pyromancer*Doomsayer*Bloodsail Corsair*Master Swordsmith*Master Swordsmith
1434,873,125,608,4940151,8605000,1091226,2845438,3876815,1039511,39710,6340,95,3672222,28,2,125,39710,Fen Creeper*Drain Life*River Crocolisk*Stormwind Knight*Kobold Geomancer*Abusive Sergeant*Abusive Sergeant*Stormwind Champion*Acolyte of Pain*King Mukla*Leper Gnome*Sunwalker*Dark Iron Dwarf*Spellbreaker*Ancient Brewmaster*Sunfury Protector*Secretkeeper*Loot Hoarder*Emperor Cobra*Mortal Coil*Succubus*Gurubashi Berserker*Raging Worgen*Harvest Golem*Alexstrasza*The Beast*Wild Pyromancer*Doomsayer*Master Swordsmith*Master Swordsmith
