Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,14,-3019,853619,6285000,1007159,5057279,3043754,687350,-76045,5420,111,4410000,21,7,14,-76045,Hunter's Mark*Oasis Snapjaw*Ravenholdt Assassin*Lord of the Arena*Stonetusk Boar*War Golem*Ironbeak Owl*Ironbeak Owl*Reckless Rocketeer*Frostwolf Warlord*Timber Wolf*Arcane Shot*Dark Iron Dwarf*Loot Hoarder*Frost Elemental*Eaglehorn Bow*Eaglehorn Bow*Explosive Shot*Explosive Shot*Flare*Bestial Wrath*Nightblade*Deadly Shot*Hungry Crab*Doomsayer*Faerie Dragon*Faerie Dragon*Captain Greenskin*Hogger*Stampeding Kodo
3,-1,14,-2994,1003940,6345000,999211,4989755,3351457,460204,-116814,5040,105,3450000,24,4,14,-116814,Oasis Snapjaw*Stormwind Knight*Kobold Geomancer*Boulderfist Ogre*Reckless Rocketeer*Venture Co. Mercenary*Tracking*Big Game Hunter*Angry Chicken*Voodoo Doctor*Windfury Harpy*Twilight Drake*Questing Adventurer*Ancient Brewmaster*Crazed Alchemist*Emperor Cobra*Eaglehorn Bow*Eaglehorn Bow*Kill Command*Malygos*Ancient Mage*Nightblade*Snipe*Illidan Stormrage*Mana Wraith*Deadly Shot*Knife Juggler*Bloodsail Corsair*Master Swordsmith*Flesheating Ghoul
8,-1,28,-2293,1897233,6325000,1000000,4518577,3266403,522529,38760,7680,93,2690000,23,7,28,38760,Fen Creeper*Hunter's Mark*Wolfrider*Ironfur Grizzly*Murloc Raider*Young Dragonhawk*Bloodfen Raptor*Bluegill Warrior*Ogre Magi*Lightwarden*Angry Chicken*Jungle Panther*Scarlet Crusader*Stranglethorn Tiger*Argent Commander*Tinkmaster Overspark*Arcane Golem*Leeroy Jenkins*Dire Wolf Alpha*Baron Geddon*Gurubashi Berserker*Grimscale Oracle*Misdirection*Kill Command*Kill Command*Snake Trap*Ancient Mage*Deadly Shot*Animal Companion*Hogger
98,-1,34,-2195,2067809,6710000,1007451,4670640,3441877,540983,-12004,9460,107,5512222,26,3,34,-12004,Booty Bay Bodyguard*Abusive Sergeant*Starving Buzzard*Gladiator's Longbow*Lightwarden*Angry Chicken*Leper Gnome*Dark Iron Dwarf*Dark Iron Dwarf*Sunfury Protector*Crazed Alchemist*Argent Commander*Pint-Sized Summoner*Mind Control Tech*Defender of Argus*Leeroy Jenkins*Baron Geddon*Tauren Warrior*Amani Berserker*Unleash the Hounds*Unleash the Hounds*Flare*Malygos*Ysera*Priestess of Elune*Hungry Crab*Hungry Crab*Doomsayer*Bloodsail Corsair*Stampeding Kodo
531,8,35,-2162,1907801,6345000,1000000,4407407,3253743,507486,66297,7620,93,2690000,24,6,35,66297,Fen Creeper*Hunter's Mark*Wolfrider*Ironfur Grizzly*Murloc Raider*Young Dragonhawk*Bloodfen Raptor*Bluegill Warrior*Ogre Magi*Lightwarden*Angry Chicken*Jungle Panther*Scarlet Crusader*Stranglethorn Tiger*Argent Commander*Tinkmaster Overspark*Arcane Golem*Leeroy Jenkins*Dire Wolf Alpha*Dire Wolf Alpha*Baron Geddon*Gurubashi Berserker*Grimscale Oracle*Kill Command*Kill Command*Snake Trap*Ancient Mage*Deadly Shot*Animal Companion*Hogger
540,8,36,-2092,1867647,6460000,1000000,4455108,3327399,503095,66131,7740,90,2600000,23,7,36,66131,Fen Creeper*Hunter's Mark*Wolfrider*Ironfur Grizzly*Murloc Raider*Young Dragonhawk*Bloodfen Raptor*Bluegill Warrior*Ogre Magi*Lightwarden*Angry Chicken*Jungle Panther*Scarlet Crusader*Argent Commander*Tinkmaster Overspark*Arcane Golem*Leeroy Jenkins*Dire Wolf Alpha*Baron Geddon*Gurubashi Berserker*Grimscale Oracle*Misdirection*Kill Command*Kill Command*Snake Trap*Ancient Mage*Mana Wraith*Deadly Shot*Animal Companion*Hogger
578,8,38,-1931,2079938,6505000,1000000,4181398,3378939,489623,106046,7680,87,2690000,23,7,38,106046,Hunter's Mark*Wolfrider*Ironfur Grizzly*Murloc Raider*Young Dragonhawk*Bloodfen Raptor*Bluegill Warrior*Ogre Magi*Lightwarden*Angry Chicken*Angry Chicken*Jungle Panther*Scarlet Crusader*Stranglethorn Tiger*Argent Commander*Tinkmaster Overspark*Arcane Golem*Leeroy Jenkins*Dire Wolf Alpha*Dire Wolf Alpha*Baron Geddon*Gurubashi Berserker*Grimscale Oracle*Misdirection*Kill Command*Kill Command*Snake Trap*Deadly Shot*Animal Companion*Hogger
995,525,38,-1926,1895975,6585000,1000000,4303720,3351556,561123,65512,4420,90,2600000,22,8,38,65512,Fen Creeper*Hunter's Mark*Wolfrider*Ironfur Grizzly*Murloc Raider*Young Dragonhawk*Bloodfen Raptor*Bloodfen Raptor*Bluegill Warrior*Ogre Magi*Houndmaster*Lightwarden*Angry Chicken*Jungle Panther*Scarlet Crusader*Stranglethorn Tiger*Argent Commander*Arcane Golem*Dire Wolf Alpha*Baron Geddon*Gurubashi Berserker*Grimscale Oracle*Misdirection*Unleash the Hounds*Kill Command*Kill Command*Snake Trap*Deadly Shot*Animal Companion*Hogger
1072,98,41,-1832,1971346,6980000,1012177,4371776,3613896,501432,27244,7900,101,5565555,26,3,41,27244,Goldshire Footman*Abusive Sergeant*Starving Buzzard*Gladiator's Longbow*Lightwarden*Angry Chicken*Leper Gnome*Dark Iron Dwarf*Dark Iron Dwarf*Sunfury Protector*Crazed Alchemist*Argent Commander*Pint-Sized Summoner*Mind Control Tech*Defender of Argus*Baron Geddon*Tauren Warrior*Amani Berserker*Unleash the Hounds*Unleash the Hounds*Flare*Harvest Golem*Malygos*Ysera*Priestess of Elune*Hungry Crab*Hungry Crab*Doomsayer*Bloodsail Corsair*Stampeding Kodo
1107,578,42,-1829,2110854,6495000,1000000,4133179,3391070,481139,89368,7780,88,2595555,24,6,42,89368,Wolfrider*Ironfur Grizzly*Murloc Raider*Young Dragonhawk*Bloodfen Raptor*Bluegill Warrior*Ogre Magi*Lightwarden*Angry Chicken*Angry Chicken*Jungle Panther*Scarlet Crusader*Stranglethorn Tiger*Argent Commander*Tinkmaster Overspark*Arcane Golem*Leeroy Jenkins*Dire Wolf Alpha*Dire Wolf Alpha*Baron Geddon*Gurubashi Berserker*Grimscale Oracle*Misdirection*Kill Command*Kill Command*Snake Trap*Deadly Shot*Wild Pyromancer*Animal Companion*Hogger
1108,578,39,-1817,2118881,6435000,1000000,4020979,3358197,463869,127253,9380,93,4356666,24,6,39,127253,Wolfrider*Ironfur Grizzly*Murloc Raider*Young Dragonhawk*Bloodfen Raptor*Bluegill Warrior*Ogre Magi*Lightwarden*Argent Squire*Angry Chicken*Angry Chicken*Jungle Panther*Scarlet Crusader*Argent Commander*Tinkmaster Overspark*Arcane Golem*Leeroy Jenkins*Dire Wolf Alpha*Dire Wolf Alpha*Baron Geddon*Grimscale Oracle*Misdirection*Savannah Highmane*Kill Command*Kill Command*Snake Trap*Deadly Shot*Deathwing*Animal Companion*Hogger
1373,578,40,-1800,2131960,6555000,1000000,4282990,3376811,520213,116905,7640,89,2698888,23,7,40,116905,Hunter's Mark*Wolfrider*Ironfur Grizzly*Stormwind Knight*Murloc Raider*Young Dragonhawk*Bloodfen Raptor*Bluegill Warrior*Ogre Magi*Lightwarden*Angry Chicken*Angry Chicken*Jungle Panther*Scarlet Crusader*Stranglethorn Tiger*Argent Commander*Tinkmaster Overspark*Arcane Golem*Leeroy Jenkins*Dire Wolf Alpha*Baron Geddon*Gurubashi Berserker*Grimscale Oracle*Misdirection*Kill Command*Kill Command*Snake Trap*Deadly Shot*Animal Companion*Hogger
1414,578,52,-1684,1976923,6500000,998461,4027692,3423076,496153,125972,8000,82,2728888,22,8,52,125972,Hunter's Mark*Wolfrider*Ironfur Grizzly*Murloc Raider*Murloc Raider*Young Dragonhawk*Bloodfen Raptor*Ogre Magi*Tracking*Lightwarden*Angry Chicken*Angry Chicken*Scarlet Crusader*Argent Commander*Tinkmaster Overspark*Arcane Golem*Leeroy Jenkins*Dire Wolf Alpha*Dire Wolf Alpha*Baron Geddon*Gurubashi Berserker*Murloc Warleader*Grimscale Oracle*Misdirection*Kill Command*Kill Command*Snake Trap*Deadly Shot*Animal Companion*Hogger
2096,1414,43,-1660,2057926,6560000,999237,4111280,3452743,564786,123920,7980,79,2765555,22,8,43,123920,Hunter's Mark*Wolfrider*Ironfur Grizzly*Murloc Raider*Murloc Raider*Young Dragonhawk*Bloodfen Raptor*Tracking*Lightwarden*Angry Chicken*Scarlet Crusader*Argent Commander*Tinkmaster Overspark*Arcane Golem*Leeroy Jenkins*Dire Wolf Alpha*Dire Wolf Alpha*Baron Geddon*Gurubashi Berserker*Shieldbearer*Shieldbearer*Murloc Warleader*Grimscale Oracle*Misdirection*Kill Command*Kill Command*Snake Trap*Deadly Shot*Animal Companion*Hogger
2237,1664,40,-1624,2202453,6520000,1023773,4033742,3422546,439417,141017,7540,81,2476666,25,5,40,141017,River Crocolisk*Wolfrider*Silverback Patriarch*Murloc Raider*Young Dragonhawk*Bluegill Warrior*Ogre Magi*Houndmaster*Tundra Rhino*Argent Squire*Angry Chicken*Angry Chicken*Voodoo Doctor*Novice Engineer*Jungle Panther*Argent Commander*Tinkmaster Overspark*Lorewalker Cho*Leeroy Jenkins*Dire Wolf Alpha*Dire Wolf Alpha*Shieldbearer*Grimscale Oracle*Misdirection*Savannah Highmane*Kill Command*Kill Command*Snake Trap*Animal Companion*Hogger
2603,2096,49,-1533,2260568,6505000,1000000,4030745,3388162,552651,182619,7980,76,2582222,22,8,49,182619,Hunter's Mark*Wolfrider*Ironfur Grizzly*Murloc Raider*Murloc Raider*Young Dragonhawk*Bloodfen Raptor*Bluegill Warrior*Tracking*Lightwarden*Angry Chicken*Scarlet Crusader*Argent Commander*Tinkmaster Overspark*Arcane Golem*Leeroy Jenkins*Dire Wolf Alpha*Dire Wolf Alpha*Baron Geddon*Shieldbearer*Shieldbearer*Murloc Warleader*Grimscale Oracle*Misdirection*Kill Command*Kill Command*Snake Trap*Deadly Shot*Animal Companion*Hogger
2676,1592,50,-1485,2426373,6825000,1001465,4016849,3506959,534065,128887,9420,96,5360000,27,2,50,128887,Wolfrider*Southsea Deckhand*Abusive Sergeant*Starving Buzzard*Gladiator's Longbow*Lightwarden*Angry Chicken*Leper Gnome*Dark Iron Dwarf*Sunfury Protector*Argent Commander*Pint-Sized Summoner*Secretkeeper*Defender of Argus*Coldlight Seer*Leeroy Jenkins*Tauren Warrior*Amani Berserker*Unleash the Hounds*Nat Pagle*Malygos*Ysera*Priestess of Elune*Hungry Crab*Hungry Crab*Wild Pyromancer*Doomsayer*Bloodsail Corsair*Animal Companion*Stampeding Kodo
2758,1702,47,-1474,2327692,6500000,1000000,3982307,3373846,484615,157350,7740,91,4165555,25,5,47,157350,Wolfrider*Ironfur Grizzly*Murloc Raider*Young Dragonhawk*Bloodfen Raptor*Bluegill Warrior*Ogre Magi*Tundra Rhino*Lightwarden*Argent Squire*Angry Chicken*Angry Chicken*Scarlet Crusader*Ancient Watcher*Argent Commander*Tinkmaster Overspark*Leeroy Jenkins*Dire Wolf Alpha*Dire Wolf Alpha*Murloc Tidehunter*Grimscale Oracle*Misdirection*Savannah Highmane*Kill Command*Snake Trap*Nightblade*Deadly Shot*Deathwing*Animal Companion*Hogger
2827,2329,45,-1468,2548069,6605000,1002271,3962149,3401211,552611,165592,9380,95,5605555,24,6,45,165592,Frostwolf Grunt*Wolfrider*Murloc Raider*Young Dragonhawk*Bloodfen Raptor*Bluegill Warrior*Bluegill Warrior*Lightwarden*Acolyte of Pain*Argent Squire*Angry Chicken*Angry Chicken*Scarlet Crusader*Ancient Watcher*Argent Commander*Leeroy Jenkins*Dire Wolf Alpha*Dire Wolf Alpha*Baron Geddon*Grimscale Oracle*Misdirection*Savannah Highmane*Kill Command*Snake Trap*Malygos*Deadly Shot*Deathwing*Animal Companion*Animal Companion*Hogger
2873,2237,52,-1411,2356101,6515000,1020721,3991557,3344589,536454,169056,9100,85,3805555,25,5,52,169056,River Crocolisk*Wolfrider*Silverback Patriarch*Murloc Raider*Young Dragonhawk*Stonetusk Boar*Bluegill Warrior*Ogre Magi*Tundra Rhino*Argent Squire*Angry Chicken*Angry Chicken*Voodoo Doctor*Novice Engineer*Jungle Panther*Argent Commander*Tinkmaster Overspark*Lorewalker Cho*Leeroy Jenkins*Dire Wolf Alpha*Shieldbearer*Grimscale Oracle*Misdirection*Savannah Highmane*Kill Command*Kill Command*Snake Trap*Malygos*Animal Companion*Hogger
