Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,46,-2002,2710320,7025000,1098932,4875444,3666903,525266,-94025,8660,118,3062222,25,5,46,-94025,Goldshire Footman*Fen Creeper*Guardian of Kings*Hammer of Wrath*Hammer of Wrath*Earthen Ring Farseer*Stormwind Knight*Southsea Deckhand*Ravenholdt Assassin*Injured Blademaster*Spiteful Smith*Darkscale Healer*Young Priestess*Alarm-o-Bot*Spellbreaker*Mana Addict*Ancient Brewmaster*Leeroy Jenkins*Divine Favor*Avenging Wrath*Avenging Wrath*Tauren Warrior*Nat Pagle*Nightblade*Bloodsail Raider*Doomsayer*Violet Teacher*Millhouse Manastorm*Gruul*Flesheating Ghoul
1,-1,54,-2133,3253090,6875000,1051636,4491636,3386181,691636,-152535,3660,125,7072222,26,4,54,-152535,Blessing of Might*Hammer of Wrath*Magma Rager*Wolfrider*Stormpike Commando*Archmage*Spiteful Smith*Stormwind Champion*Venture Co. Mercenary*Venture Co. Mercenary*Alarm-o-Bot*Voodoo Doctor*Silvermoon Guardian*Sunwalker*Youthful Brewmaster*Sunfury Protector*Tinkmaster Overspark*Gadgetzan Auctioneer*Abomination*Coldlight Seer*Mountain Giant*Mountain Giant*Dire Wolf Alpha*Frost Elemental*Divine Favor*Murloc Tidehunter*Equality*Bloodsail Corsair*Flesheating Ghoul*Flesheating Ghoul
4,-1,57,-1629,3310218,6850000,1059854,4380291,3473722,556934,-66823,12360,127,7112222,29,1,57,-66823,Magma Rager*Frostwolf Grunt*Ironforge Rifleman*Ogre Magi*Ironbeak Owl*Stormwind Champion*Frostwolf Warlord*The Black Knight*Acolyte of Pain*Bloodmage Thalnos*Scarlet Crusader*Leper Gnome*Leper Gnome*Twilight Drake*Questing Adventurer*Ancient Brewmaster*Argent Commander*Lorewalker Cho*Mountain Giant*Holy Wrath*Tirion Fordring*Murloc Warleader*Nat Pagle*Nozdormu*Priestess of Elune*Sea Giant*Blood Knight*Bloodsail Raider*Bloodsail Raider*Southsea Captain
5,-1,73,-937,3629708,7035000,1000710,3609097,3528784,657427,-42670,4820,96,3426666,28,2,73,-42670,Oasis Snapjaw*Raid Leader*Raid Leader*Silverback Patriarch*Kobold Geomancer*Southsea Deckhand*Ravenholdt Assassin*Chillwind Yeti*War Golem*Abusive Sergeant*Stormwind Champion*Angry Chicken*Jungle Panther*Questing Adventurer*Sunfury Protector*Defender of Argus*Abomination*Demolisher*Eye for an Eye*Dire Wolf Alpha*Dire Wolf Alpha*Frost Elemental*Repentance*Gurubashi Berserker*Nat Pagle*Nightblade*Hungry Crab*Knife Juggler*Violet Teacher*Millhouse Manastorm
13,-1,83,-631,4221976,6780000,1002212,3697640,3359882,655604,32561,4860,104,5448888,27,2,83,32561,Light's Justice*Frostwolf Grunt*Frostwolf Grunt*Raid Leader*Murloc Raider*Chillwind Yeti*Boulderfist Ogre*Reckless Rocketeer*Spiteful Smith*Frostwolf Warlord*Argent Squire*Questing Adventurer*Questing Adventurer*Crazed Alchemist*Argent Commander*Secretkeeper*Arcane Golem*Demolisher*Mountain Giant*Noble Sacrifice*Dire Wolf Alpha*Emperor Cobra*Repentance*Harvest Golem*Priestess of Elune*Cult Master*Illidan Stormrage*Faerie Dragon*Millhouse Manastorm*Stampeding Kodo
18,-1,90,-358,3991003,7225000,1000000,3869896,3479584,775086,101272,4920,103,2912222,24,3,90,101272,Blessing of Might*Consecration*Truesilver Champion*Truesilver Champion*River Crocolisk*Silverback Patriarch*Southsea Deckhand*Ravenholdt Assassin*Young Dragonhawk*Injured Blademaster*Venture Co. Mercenary*Darkscale Healer*Shattered Sun Cleric*Shattered Sun Cleric*Scarlet Crusader*Stranglethorn Tiger*Windfury Harpy*Crazed Alchemist*Argent Commander*Secretkeeper*Secretkeeper*Demolisher*Blessed Champion*Sword of Justice*Aldor Peacekeeper*Tauren Warrior*Murloc Tidecaller*Illidan Stormrage*Dread Corsair*Captain Greenskin
40,-1,109,293,4340974,6980000,1044412,3315186,3359598,770773,200891,3960,95,3938888,25,4,109,200891,Goldshire Footman*Blessing of Might*Blessing of Kings*Consecration*Truesilver Champion*Ironfur Grizzly*Southsea Deckhand*Young Dragonhawk*Chillwind Yeti*Elven Archer*Boulderfist Ogre*Stormwind Champion*Wisp*Jungle Panther*Leper Gnome*Mana Addict*Ancient Brewmaster*Crazed Alchemist*Lay on Hands*Aldor Peacekeeper*Gurubashi Berserker*Murloc Tidehunter*Priestess of Elune*Blood Knight*Illidan Stormrage*Hungry Crab*Bloodsail Raider*Violet Teacher*Southsea Captain*Flesheating Ghoul
543,40,117,631,4545779,6990000,1055793,3121602,3301144,836194,259561,5420,91,3965555,25,4,117,259561,Goldshire Footman*Blessing of Might*Blessing of Kings*Consecration*Truesilver Champion*Ironfur Grizzly*Southsea Deckhand*Young Dragonhawk*Chillwind Yeti*Elven Archer*Boulderfist Ogre*Stormwind Champion*Wisp*Jungle Panther*Leper Gnome*Mana Addict*Crazed Alchemist*Acidic Swamp Ooze*Lay on Hands*Aldor Peacekeeper*Gurubashi Berserker*Murloc Tidehunter*Priestess of Elune*Blood Knight*Illidan Stormrage*Hungry Crab*Bloodsail Raider*Southsea Captain*Millhouse Manastorm*Flesheating Ghoul
548,40,119,693,4616147,7060000,1038243,3492917,3332152,827195,219033,4020,97,3778888,25,4,119,219033,Goldshire Footman*Blessing of Might*Blessing of Kings*Consecration*Truesilver Champion*Ironfur Grizzly*Southsea Deckhand*Young Dragonhawk*Chillwind Yeti*Elven Archer*Boulderfist Ogre*Stormwind Champion*Wisp*Jungle Panther*Mana Addict*Ancient Brewmaster*Crazed Alchemist*Emperor Cobra*Lay on Hands*Aldor Peacekeeper*Gurubashi Berserker*Murloc Tidehunter*Priestess of Elune*Blood Knight*Illidan Stormrage*Hungry Crab*Bloodsail Raider*Violet Teacher*Southsea Captain*Flesheating Ghoul
571,40,120,742,4613439,6920000,1051300,3250722,3248554,862716,253001,5760,91,3432222,25,4,120,253001,Goldshire Footman*Blessing of Might*Blessing of Kings*Consecration*Truesilver Champion*Southsea Deckhand*Young Dragonhawk*Chillwind Yeti*Elven Archer*Wisp*King Mukla*Jungle Panther*Leper Gnome*Mana Addict*Ancient Brewmaster*Crazed Alchemist*Mind Control Tech*Gadgetzan Auctioneer*Lay on Hands*Aldor Peacekeeper*Gurubashi Berserker*Murloc Tidehunter*Priestess of Elune*Blood Knight*Illidan Stormrage*Hungry Crab*Bloodsail Raider*Violet Teacher*Southsea Captain*Flesheating Ghoul
