Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,23,-3372,2828926,6430000,1003888,4379471,2736391,1075427,-341984,7900,125,6072222,29,1,23,-341984,Blood Imp*Blood Imp*River Crocolisk*Raid Leader*Southsea Deckhand*Archmage*Bluegill Warrior*War Golem*Reckless Rocketeer*Frostwolf Warlord*Venture Co. Mercenary*Argent Squire*Jungle Panther*Thrallmar Farseer*Silvermoon Guardian*Stranglethorn Tiger*Stranglethorn Tiger*Ancient Watcher*Mana Addict*Argent Commander*Gadgetzan Auctioneer*Lorewalker Cho*Siphon Soul*Alexstrasza*Dalaran Mage*Sea Giant*Bloodsail Corsair*Violet Teacher*Gruul*Hogger
1,-1,40,-2840,3011078,6770000,1009601,4290989,2937961,1056129,-305971,7300,119,4632222,30,0,40,-305971,Wolfrider*Silverback Patriarch*Ravenholdt Assassin*Ravenholdt Assassin*Lord of the Arena*Chillwind Yeti*Elven Archer*Boulderfist Ogre*Reckless Rocketeer*Spiteful Smith*Lightwarden*Big Game Hunter*Alarm-o-Bot*Voodoo Doctor*Bloodmage Thalnos*Scarlet Crusader*Silvermoon Guardian*Stranglethorn Tiger*Sunwalker*Sunwalker*Windfury Harpy*Questing Adventurer*Ancient Watcher*Sunfury Protector*Crazed Alchemist*Argent Commander*Nat Pagle*Malygos*Hungry Crab*Doomsayer
2,-1,41,-2531,2967153,6850000,1006569,4162773,3005109,1045985,-230523,6580,121,5965555,28,2,41,-230523,Corruption*Voidwalker*River Crocolisk*Ironfur Grizzly*Stormpike Commando*Archmage*Ravenholdt Assassin*War Golem*Booty Bay Bodyguard*Elven Archer*Core Hound*Reckless Rocketeer*Acolyte of Pain*Argent Squire*Scarlet Crusader*Silvermoon Guardian*Argent Commander*Argent Commander*Mind Control Tech*Demolisher*Leeroy Jenkins*Dire Wolf Alpha*Bane of Doom*Alexstrasza*Bloodsail Raider*Doomsayer*Bloodsail Corsair*Deathwing*Master Swordsmith*Flesheating Ghoul
3,-1,49,-2202,2974251,7185000,1005567,4335421,3209464,1014613,-293803,4540,113,2512222,28,2,49,-293803,Fen Creeper*Shadow Bolt*Dread Infernal*Dread Infernal*Oasis Snapjaw*Wolfrider*Ironforge Rifleman*Southsea Deckhand*Stormpike Commando*Bluegill Warrior*Boulderfist Ogre*Core Hound*Alarm-o-Bot*Jungle Panther*Stranglethorn Tiger*Ancient Watcher*Mind Control Tech*Defender of Argus*Shadowflame*Pit Lord*Flame Imp*Amani Berserker*Mogu'shan Warden*Murloc Tidehunter*The Beast*Cult Master*Dread Corsair*Faerie Dragon*Hogger*Flesheating Ghoul
9,-1,67,-1080,3907485,7080000,1023305,2850988,3094632,1100282,-7090,3000,93,2490000,28,2,67,-7090,Goldshire Footman*Fen Creeper*Blood Imp*Magma Rager*Bloodfen Raptor*Bloodfen Raptor*Chillwind Yeti*Abusive Sergeant*Elven Archer*Reckless Rocketeer*Venture Co. Mercenary*Big Game Hunter*Bloodmage Thalnos*Scarlet Crusader*Stranglethorn Tiger*Acidic Swamp Ooze*Pint-Sized Summoner*Loot Hoarder*Coldlight Seer*Shadowflame*Succubus*Soulfire*Doomguard*Doomguard*Murloc Tidehunter*Dalaran Mage*Priestess of Elune*Wild Pyromancer*Dread Corsair*Dread Corsair
18,-1,78,-927,3433783,7400000,1014864,3100000,3177702,1167567,19427,6080,107,5912222,26,4,78,19427,Shadow Bolt*Earthen Ring Farseer*Magma Rager*River Crocolisk*Ironfur Grizzly*Stormwind Knight*Murloc Raider*Young Dragonhawk*Stormwind Champion*Wisp*The Black Knight*Jungle Panther*Mana Addict*Ancient Brewmaster*Pint-Sized Summoner*Mountain Giant*Dire Wolf Alpha*Shadowflame*Shadowflame*Succubus*Soulfire*Tauren Warrior*Raging Worgen*Harvest Golem*Harrison Jones*Malygos*Nightblade*Bloodsail Raider*Dread Corsair*Faerie Dragon
86,-1,82,-790,3781339,7020000,1003561,3047720,3111823,1056980,81297,4860,93,4956666,29,1,82,81297,Blood Imp*Drain Life*Dread Infernal*Voidwalker*River Crocolisk*Stonetusk Boar*Bloodfen Raptor*Abusive Sergeant*Elven Archer*Boulderfist Ogre*Voodoo Doctor*Scarlet Crusader*Scarlet Crusader*Thrallmar Farseer*Thrallmar Farseer*Dark Iron Dwarf*Youthful Brewmaster*Mana Addict*Pint-Sized Summoner*Secretkeeper*Defender of Argus*Emperor Cobra*Shieldbearer*Ysera*Ancient Mage*Blood Knight*Knife Juggler*Violet Teacher*Deathwing*Stampeding Kodo
542,18,85,-779,3302246,7345000,1013614,2965282,3038121,1296119,35826,4580,103,6045555,26,4,85,35826,Shadow Bolt*Earthen Ring Farseer*Magma Rager*River Crocolisk*Ironfur Grizzly*Stormwind Knight*Murloc Raider*Young Dragonhawk*Stormwind Champion*Wisp*The Black Knight*Jungle Panther*Mana Addict*Ancient Brewmaster*Pint-Sized Summoner*Mountain Giant*Dire Wolf Alpha*Shadowflame*Shadowflame*Succubus*Soulfire*Tauren Warrior*Raging Worgen*Harvest Golem*Malygos*Nightblade*Bloodsail Raider*Dread Corsair*Faerie Dragon*Bloodsail Corsair
569,49,95,-153,3675247,7575000,1009900,3133333,3233663,1064686,141634,5760,101,6298888,28,2,95,141634,Goldshire Footman*River Crocolisk*River Crocolisk*Frostwolf Grunt*Southsea Deckhand*Stormpike Commando*Bloodfen Raptor*Bloodfen Raptor*Darkscale Healer*The Black Knight*Acolyte of Pain*King Mukla*Pint-Sized Summoner*Arcane Golem*Defender of Argus*Defender of Argus*Abomination*Mountain Giant*Felguard*Void Terror*Siphon Soul*Grimscale Oracle*Murloc Tidecaller*Sea Giant*Demonfire*Mana Wraith*Hungry Crab*Wild Pyromancer*Faerie Dragon*Violet Teacher
821,49,97,-87,3600513,7785000,1001284,3203596,3188182,1202312,121829,6080,103,6178888,28,2,97,121829,Goldshire Footman*River Crocolisk*River Crocolisk*Frostwolf Grunt*Southsea Deckhand*Stormpike Commando*Bloodfen Raptor*Bloodfen Raptor*Darkscale Healer*The Black Knight*King Mukla*Sunfury Protector*Acidic Swamp Ooze*Pint-Sized Summoner*Arcane Golem*Defender of Argus*Defender of Argus*Abomination*Mountain Giant*Felguard*Void Terror*Siphon Soul*Pit Lord*Grimscale Oracle*Sea Giant*Demonfire*Mana Wraith*Hungry Crab*Wild Pyromancer*Violet Teacher
