Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,59,-1917,3599737,7620000,1032808,4340551,3859580,587926,19389,11540,136,6315555,28,2,59,19389,Frostwolf Grunt*Ironfur Grizzly*Archmage*Ravenholdt Assassin*Chillwind Yeti*Razorfen Hunter*Reckless Rocketeer*Frostwolf Warlord*The Black Knight*Young Priestess*Big Game Hunter*Novice Engineer*Jungle Panther*Stranglethorn Tiger*Windfury Harpy*Sunfury Protector*Acidic Swamp Ooze*Leeroy Jenkins*Murloc Warleader*Scavenging Hyena*King Krush*Onyxia*Ancient Mage*Sea Giant*Freezing Trap*Illidan Stormrage*Bloodsail Raider*Bloodsail Corsair*Deathwing*Animal Companion
1,-1,77,-1064,3247384,8125000,1003076,3217846,3864000,822153,30823,3700,107,5845555,25,3,77,30823,Hunter's Mark*River Crocolisk*Kobold Geomancer*Southsea Deckhand*Ravenholdt Assassin*Bluegill Warrior*Boulderfist Ogre*Spiteful Smith*Stormwind Champion*Houndmaster*Tundra Rhino*Multi-Shot*Arcane Shot*Lightwarden*Big Game Hunter*Worgen Infiltrator*Voodoo Doctor*Sunfury Protector*Pint-Sized Summoner*Pint-Sized Summoner*Secretkeeper*Gadgetzan Auctioneer*Demolisher*Tauren Warrior*Eaglehorn Bow*Eaglehorn Bow*Malygos*Ancient Mage*Sea Giant*Dread Corsair
3,-1,84,-494,3711193,8085000,1002473,3549165,3994434,795299,30736,9160,102,4173333,27,3,84,30736,Goldshire Footman*Fen Creeper*Magma Rager*Wolfrider*Bluegill Warrior*Chillwind Yeti*War Golem*Abusive Sergeant*Spiteful Smith*Spiteful Smith*Venture Co. Mercenary*Multi-Shot*Tracking*Voodoo Doctor*Bloodmage Thalnos*Crazed Alchemist*Acidic Swamp Ooze*Tinkmaster Overspark*Defender of Argus*Dire Wolf Alpha*Emperor Cobra*Baron Geddon*Blood Knight*Nightblade*Freezing Trap*Mana Wraith*Dread Corsair*Faerie Dragon*Millhouse Manastorm*Deathwing
9,-1,87,-720,4197630,8020000,1041147,3497506,4001246,635910,28861,4300,103,3845555,28,2,87,28861,Frostwolf Grunt*Raid Leader*Ironfur Grizzly*Young Dragonhawk*Razorfen Hunter*Ogre Magi*Core Hound*Reckless Rocketeer*Spiteful Smith*Stormwind Champion*Venture Co. Mercenary*Darkscale Healer*Argent Squire*Novice Engineer*Stranglethorn Tiger*Leper Gnome*Questing Adventurer*Mana Addict*Crazed Alchemist*Acidic Swamp Ooze*Mind Control Tech*Dire Wolf Alpha*Scavenging Hyena*Flare*Malygos*Deadly Shot*Knife Juggler*Wild Pyromancer*Dread Corsair*Captain Greenskin
11,-1,97,-361,3890736,8420000,1012470,3350950,3981591,878859,30286,3440,105,5650000,27,3,97,30286,Hunter's Mark*River Crocolisk*Silverback Patriarch*Lord of the Arena*Ogre Magi*Boulderfist Ogre*Core Hound*Wisp*Multi-Shot*Acolyte of Pain*Angry Chicken*Jungle Panther*Thrallmar Farseer*Spellbreaker*Acidic Swamp Ooze*Demolisher*Coldlight Seer*Mountain Giant*Dire Wolf Alpha*Dire Wolf Alpha*Baron Geddon*Tauren Warrior*Amani Berserker*Amani Berserker*Murloc Tidehunter*Explosive Shot*Ancient Mage*Faerie Dragon*Southsea Captain*Master Swordsmith
14,-1,99,-247,3883681,8855000,1051383,3328627,4212309,817617,37545,5460,94,2382222,27,2,99,37545,Frostwolf Grunt*Lord of the Arena*Bloodfen Raptor*Sen'jin Shieldmasta*Chillwind Yeti*Booty Bay Bodyguard*Wisp*Tundra Rhino*Bloodmage Thalnos*Novice Engineer*Shattered Sun Cleric*Silvermoon Guardian*Stranglethorn Tiger*Stranglethorn Tiger*Questing Adventurer*Mind Control Tech*Defender of Argus*Loot Hoarder*Baron Geddon*Tauren Warrior*Amani Berserker*Eaglehorn Bow*Snake Trap*Harvest Golem*Deadly Shot*Hungry Crab*Wild Pyromancer*Doomsayer*Bloodsail Corsair*Violet Teacher
54,-1,101,-416,4196777,8690000,1037974,3483314,4267548,729574,34265,8540,98,1928888,27,3,101,34265,Goldshire Footman*Stormwind Knight*Silver Hand Knight*Stonetusk Boar*Sen'jin Shieldmasta*Chillwind Yeti*Spiteful Smith*Multi-Shot*The Black Knight*Young Priestess*Acolyte of Pain*Bloodmage Thalnos*Thrallmar Farseer*Argent Commander*Pint-Sized Summoner*Mind Control Tech*Loot Hoarder*Demolisher*Coldlight Seer*Emperor Cobra*Kill Command*Flare*Harrison Jones*The Beast*Blood Knight*Mana Wraith*Wild Pyromancer*Doomsayer*Dread Corsair*Master Swordsmith
68,-1,105,5,4203106,8370000,998805,3537037,4131421,686379,32781,4160,112,4195555,26,3,105,32781,Goldshire Footman*Fen Creeper*Oasis Snapjaw*Silverback Patriarch*Southsea Deckhand*Spiteful Smith*Stormwind Champion*Multi-Shot*Gladiator's Longbow*Argent Squire*Voodoo Doctor*Stranglethorn Tiger*Leper Gnome*Windfury Harpy*Twilight Drake*Questing Adventurer*Youthful Brewmaster*Ancient Brewmaster*Dire Wolf Alpha*Amani Berserker*Mogu'shan Warden*Raging Worgen*Murloc Warleader*Savannah Highmane*Explosive Shot*Kill Command*Harvest Golem*Onyxia*Southsea Captain*Southsea Captain
88,-1,119,1063,4963262,8030000,1046699,2775840,3688044,976338,46124,3200,78,1706666,26,4,119,46124,Hunter's Mark*Earthen Ring Farseer*Silverback Patriarch*Ravenholdt Assassin*Stonetusk Boar*Bloodfen Raptor*Injured Blademaster*Abusive Sergeant*Elven Archer*Darkscale Healer*Multi-Shot*Lightwarden*Novice Engineer*Jungle Panther*Scarlet Crusader*Mana Addict*Mind Control Tech*Loot Hoarder*Coldlight Seer*Dire Wolf Alpha*Murloc Tidehunter*Scavenging Hyena*Kill Command*Imp Master*Snipe*Knife Juggler*Faerie Dragon*Southsea Captain*Millhouse Manastorm*Flesheating Ghoul
708,68,126,717,4293263,8610000,998838,3506968,4207317,733449,39373,4040,112,3995555,24,5,126,39373,Goldshire Footman*Fen Creeper*Oasis Snapjaw*Silverback Patriarch*Southsea Deckhand*Stormpike Commando*Spiteful Smith*Stormwind Champion*Multi-Shot*Multi-Shot*Gladiator's Longbow*Argent Squire*Voodoo Doctor*Stranglethorn Tiger*Leper Gnome*Twilight Drake*Questing Adventurer*Ancient Brewmaster*Dire Wolf Alpha*Amani Berserker*Raging Worgen*Murloc Warleader*Savannah Highmane*Explosive Shot*Kill Command*Harvest Golem*Onyxia*Southsea Captain*Southsea Captain*Animal Companion
