Individual,Parent,WinCount,TotalHealthDifference,DamageDone,NumTurns,CardsDrawn,HandSize,ManaSpent,ManaWasted,StrategyAlignment,Dust,DeckManaSum,DeckManaVariance,NumMinionCards,NumSpellCards,S0:WinCount,S0:Alignment,Deck
0,-1,55,-2229,3529940,8350000,1047305,3607784,3731736,946706,28697,6220,117,5823333,30,0,55,28697,Blood Imp*Voidwalker*Wolfrider*Stormwind Knight*Ravenholdt Assassin*Murloc Raider*Booty Bay Bodyguard*Ogre Magi*Core Hound*Reckless Rocketeer*Angry Chicken*Worgen Infiltrator*Jungle Panther*Jungle Panther*Questing Adventurer*Acidic Swamp Ooze*Abomination*Abomination*Coldlight Seer*Felguard*Pit Lord*Flame Imp*Lord Jaraxxus*Tauren Warrior*Gurubashi Berserker*Grimscale Oracle*Nozdormu*Ysera*Cult Master*Dread Corsair
1,-1,89,-958,4525477,7850000,1045222,4006369,3677707,928662,27934,5920,125,5672222,28,2,89,27934,Oasis Snapjaw*Frostwolf Grunt*Silverback Patriarch*Stormpike Commando*Silver Hand Knight*Murloc Raider*Chillwind Yeti*Reckless Rocketeer*Stormwind Champion*Frostwolf Warlord*The Black Knight*Big Game Hunter*Novice Engineer*Silvermoon Guardian*Leper Gnome*Leper Gnome*Questing Adventurer*Arcane Golem*Void Terror*Void Terror*Twisting Nether*Twisting Nether*Flame Imp*Harvest Golem*Alexstrasza*Sea Giant*Nightblade*Bloodsail Raider*Southsea Captain*Flesheating Ghoul
4,-1,101,-208,3546448,9150000,1065573,3373770,4151366,1098360,39161,5840,111,4209999,24,6,101,39161,Shadow Bolt*Blood Imp*Dread Infernal*Frostwolf Grunt*Ironforge Rifleman*Kobold Geomancer*Stormpike Commando*Boulderfist Ogre*Wisp*Young Priestess*Leper Gnome*Dark Iron Dwarf*Sunfury Protector*Sunfury Protector*Argent Commander*Arcane Golem*Defender of Argus*Loot Hoarder*Shadowflame*Shadowflame*Siphon Soul*Siphon Soul*Twisting Nether*Raging Worgen*Alexstrasza*Blood Knight*Imp Master*Southsea Captain*Millhouse Manastorm*Stampeding Kodo
71,-1,108,190,4743035,8795000,1063104,2838544,3839681,1198408,45433,6780,103,3578888,28,2,108,45433,Voidwalker*Voidwalker*Wolfrider*Ironfur Grizzly*Kobold Geomancer*Sen'jin Shieldmasta*Razorfen Hunter*Young Priestess*Argent Squire*Dragonling Mechanic*Sunwalker*Ancient Watcher*Dark Iron Dwarf*Mind Control Tech*Demolisher*Soulfire*Siphon Soul*Doomguard*Flame Imp*Murloc Warleader*Nozdormu*Priestess of Elune*Cult Master*Bloodsail Raider*Faerie Dragon*Southsea Captain*Millhouse Manastorm*Hogger*Stampeding Kodo*Stampeding Kodo
72,-1,122,882,4843283,8710000,1091848,2501148,3780137,1211825,49837,5140,86,3182222,26,4,122,49837,Goldshire Footman*Drain Life*Dread Infernal*Voidwalker*Wolfrider*Kobold Geomancer*Stormwind Champion*Wisp*Darkscale Healer*Darkscale Healer*The Black Knight*Voodoo Doctor*Dark Iron Dwarf*Youthful Brewmaster*Crazed Alchemist*Pint-Sized Summoner*Secretkeeper*Mind Control Tech*Loot Hoarder*Shadowflame*Soulfire*Amani Berserker*Murloc Warleader*Ancient Mage*Blood Knight*Demonfire*Wild Pyromancer*Bloodsail Corsair*Master Swordsmith*Hogger
585,72,125,778,4865037,8595000,1101221,2366492,3738219,1220477,49476,4840,84,3293333,26,4,125,49476,Goldshire Footman*Drain Life*Dread Infernal*Voidwalker*Wolfrider*Kobold Geomancer*Stormwind Champion*Wisp*Darkscale Healer*Darkscale Healer*The Black Knight*Voodoo Doctor*Dark Iron Dwarf*Youthful Brewmaster*Crazed Alchemist*Pint-Sized Summoner*Secretkeeper*Mind Control Tech*Loot Hoarder*Shadowflame*Soulfire*Amani Berserker*Ancient Mage*Blood Knight*Demonfire*Wild Pyromancer*Bloodsail Corsair*Bloodsail Corsair*Master Swordsmith*Hogger
682,72,135,1136,4910926,8420000,1066508,2442399,3628266,1214370,51693,5300,88,3262222,26,4,135,51693,Goldshire Footman*Drain Life*Dread Infernal*Dread Infernal*Voidwalker*Wolfrider*Kobold Geomancer*Stormwind Champion*Wisp*Darkscale Healer*The Black Knight*Dark Iron Dwarf*Youthful Brewmaster*Crazed Alchemist*Pint-Sized Summoner*Pint-Sized Summoner*Secretkeeper*Mind Control Tech*Shadowflame*Soulfire*Amani Berserker*Murloc Warleader*Ancient Mage*Blood Knight*Demonfire*Mana Wraith*Wild Pyromancer*Bloodsail Corsair*Master Swordsmith*Hogger
1273,682,137,975,4618692,8720000,1083715,2387614,3643922,1339449,48238,5240,87,3223333,26,4,137,48238,Goldshire Footman*Drain Life*Dread Infernal*Dread Infernal*Voidwalker*Wolfrider*Kobold Geomancer*Stormwind Champion*Wisp*Darkscale Healer*The Black Knight*Dark Iron Dwarf*Youthful Brewmaster*Crazed Alchemist*Pint-Sized Summoner*Pint-Sized Summoner*Secretkeeper*Mind Control Tech*Shadowflame*Soulfire*Tauren Warrior*Amani Berserker*Murloc Warleader*Blood Knight*Demonfire*Mana Wraith*Wild Pyromancer*Bloodsail Corsair*Master Swordsmith*Hogger
1796,981,140,1536,5182477,8960000,1057477,2805803,3968191,1161272,48538,7320,95,2538888,26,4,140,48538,Fen Creeper*Drain Life*Dread Infernal*Wolfrider*Darkscale Healer*Darkscale Healer*The Black Knight*Voodoo Doctor*Dark Iron Dwarf*Youthful Brewmaster*Sunfury Protector*Crazed Alchemist*Pint-Sized Summoner*Pint-Sized Summoner*Secretkeeper*Mind Control Tech*Loot Hoarder*Shadowflame*Bane of Doom*Amani Berserker*Raging Worgen*Murloc Warleader*Priestess of Elune*Blood Knight*Demonfire*Wild Pyromancer*Bloodsail Corsair*Millhouse Manastorm*Master Swordsmith*Hogger
2419,1796,144,1631,5353148,8495000,1050618,2932901,3821071,1051795,47264,7320,91,2365555,27,3,144,47264,Fen Creeper*Dread Infernal*Wolfrider*Wolfrider*Darkscale Healer*Darkscale Healer*The Black Knight*Angry Chicken*Voodoo Doctor*Dark Iron Dwarf*Youthful Brewmaster*Sunfury Protector*Crazed Alchemist*Pint-Sized Summoner*Secretkeeper*Mind Control Tech*Loot Hoarder*Shadowflame*Bane of Doom*Amani Berserker*Raging Worgen*Raging Worgen*Murloc Warleader*Blood Knight*Demonfire*Wild Pyromancer*Bloodsail Corsair*Millhouse Manastorm*Master Swordsmith*Hogger
