deck_id;fitness;average;variance;
5006;-321;4.133333333333334;6.11555555556;
5751;-8;4.0;4.73333333333;
5615;-62;4.066666666666666;5.92888888889;
8634;-71;3.7666666666666666;2.84555555556;
4854;291;3.3666666666666667;3.43222222222;
9068;504;3.9;6.15666666667;
7890;263;4.0;5.8;
7587;-53;3.7666666666666666;3.44555555556;
9914;995;2.966666666666667;2.96555555556;
9371;-102;4.166666666666667;6.33888888889;
8527;-63;3.8333333333333335;3.80555555556;
9215;-547;4.3;5.61;
6201;221;3.8333333333333335;4.73888888889;
8799;584;3.466666666666667;4.51555555556;
6543;55;4.0;5.4;
9857;501;3.6333333333333333;4.49888888889;
6096;217;3.566666666666667;5.91222222222;
9535;106;3.8333333333333335;5.40555555556;
9141;544;3.8333333333333335;7.27222222222;
9993;591;3.6333333333333333;3.76555555556;
6664;32;3.7;5.47666666667;
9921;1011;3.466666666666667;4.11555555556;
8816;802;3.4;3.64;
5153;525;3.3;2.54333333333;
9431;-31;3.8666666666666667;4.51555555556;
8349;754;3.3333333333333335;4.02222222222;
7965;620;3.7333333333333334;7.72888888889;
8615;-49;3.9;3.09;
8828;535;3.566666666666667;7.11222222222;
8773;1169;3.533333333333333;3.84888888889;
7240;1105;3.5;6.18333333333;
8236;287;3.7;4.67666666667;
9997;217;3.9;5.35666666667;
4665;548;3.7666666666666666;7.44555555556;
8018;619;3.433333333333333;4.97888888889;
5575;897;3.6666666666666665;7.48888888889;
9142;-227;4.133333333333334;7.58222222222;
6568;484;3.2666666666666666;3.66222222222;
8833;925;3.1;4.49;
8211;701;3.466666666666667;3.18222222222;
9946;1060;3.1;3.89;
6067;99;3.8;5.09333333333;
3770;527;3.4;4.77333333333;
9862;699;3.1666666666666665;4.47222222222;
9758;633;3.6333333333333333;4.96555555556;
9986;372;3.7333333333333334;3.72888888889;
7854;748;3.0;4.66666666667;
6426;338;3.2666666666666666;5.92888888889;
7067;337;3.7;5.34333333333;
9778;1303;3.2333333333333334;2.51222222222;
6729;352;3.7333333333333334;4.99555555556;
6646;619;3.5;4.18333333333;
9472;757;3.3333333333333335;4.68888888889;
9969;687;3.3;5.01;
9121;751;3.1666666666666665;4.60555555556;
7168;674;3.533333333333333;4.98222222222;
8717;4;3.7666666666666666;5.24555555556;
4869;826;3.1;3.55666666667;
9811;1010;3.7666666666666666;5.91222222222;
9753;718;3.5;4.58333333333;
9168;898;3.1666666666666665;4.87222222222;
9667;361;3.7333333333333334;4.86222222222;
7396;974;3.1;4.89;
